model_label,running_index,city,noise_total_rms__count,noise_total_rms__mean,noise_total_rms__std,noise_total_rms__median,noise_orthogonal_rms__count,noise_orthogonal_rms__mean,noise_orthogonal_rms__std,noise_orthogonal_rms__median,count_axis_deviation_abs__count,count_axis_deviation_abs__mean,count_axis_deviation_abs__std,count_axis_deviation_abs__median
Gemma4-E4B,1,Almaty,6,0.19552552058190367,0.026568024455961584,0.1902083618540445,6,0.19181119104915836,0.02678049960941541,0.18788711188610407,6,0.6629500016570091,0.6833005291849641,0.3604906350374222
Gemma4-E4B,1,Amsterdam,1,0.2108133727891657,,0.2108133727891657,1,0.2073135421239792,,0.2073135421239792,1,0.1688129603862762,,0.1688129603862762
Gemma4-E4B,1,Antwerp,2,0.1820724144202288,0.015108068653335032,0.1820724144202288,2,0.1791343891519881,0.012353999988765612,0.1791343891519881,2,1.3589093983173373,0.8782118172259222,1.3589093983173373
Gemma4-E4B,1,Astana,1,0.2278411039335584,,0.2278411039335584,1,0.2239403954551534,,0.2239403954551534,1,0.2415842711925506,,0.2415842711925506
Gemma4-E4B,1,Athens,3,0.24747487206885396,0.0056937573504172116,0.2448231548321206,3,0.24513663585465473,0.0065414478252381605,0.2424943286367037,3,0.5525362690289816,0.2272481361623148,0.5038865804672241
Gemma4-E4B,1,Baku,4,0.1979338206777027,0.022913901396184547,0.19751203783103743,4,0.19584212790587183,0.022516902288406956,0.195975454348011,4,0.7215911112725735,0.54950714532287,0.690827488899231
Gemma4-E4B,1,Bangkok,2,0.24672578016008917,0.02404924284535201,0.24672578016008917,2,0.242390211589755,0.022262204785853473,0.242390211589755,2,0.9412708580493927,1.2281173137868808,0.9412708580493927
Gemma4-E4B,1,Barcelona,1,0.2730798180262405,,0.2730798180262405,1,0.2694587790627657,,0.2694587790627657,1,1.4800512790679932,,1.4800512790679932
Gemma4-E4B,1,Beijing,1,0.1840996690794805,,0.1840996690794805,1,0.1823733287752419,,0.1823733287752419,1,0.5871270298957825,,0.5871270298957825
Gemma4-E4B,1,Belgrade,3,0.18722532781183834,0.008790701305716242,0.1897463073572202,3,0.18483329509356047,0.009459286538199092,0.186375727741311,3,0.7233139475186666,0.4495680758560807,0.6819586753845215
Gemma4-E4B,1,Bengaluru,4,0.28284807725832817,0.1086440701553548,0.24509082018626627,4,0.27625473027821135,0.1100586298367206,0.23349452127718673,4,1.1665163971483707,1.226963947021892,1.0049166530370712
Gemma4-E4B,1,Berlin,6,0.23045128901654896,0.06778711186526666,0.205776539547569,6,0.22714449992361074,0.06574353286673411,0.202911763425975,6,1.145172684142987,1.409774025383842,0.555663451552391
Gemma4-E4B,1,Bucharest,2,0.2060113928814993,0.001372826976250422,0.2060113928814993,2,0.2045736081312606,0.001534392588848431,0.2045736081312606,2,0.5603464245796204,0.7410795856035417,0.5603464245796204
Gemma4-E4B,1,Budapest,1,0.2642383509064926,,0.2642383509064926,1,0.2624724101908874,,0.2624724101908874,1,0.436926931142807,,0.436926931142807
Gemma4-E4B,1,Buenos Aires,5,0.2781072691271421,0.11090236867081633,0.2254541317542327,5,0.27570086932955096,0.10985166178851317,0.2226840354708593,5,0.791721397638321,0.8516057122798625,0.412462055683136
Gemma4-E4B,1,Busan,3,0.22923771369245108,0.009927629730648695,0.231483462766716,3,0.2285965827436057,0.00990886667123996,0.2310541167460257,3,0.35639206568400067,0.04648111498688383,0.3384788930416107
Gemma4-E4B,1,Chengdu,4,0.2096191547445118,0.028352394874942417,0.20323260011800565,4,0.2060611880094244,0.028744101202909864,0.1983765334628241,4,1.002682887017727,0.6415641213396224,0.8552992343902588
Gemma4-E4B,1,Chennai,3,0.22302672027474113,0.03739678412416169,0.2401347752477333,3,0.22113201015814546,0.039486844594515846,0.2392744077893802,3,0.8240846594174703,0.19454877270419974,0.7537497878074646
Gemma4-E4B,1,Chicago,4,0.20902567096410515,0.0204390852045631,0.2120347809106931,4,0.20610681212270093,0.018619438568988466,0.2088103843488376,4,0.9569281712174416,0.5280447183916063,0.9285730421543121
Gemma4-E4B,1,Colombo,3,0.18597415359089553,0.012380606913274545,0.1802717165384362,3,0.18274167042620562,0.010159820142740982,0.1772667671053203,3,0.8072164009014765,0.8329594947761275,0.4489260911941528
Gemma4-E4B,1,Copenhagen,3,0.23312828857593415,0.011513868094133592,0.2396586023489567,3,0.23131334003773815,0.010383234297437718,0.2350631666136416,3,0.8763878047466278,0.5324087039368703,0.6436997652053833
Gemma4-E4B,1,Delhi,2,0.2076619840132696,0.010766061573470227,0.2076619840132696,2,0.2019459423752226,0.01198926059561354,0.2019459423752226,2,1.4017593264579773,0.9621387945188167,1.4017593264579773
Gemma4-E4B,1,Dhaka,4,0.251116460047119,0.06386451011087392,0.27150976151422257,4,0.24638562091552746,0.06302394817500567,0.2659912772314986,4,1.5665613859891891,0.8882799331404508,1.2425479888916016
