model_label,role,source_layer,target_layer,normalized_depth,rank,discovery_rows,discovery_seeds,confirmation_rows,source_centroid_capture,target_centroid_capture,map_training_r2,map_training_normalized_rmse,map_ridge,map_singular_1,map_singular_last,map_condition_number,orthogonal_factor_determinant,subspace_principal_angle_mean_degrees,subspace_principal_angle_max_degrees,cv_sample_r2,cv_sample_normalized_rmse,cv_direct_identity_r2,cv_centroid_r2,cv_centroid_normalized_rmse,cv_fold_r2_min,cv_fold_r2_max,cv_folds,confirmation_sample_r2,confirmation_sample_normalized_rmse,confirmation_centroid_r2,confirmation_centroid_normalized_rmse,proper_rotation_angle_pca_gauge_degrees,centroid_rdm_spearman,permutation_repeats,permutation_r2_mean,permutation_r2_ci95_low,permutation_r2_ci95_high,permutation_p_ge_observed,bootstrap_repeats,bootstrap_map_relative_frobenius_median,bootstrap_map_relative_frobenius_ci95_low,bootstrap_map_relative_frobenius_ci95_high,bootstrap_rotation_geodesic_degrees_median,bootstrap_rotation_geodesic_degrees_ci95_low,bootstrap_rotation_geodesic_degrees_ci95_high,bootstrap_source_basis_max_angle_degrees_median,bootstrap_source_basis_max_angle_degrees_ci95_low,bootstrap_source_basis_max_angle_degrees_ci95_high,bootstrap_target_basis_max_angle_degrees_median,bootstrap_target_basis_max_angle_degrees_ci95_low,bootstrap_target_basis_max_angle_degrees_ci95_high,bootstrap_stretch_singular_1_mean,bootstrap_stretch_singular_1_sd,bootstrap_stretch_singular_2_mean,bootstrap_stretch_singular_2_sd,bootstrap_stretch_singular_3_mean,bootstrap_stretch_singular_3_sd,full_operator_inner_product_to_next,full_operator_cosine_to_next,full_operator_relative_drift_to_next,locally_stable
Qwen3-8B,answer_query,0,1,0.0285714285714285,3,200,20,0,0.8384939170628236,0.9146719853213796,0.952526102907767,0.2178850547702459,5.821148591884245e-08,3.5666456055948186,1.417049976377076,2.516951176777506,0.9999999999999994,60.43544229887337,72.68159952604145,-1.7061491118121168,1.6450377235225084,-0.349095237273944,-18.75302217295236,4.444437216673486,-6.865835364715803,-0.1345192739960503,5,,,,,13.895083265778569,0.9071146245059288,500.0,-0.3670231533202239,-1.6473492835564356,0.7685042168880426,0.0019960079840319,500.0,0.3800837298019421,0.145336828992444,0.7856649675608087,18.91068086708332,3.6582563365069496,74.21232163438019,54.069583695686816,31.518349580177897,84.95776876590934,49.574005799531065,28.32846190599714,87.08507681654034,3.560595983123624,0.6650841360741884,1.9970382798543305,0.4283052452339983,1.004418871024511,0.57912639759052,2.5103438440072448,0.1855839439650237,1.2963646554482156,False
Qwen3-8B,answer_query,3,4,0.1142857142857142,3,200,20,0,0.939870369759814,0.9400795052155828,0.9708420907132004,0.1707568718582055,7.37599863556553e-06,1.737988242556819,0.9915447487574648,1.752808680329098,-1.0,62.06901127835573,81.71444230155599,-0.4801580948680488,1.2166174809150363,-0.3891513183557424,-1.0078760156971662,1.416995418375503,-0.969652716369256,0.0143143358388827,5,,,,,40.66781737436468,0.9843214756258236,500.0,-0.3021341777604243,-1.70311878259582,0.7166660097111961,0.0019960079840319,500.0,0.2954252799060127,0.1003040967527907,0.8915719789160975,47.68524316566386,6.135323151298829,167.57990839389095,45.835641964213295,28.47038432559022,88.1864915100635,38.92788737626111,23.66365801335161,78.34914022975823,1.718992188889137,0.1357551208158711,1.413265818931709,0.0980227958699553,0.9384652706047923,0.3754607522688766,1.712964056319604,0.2888629588070088,1.1925919910436666,False
Qwen3-8B,answer_query,7,8,0.2285714285714285,3,200,20,0,0.9642022511296828,0.974645579260291,0.9848915427929676,0.122916464344824,0.0001783354012101,2.487700782005176,1.0716073342325296,2.321466737428438,1.0000000000000009,61.9180373820836,73.05424224371207,-0.0372099383602524,1.018435043760893,0.3488534019778764,0.3271171454750655,0.8202943706529592,-0.7191909426376968,0.3276259141925302,5,,,,,26.615595864942748,0.9471673254281948,500.0,-0.3068897188386945,-1.5398759205770016,0.7368506017139801,0.0019960079840319,500.0,0.2039785001519742,0.0674958424996797,0.7182970554682822,7.540602975304275,1.5799740829067082,26.90721209006646,54.09550090025081,33.006535485826404,86.17359723137663,37.61187406911736,24.414620141686523,77.45402524488075,2.2233561726642863,0.1505903630274662,1.2802798823170238,0.0287679697863308,0.9147062149251004,0.2968343774119605,1.4552792101699663,0.2637269382197768,1.2714662504775325,False
Qwen3-8B,answer_query,11,12,0.3428571428571428,3,200,20,0,0.964985502144518,0.9648358951822305,0.9935115400337622,0.0805509774381277,0.0004890035508785,1.0854985042337468,0.7647250290923383,1.4194625034336048,0.9999999999999998,46.52771107463062,60.53499988277978,0.8523233783918656,0.3842871603477462,0.7689486057735385,0.893075704799871,0.3269928060372721,0.7158821045588182,0.9302654000847224,5,,,,,4.227767457459887,0.9911725955204214,500.0,-0.3482029995769959,-1.6221057725768897,0.6307730436516852,0.0019960079840319,500.0,0.1680550561171831,0.0604322111017577,1.1299461218606504,4.376305407943054,0.6832374147109508,167.74494779405242,56.53628693862136,33.9639581501899,88.45541785155088,54.30826642625263,32.17580664688464,85.49376928514535,1.0969022054691118,0.0359291927802119,0.9813873636774628,0.0314566947412303,0.8126017216315383,0.2010260157157199,1.5686150504814949,0.5027470943431834,1.0056882584648446,False
Qwen3-8B,answer_query,15,16,0.4571428571428571,3,200,20,0,0.9640919638676168,0.9598296233883424,0.9979170666761048,0.0456391643645596,0.0010413159083694,1.0524154785784845,0.8914080086164905,1.180621520567092,0.9999999999999992,45.885044228549226,51.11114828959984,0.8055419430126972,0.4409739867467273,0.7808956475599889,0.9415135023853656,0.2418398180917165,0.7069379623551845,0.9128235898241146,5,,,,,5.600910910879139,0.9989459815546772,500.0,-0.3831134461107882,-1.708007327751826,0.6947933723915489,0.0019960079840319,500.0,0.0804610687575361,0.0262079992273605,1.0786747559076195,3.3934933599970027,0.673551074677247,60.79018914407322,41.07232415099506,28.71949097795944,84.85056867578965,46.053669075647534,31.06757379024112,83.34827445465938,1.0733856834054412,0.0219378313851258,1.028712649163598,0.021193924820519,0.8216387825974573,0.1955008995054884,1.7459672549294618,0.5194370476047843,0.9865121623897992,True
Qwen3-8B,answer_query,19,20,0.5714285714285714,3,200,20,0,0.9813405449852288,0.9912303871616636,0.9978807831962252,0.0460349519797171,0.0087903640869096,3.0023568204388384,1.2276059372487402,2.445700798065213,-0.9999999999999992,57.1322277610924,63.12779297020503,0.6714811498237465,0.5731656393890455,0.6090719933471777,0.9174257683053144,0.2873573240665455,0.2664088374157551,0.8226962858573664,5,,,,,78.21062862342302,0.978524374176548,500.0,-0.3794894178851969,-1.4979902002863827,0.7449968996895713,0.0019960079840319,500.0,0.0631705881348265,0.0254888639340581,0.1208892136117845,7.837675481885244,1.5311597319229169,24.21027936303809,24.2316615447244,17.309588109975852,34.60029071526304,22.16105652791395,15.794014964132366,30.126247868697945,2.8892583699798835,0.0962007029555987,1.825550729405514,0.0716140652892399,1.2401715929104264,0.0370708899897235,4.581490402903372,0.2283750467871677,1.2738193559463895,True
Qwen3-8B,answer_query,23,24,0.6857142857142857,3,200,20,0,0.9821254965895764,0.981437022490968,0.9991337951852758,0.0294313576772157,2.37978359142481,1.7383050144583525,1.1787376139031327,1.4747175231834118,0.9999999999999998,37.72132432419357,41.52104877883571,0.982029176986594,0.1340552983414156,0.9178765524749104,0.993476763341492,0.0807665565596799,0.9741315777189058,0.9899260621509172,5,,,,,15.36681454137656,0.998155467720685,500.0,-0.3433908433310003,-0.9348372405689992,0.6021228779777668,0.0019960079840319,500.0,0.0156608631098596,0.0082465230800544,0.0298624989081559,0.5362684477031125,0.1520605238452345,1.1841006076564573,7.640196145720687,4.925911178294281,12.838208757167722,6.721494787741291,4.3431987705207655,10.68166653161904,1.7347759884226048,0.0166381776728146,1.3092494951733755,0.0158738072162146,1.178640078643482,0.0098818608954904,3.086350015292753,0.6032737659731561,0.905236069994548,True
Qwen3-8B,answer_query,27,28,0.8,3,200,20,0,0.9774753781260426,0.9512734708932108,0.9982672673938994,0.0416261048634226,8.97738384998986,2.1635393193053702,1.1677379670547952,1.852760962086495,1.0,35.766298903830524,46.13900630290326,0.9832215766573466,0.1295315534634456,0.8293727786702969,0.9936400033588472,0.079749587090799,0.9780916880808206,0.990018829976295,5,,,,,27.4680965601615,0.995125164690382,500.0,-0.3473634464193076,-0.9694891373340458,0.4420701204082945,0.0019960079840319,500.0,0.0158417996638827,0.0076391403798406,0.0332124309464073,0.5294652867646477,0.1485222504363014,1.370921834901348,7.764823203129938,5.13688584690756,13.35133972201081,5.873604017645926,3.682794277452087,12.71052928703189,2.151395704329439,0.0354541362658596,1.4505579232627723,0.0108465286241012,1.1675970163678275,0.0036186920208345,3.711385993280824,0.6465753095117657,0.8977928831252988,True
Qwen3-8B,answer_query,28,29,0.8285714285714286,3,200,20,0,0.9512734708932108,0.9474580499477624,0.9889684272768894,0.1050312940180717,17.812676563336773,1.2453966509292214,1.0902030054357628,1.1423529789586542,0.9999999999999992,30.402031762972587,36.73634171487447,0.979800784420936,0.1421239444255049,0.9509427005476516,0.9861948909890714,0.1174951446270382,0.9738132679156044,0.985291235595546,5,,,,,9.161301262316382,0.9940711462450592,500.0,-0.3120717585713206,-1.0223860720290097,0.4593686525638943,0.0019960079840319,500.0,0.0163631528859299,0.0054376493591302,0.0457639015771166,0.6368245906816788,0.1350250088939905,1.7327163991200192,5.789666377049984,3.4658948532351554,14.128933646071316,6.093833552304581,3.5894074900258457,13.595910920420094,1.2494448518117778,0.0252264404715567,1.1415887429982785,0.0080235276170551,1.0902271129060428,0.0018194807649925,3.0170413657148942,0.7674051301286331,0.6825491552451008,True
Qwen3-8B,answer_query,31,32,0.9142857142857144,3,200,20,0,0.9282750335708037,0.9334072015151222,0.9998485488441068,0.0123065493089335,34.33524548451445,1.1752369712289832,1.082025025741585,1.0861458314455466,1.0,21.315417408963043,23.504677292965983,0.9986902049150695,0.0361910912370759,0.9817051697180714,0.9995225354560068,0.021850962083925,0.9983012434058582,0.9992883062165536,5,,,,,3.541161911373232,0.9989459815546772,500.0,-0.3292099685093188,-1.0709714681605669,0.3812605875809187,0.0019960079840319,500.0,0.0049764009641083,0.00232298189115,0.0099238631729977,0.172399853724305,0.0557444081830373,0.4579137053629433,7.040641896562083,3.723868310903893,14.356385050065374,6.8769300877958885,3.6787138763093736,13.115429924977366,1.174749282391386,0.0027606953048982,1.1116293732776987,0.0041227459703811,1.0811518150758803,0.0033874550294433,3.123355253674071,0.8478883202458625,0.5522088128448898,True
Qwen3-8B,answer_query,34,35,1.0,3,200,20,0,0.9244717439679256,0.9195494538940624,0.9995186851291992,0.0219388894614303,61.89285801030702,1.0871788560812086,1.027195826796595,1.0583949308591685,0.9999999999999996,20.86775358806678,26.395219900966087,0.9953016556629496,0.0685444697772952,0.9905552545007844,0.998897855128224,0.0331985673151111,0.9932390590524368,0.9980692467862068,5,,,,,3.766624145751007,0.9980237154150196,500.0,-0.3489048729736481,-1.1133619139934643,0.3633042738307495,0.0019960079840319,500.0,0.0077427175381315,0.0030742072086164,0.0180217066217839,0.3210140741589727,0.0776390122234683,0.8617990213718144,6.839801035470886,4.138493407966775,12.04921484537739,7.357206157316636,4.277362388807002,12.930369183038266,1.0879293947054671,0.0050194122250323,1.0405923847196672,0.0070427290953407,1.026513982231617,0.0029532766955883,,,,True
Gemma4-E4B,answer_query,0,1,0.024390243902439,3,200,20,0,0.6386160187673103,0.9328634318213558,0.4400771759716188,0.7482799102130039,1.3908044035166688e-06,2.1012026654854385,0.7638257089546643,2.750892829152144,-1.0000000000000018,79.20181912044119,89.11465792386463,-1.4045535971610783,1.5506623091960023,-0.8310552542205636,-1.0422696108172578,1.4290799875504725,-26.97877540262676,-0.0559461690140405,5,,,,,26.05144829847457,0.2433465085638998,500.0,-0.3410650516785686,-1.2512294166251343,0.3041682742034087,0.0019960079840319,500.0,0.8545560975308149,0.3985977010821263,2.287216304117316,94.93954303809966,24.458845911397944,175.08796655666708,69.79183654276213,42.28942041995297,88.93356959319692,51.96865446024314,31.802832340625613,88.03365886228356,2.598901549947888,1.4881922304020652,0.8225041783814306,0.2362860975757736,0.3821979127941868,0.197550692021734,-0.5004356693313574,-0.0468233821920857,1.5010439814189631,False
Gemma4-E4B,answer_query,3,4,0.0975609756097561,3,200,20,0,0.7744807133455274,0.8566999979116606,0.6200684620491415,0.6163858677410268,1.3956357962355204e-05,1.4804003523116596,0.4406434115410453,3.3596334667397203,1.0000000000000002,46.120075255154966,62.85023087369837,0.3187737616979902,0.8253643064138464,-1.2870396546008045,-7.991230158184816,2.998538003458488,-1.6105476343301692,0.6180302507310788,5,,,,,162.774163641751,0.5177865612648221,500.0,-0.3127158936034432,-1.4204754756510032,0.3939392859513658,0.0019960079840319,500.0,0.858134560454917,0.3141245547071392,1.803913396251035,48.55147999051128,13.722839104592673,146.8337141321013,62.65951641232749,42.72345187142717,87.92621538035652,63.69865697409654,43.249165401904335,89.02137945770134,1.8533293698079911,0.6371718643441788,0.901670097382962,0.10882990969981,0.4334555132444363,0.2095123574777985,0.9899911780258106,0.0592611142255294,1.6941887510283888,False
Gemma4-E4B,answer_query,7,8,0.1951219512195122,3,200,20,0,0.963398091177178,0.9177853055673856,0.9882910746181968,0.1082077879905287,0.0003713671702186,0.525692709227212,0.2648711499721543,1.9847110917231932,0.9999999999999994,59.540257059883686,68.10664470226503,0.2129307839290606,0.8871692150153427,-3.43069052619854,-1.465022909992865,1.5700391428218805,-0.6172461005771657,0.5492773759126086,5,,,,,23.291861324898523,0.9827404479578392,500.0,-0.3341298677637987,-1.707963081171749,0.7123210749502386,0.0019960079840319,500.0,0.3446881209385413,0.0782756923376545,1.5034948056638409,13.115193981309028,1.989202369878097,164.84960642836216,49.14426193238688,30.25569405249116,86.70119282826145,67.0493042408528,40.1319707482949,88.29992446083502,0.5712400068749518,0.0726367200394131,0.4503113891757475,0.0606675694670871,0.2278982301852626,0.0893397842212929,0.2507030508119791,0.1929411765074838,1.4096009604969724,False
Gemma4-E4B,answer_query,8,9,0.2195121951219512,3,200,20,0,0.9177853055673856,0.9099284012303286,0.9621161385321676,0.194637769890205,8.153428762408743e-05,1.120003341343287,0.8835128907824399,1.2676706282705292,1.0000000000000016,66.91173065647973,79.80978008892411,0.3124053522697264,0.8292132703534559,-0.1971191581525511,-1.2182446819727568,1.4893772799303595,-0.231780206960285,0.5623308805594216,5,,,,,9.074506289396892,0.985375494071146,500.0,-0.3172062801344191,-1.5850430147893446,0.6527736647886391,0.0019960079840319,500.0,0.5087041671968578,0.1383626926283884,1.2830868543244127,21.78472495419209,2.870338573802566,98.79881802389777,66.33004957822942,41.33051559795843,88.2663694372979,55.46847167613095,37.40525355603766,87.20982037422617,1.2601568493904878,0.2291466805721724,0.9627772861681496,0.047138425934218,0.6165574990173145,0.2738033123475571,0.7643514868915917,0.2442868663091877,1.2298602819748303,False
Gemma4-E4B,answer_query,11,12,0.2926829268292683,3,200,20,0,0.933765641836346,0.9385211090035916,0.9778961831622692,0.1486735243334564,0.0001902544755309,1.1367544951920046,0.5645990116204763,2.013383785298107,1.0000000000000004,39.32885021813729,47.144566395458966,0.4643795969410236,0.7318609178382026,-0.6614084326335801,0.4895582001690057,0.7144520976461572,-0.1020976545787202,0.5657583138582138,5,,,,,11.88593144025495,0.9715415019762844,500.0,-0.3220202635210847,-1.560048522458663,0.6305504582035786,0.0019960079840319,500.0,0.2295756513911674,0.070114386874643,0.7935096925660161,8.733919756357402,1.6441202888771698,46.975351899306766,39.87031037815185,28.38183640274448,81.27132773899291,40.77134293086911,29.56484818622042,78.10719165502049,1.1784283402928992,0.1112487696183595,1.0027052224835988,0.0816967194038312,0.5424058586104736,0.2445014806383854,1.2289907888368188,0.4696047138901092,1.0299532294093,False
