model_label,contrast,metric,predictor,boundaries,spearman_rho_descriptive
Qwen3-8B,aligned_dose_1_minus_orthogonal,target_donor_fraction,bootstrap_map_relative_frobenius_median,11,-0.881818181818182
Qwen3-8B,aligned_dose_1_minus_orthogonal,target_donor_fraction,bootstrap_rotation_geodesic_degrees_median,11,-0.881818181818182
Qwen3-8B,aligned_dose_1_minus_orthogonal,target_donor_fraction,subspace_principal_angle_max_degrees,11,-0.9454545454545454
Qwen3-8B,aligned_dose_1_minus_orthogonal,target_donor_fraction,full_operator_cosine_to_next,10,0.9272727272727272
Qwen3-8B,aligned_dose_1_minus_orthogonal,target_donor_fraction,full_operator_relative_drift_to_next,10,-0.9272727272727272
Qwen3-8B,aligned_dose_2_minus_orthogonal,donor_log_odds_gain,cv_centroid_r2,11,0.8747175313501542
Qwen3-8B,aligned_dose_2_minus_orthogonal,donor_log_odds_gain,bootstrap_map_relative_frobenius_median,11,-0.9202757361079746
Qwen3-8B,aligned_dose_2_minus_orthogonal,donor_log_odds_gain,bootstrap_rotation_geodesic_degrees_median,11,-0.8018244037376412
Qwen3-8B,aligned_dose_2_minus_orthogonal,donor_log_odds_gain,subspace_principal_angle_max_degrees,11,-0.792712762786077
Qwen3-8B,aligned_dose_2_minus_orthogonal,donor_log_odds_gain,full_operator_cosine_to_next,10,0.7538028741632801
Qwen3-8B,aligned_dose_2_minus_orthogonal,donor_log_odds_gain,full_operator_relative_drift_to_next,10,-0.7538028741632801
Qwen3-8B,aligned_dose_2_minus_orthogonal,target_donor_fraction,cv_centroid_r2,11,0.8909090909090911
Qwen3-8B,aligned_dose_2_minus_orthogonal,target_donor_fraction,bootstrap_map_relative_frobenius_median,11,-0.881818181818182
Qwen3-8B,aligned_dose_2_minus_orthogonal,target_donor_fraction,bootstrap_rotation_geodesic_degrees_median,11,-0.881818181818182
Qwen3-8B,aligned_dose_2_minus_orthogonal,target_donor_fraction,subspace_principal_angle_max_degrees,11,-0.9454545454545454
Qwen3-8B,aligned_dose_2_minus_orthogonal,target_donor_fraction,full_operator_cosine_to_next,10,0.9272727272727272
Qwen3-8B,aligned_dose_2_minus_orthogonal,target_donor_fraction,full_operator_relative_drift_to_next,10,-0.9272727272727272
Qwen3-8B,dose_2_minus_dose_1,donor_log_odds_gain,cv_centroid_r2,11,0.8807710121010887
Qwen3-8B,dose_2_minus_dose_1,donor_log_odds_gain,bootstrap_map_relative_frobenius_median,11,-0.9358192003574066
Qwen3-8B,dose_2_minus_dose_1,donor_log_odds_gain,bootstrap_rotation_geodesic_degrees_median,11,-0.8257228238447705
Qwen3-8B,dose_2_minus_dose_1,donor_log_odds_gain,subspace_principal_angle_max_degrees,11,-0.8532469179729295
Qwen3-8B,dose_2_minus_dose_1,donor_log_odds_gain,full_operator_cosine_to_next,10,0.766928898924811
Qwen3-8B,dose_2_minus_dose_1,donor_log_odds_gain,full_operator_relative_drift_to_next,10,-0.766928898924811
Qwen3-8B,dose_2_minus_dose_1,target_donor_fraction,cv_centroid_r2,11,0.8909090909090911
Qwen3-8B,dose_2_minus_dose_1,target_donor_fraction,bootstrap_map_relative_frobenius_median,11,-0.881818181818182
Qwen3-8B,dose_2_minus_dose_1,target_donor_fraction,bootstrap_rotation_geodesic_degrees_median,11,-0.881818181818182
Qwen3-8B,dose_2_minus_dose_1,target_donor_fraction,subspace_principal_angle_max_degrees,11,-0.9454545454545454
Qwen3-8B,dose_2_minus_dose_1,target_donor_fraction,full_operator_cosine_to_next,10,0.9272727272727272
Qwen3-8B,dose_2_minus_dose_1,target_donor_fraction,full_operator_relative_drift_to_next,10,-0.9272727272727272
