model_label,marker_kind,eligibility,retained_labels,retained_class_count,site_kind,site_role,layer,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,0,0.875,0.825,0.85,39,4,16,16,0.6666666666666667,0.6666666666666666,23.30760947110378,13.674977326905708,2975.815185546875,127.67569274902344,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,1,1.0,1.0,1.0,39,4,16,16,1.0,1.0,17.985556710310032,12.549238851611328,2698.129638671875,150.0164649963379,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,2,0.825,0.8,0.8125,39,4,16,16,1.0,0.7666666666666666,1.393811134026257,1.4420392942397915,1712.3004150390625,1228.5024658203124,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,3,0.825,0.825,0.825,39,4,16,16,1.0,0.7333333333333333,1.5740409895571414,1.970160376206922,1706.2425537109375,1083.9886413574218,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,4,0.825,0.825,0.825,39,4,16,16,1.0,0.9,2.166760894627876,3.3581098890492838,1881.012451171875,868.1218383789062,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,5,0.825,0.8,0.8125,39,4,16,16,0.9333333333333332,0.6666666666666666,1.0979935307581434,0.4059978131232705,1438.998291015625,1310.5708282470703,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,6,0.825,0.825,0.825,39,4,16,16,0.8,0.7,1.1627937898245313,0.6550270365210551,1429.568115234375,1229.4253097534179,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,7,0.85,0.825,0.8374999999999999,39,4,16,16,0.8666666666666666,0.5666666666666667,1.1728732412847427,0.6925107811274158,1415.480712890625,1206.8488418579102,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,8,0.825,0.825,0.825,39,4,16,16,0.9,0.6333333333333333,1.2781784478820628,1.0659149037979956,1490.6458740234375,1166.2267318725585,30,3,3,3,16,0.1
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,marker_end,explicit_ordinal_cue_endpoint,9,0.8,0.8,0.8,39,4,16,16,0.8333333333333333,0.6666666666666666,1.4902397726654661,1.7325615000146892,1580.131103515625,1060.3200454711914,30,3,3,3,16,0.1
