model_label,marker_kind,eligibility,retained_labels,retained_class_count,discovery_seed_count,confirmation_seed_count,discovery_support,confirmation_support,reason
Gemma4-E4B,indexed,claim_grade,1 2 3 4 5 6 7 8 9 10,10,4,3,"{""1"": 4, ""2"": 4, ""3"": 4, ""4"": 4, ""5"": 4, ""6"": 4, ""7"": 4, ""8"": 4, ""9"": 4, ""10"": 3}","{""1"": 3, ""2"": 3, ""3"": 3, ""4"": 3, ""5"": 3, ""6"": 3, ""7"": 3, ""8"": 3, ""9"": 3, ""10"": 3}",at least 3 discovery and 2 confirmation seeds; every retained position has discovery n>=3 and confirmation n>=2
Gemma4-E4B,bullet,claim_grade,1 2 3 4 5 6 7 8 9,9,13,6,"{""1"": 13, ""2"": 12, ""3"": 9, ""4"": 8, ""5"": 6, ""6"": 5, ""7"": 5, ""8"": 5, ""9"": 4, ""10"": 3}","{""1"": 6, ""2"": 3, ""3"": 3, ""4"": 3, ""5"": 3, ""6"": 3, ""7"": 3, ""8"": 3, ""9"": 2, ""10"": 0}",at least 3 discovery and 2 confirmation seeds; every retained position has discovery n>=3 and confirmation n>=2
Gemma4-E4B,audit_sentence,exploratory_only,1 2 3 4 5 6 7 8,8,3,1,"{""1"": 3, ""2"": 3, ""3"": 3, ""4"": 3, ""5"": 3, ""6"": 3, ""7"": 3, ""8"": 3, ""9"": 2, ""10"": 1}","{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 0, ""10"": 0}",confirmation has only one seed or some retained positions have confirmation n=1; point estimates are not claim-grade
