model_label,pooling,layer,metric,family,mean,ci95_low,ci95_high,exact_sign_flip_p,seed_units,scope
Qwen3-8B,span_end,6,cosine_specificity,deformation,0.4533997267481027,0.4425447556374456,0.4642770874477719,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,7,correct_distance_specificity,retention,5.734797322750092,5.5104750476777555,5.939563188552857,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,7,margin_damage_specificity,retention,1.0075796872377396,0.935055039934814,1.0644519361108542,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,7,accuracy_damage_specificity,retention,0.35,0.27999999821186067,0.419999997317791,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,7,relative_rms_specificity,deformation,0.9771179782226682,0.9597518618218601,0.9956015687435865,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,7,cosine_specificity,deformation,0.47662348866506365,0.464089811175927,0.4888137835274392,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,8,correct_distance_specificity,retention,5.436161679029465,5.153489312529564,5.653150905817747,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,8,margin_damage_specificity,retention,1.0080770596861839,0.9224533024802803,1.0677812257781625,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,8,accuracy_damage_specificity,retention,0.3200000077486038,0.24000000655651094,0.4000000089406967,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,8,relative_rms_specificity,deformation,1.0419316599145532,1.0202623082441278,1.0634642662643454,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,8,cosine_specificity,deformation,0.5091511458158493,0.4931172264338602,0.5245674265173147,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,9,correct_distance_specificity,retention,4.007774764299393,3.7686364936828616,4.174932813644409,0.001953125,10,exploratory_layerwise_no_layer_selection
Qwen3-8B,span_end,9,margin_damage_specificity,retention,0.7290075767785311,0.6612831245642156,0.7767638258635998,0.001953125,10,exploratory_layerwise_no_layer_selection
