model_label,mode_native,layer,occurrence,metric,value_native,quality_direction_native,quality_value_native,mode_nonthinking,value_nonthinking,quality_direction_nonthinking,quality_value_nonthinking,native_minus_nonthinking_quality
Qwen3-8B,native_thinking,0,1,logistic_precision,0.07692307692307693,higher,0.07692307692307693,non_thinking,0.7777777777777778,higher,0.7777777777777778,-0.7008547008547008
Qwen3-8B,native_thinking,0,1,logistic_recall,0.1111111111111111,higher,0.1111111111111111,non_thinking,0.7777777777777778,higher,0.7777777777777778,-0.6666666666666667
Qwen3-8B,native_thinking,0,1,logistic_f1,0.09090909090909091,higher,0.09090909090909091,non_thinking,0.7777777777777778,higher,0.7777777777777778,-0.6868686868686869
Qwen3-8B,native_thinking,0,1,ncc_recall,0.0,higher,0.0,non_thinking,1.0,higher,1.0,-1.0
Qwen3-8B,native_thinking,0,1,silhouette_cosine,-0.2496197521686554,higher,-0.2496197521686554,non_thinking,0.17654304206371307,higher,0.17654304206371307,-0.42616279423236847
Qwen3-8B,native_thinking,0,1,within_trace,1244.787841796875,lower,-1244.787841796875,non_thinking,3241.467041015625,lower,-3241.467041015625,1996.67919921875
Qwen3-8B,native_thinking,0,1,class_nc1_ratio,27.278902704534513,lower,-27.278902704534513,non_thinking,1.3258282556863374,lower,-1.3258282556863374,-25.953074448848177
Qwen3-8B,native_thinking,0,1,centroid_nearest_squared,49.19446563720703,higher,49.19446563720703,non_thinking,636.1461181640625,higher,636.1461181640625,-586.9516525268555
Qwen3-8B,native_thinking,0,1,fisher_nearest,0.03952036161133602,higher,0.03952036161133602,non_thinking,0.19625253322481526,higher,0.19625253322481526,-0.15673217161347924
Qwen3-8B,native_thinking,0,1,min_bhattacharyya,0.6151764392852783,higher,0.6151764392852783,non_thinking,0.8559471368789673,higher,0.8559471368789673,-0.24077069759368896
Qwen3-8B,native_thinking,0,1,mean_bhattacharyya,1.1568919378850195,higher,1.1568919378850195,non_thinking,4.199982259008619,higher,4.199982259008619,-3.0430903211236
Qwen3-8B,native_thinking,0,1,nc2_class_cosine_deviation,0.35668566133137103,lower,-0.35668566133137103,non_thinking,0.6176571246282554,lower,-0.6176571246282554,0.26097146329688437
Qwen3-8B,native_thinking,0,2,logistic_precision,0.0,higher,0.0,non_thinking,0.3076923076923077,higher,0.3076923076923077,-0.3076923076923077
Qwen3-8B,native_thinking,0,2,logistic_recall,0.0,higher,0.0,non_thinking,0.4444444444444444,higher,0.4444444444444444,-0.4444444444444444
Qwen3-8B,native_thinking,0,2,logistic_f1,0.0,higher,0.0,non_thinking,0.36363636363636365,higher,0.36363636363636365,-0.36363636363636365
Qwen3-8B,native_thinking,0,2,ncc_recall,0.0,higher,0.0,non_thinking,0.3333333333333333,higher,0.3333333333333333,-0.3333333333333333
Qwen3-8B,native_thinking,0,2,silhouette_cosine,0.007047842722386122,higher,0.007047842722386122,non_thinking,-0.15605467557907104,higher,-0.15605467557907104,0.16310251830145717
Qwen3-8B,native_thinking,0,2,within_trace,678.0001831054688,lower,-678.0001831054688,non_thinking,4129.00537109375,lower,-4129.00537109375,3451.0051879882812
Qwen3-8B,native_thinking,0,2,class_nc1_ratio,4.8819984806003935,lower,-4.8819984806003935,non_thinking,3.0578123285428336,lower,-3.0578123285428336,-1.82418615205756
Qwen3-8B,native_thinking,0,2,centroid_nearest_squared,65.64926147460938,higher,65.64926147460938,non_thinking,636.1461181640625,higher,636.1461181640625,-570.4968566894531
Qwen3-8B,native_thinking,0,2,fisher_nearest,0.0968277931340869,higher,0.0968277931340869,non_thinking,0.1540676412333053,higher,0.1540676412333053,-0.05723984809921839
Qwen3-8B,native_thinking,0,2,min_bhattacharyya,0.7961060106754303,higher,0.7961060106754303,non_thinking,0.8559471368789673,higher,0.8559471368789673,-0.05984112620353699
Qwen3-8B,native_thinking,0,2,mean_bhattacharyya,1.9324065877331629,higher,1.9324065877331629,non_thinking,2.3653138279914856,higher,2.3653138279914856,-0.4329072402583227
Qwen3-8B,native_thinking,0,2,nc2_class_cosine_deviation,0.38420305079148137,lower,-0.38420305079148137,non_thinking,0.6341996156139138,lower,-0.6341996156139138,0.24999656482243243
Qwen3-8B,native_thinking,0,3,logistic_precision,0.13333333333333333,higher,0.13333333333333333,non_thinking,0.2857142857142857,higher,0.2857142857142857,-0.15238095238095237
Qwen3-8B,native_thinking,0,3,logistic_recall,0.2222222222222222,higher,0.2222222222222222,non_thinking,0.2222222222222222,higher,0.2222222222222222,0.0
Qwen3-8B,native_thinking,0,3,logistic_f1,0.16666666666666666,higher,0.16666666666666666,non_thinking,0.25,higher,0.25,-0.08333333333333334
Qwen3-8B,native_thinking,0,3,ncc_recall,0.3333333333333333,higher,0.3333333333333333,non_thinking,0.1111111111111111,higher,0.1111111111111111,0.2222222222222222
Qwen3-8B,native_thinking,0,3,silhouette_cosine,-0.22575180232524872,higher,-0.22575180232524872,non_thinking,-0.15419702231884003,higher,-0.15419702231884003,-0.07155478000640869
Qwen3-8B,native_thinking,0,3,within_trace,2746.431884765625,lower,-2746.431884765625,non_thinking,3449.642578125,lower,-3449.642578125,703.210693359375
Qwen3-8B,native_thinking,0,3,class_nc1_ratio,10.417512046379498,lower,-10.417512046379498,non_thinking,9.468461156165016,lower,-9.468461156165016,-0.9490508902144814
Qwen3-8B,native_thinking,0,3,centroid_nearest_squared,170.58580017089844,higher,170.58580017089844,non_thinking,515.66357421875,higher,515.66357421875,-345.07777404785156
Qwen3-8B,native_thinking,0,3,fisher_nearest,0.06211178988895837,higher,0.06211178988895837,non_thinking,0.14948318921174464,higher,0.14948318921174464,-0.08737139932278626
Qwen3-8B,native_thinking,0,3,min_bhattacharyya,0.8465622141957283,higher,0.8465622141957283,non_thinking,0.8662930130958557,higher,0.8662930130958557,-0.01973079890012741
Qwen3-8B,native_thinking,0,3,mean_bhattacharyya,2.0226146719521947,higher,2.0226146719521947,non_thinking,1.7028104000621371,higher,1.7028104000621371,0.31980427189005756
Qwen3-8B,native_thinking,0,3,nc2_class_cosine_deviation,0.3810029324190116,lower,-0.3810029324190116,non_thinking,0.5161046049109211,lower,-0.5161046049109211,0.13510167249190952
Qwen3-8B,native_thinking,0,4,logistic_precision,0.2,higher,0.2,non_thinking,0.14285714285714285,higher,0.14285714285714285,0.05714285714285716
Qwen3-8B,native_thinking,0,4,logistic_recall,0.1111111111111111,higher,0.1111111111111111,non_thinking,0.1111111111111111,higher,0.1111111111111111,0.0
Qwen3-8B,native_thinking,0,4,logistic_f1,0.14285714285714285,higher,0.14285714285714285,non_thinking,0.125,higher,0.125,0.01785714285714285
Qwen3-8B,native_thinking,0,4,ncc_recall,0.0,higher,0.0,non_thinking,0.2222222222222222,higher,0.2222222222222222,-0.2222222222222222
Qwen3-8B,native_thinking,0,4,silhouette_cosine,-0.2770809531211853,higher,-0.2770809531211853,non_thinking,-0.19744674861431122,higher,-0.19744674861431122,-0.07963420450687408
Qwen3-8B,native_thinking,0,4,within_trace,2206.8427734375,lower,-2206.8427734375,non_thinking,3482.38525390625,lower,-3482.38525390625,1275.54248046875
Qwen3-8B,native_thinking,0,4,class_nc1_ratio,25.86153045606819,lower,-25.86153045606819,non_thinking,26.399856804542985,lower,-26.399856804542985,0.5383263484747935
