model_label,boundary,discovery_early_layer_start,discovery_early_layer_end,discovery_early_plateau,discovery_half_threshold,required_consecutive_layers,frozen_boundary_layer,confirmation_specificity_at_boundary,confirmation_full_minus_endpoint_at_boundary
Gemma4-E4B,half_early_plateau,0,10,2.879839515095288,1.439919757547644,3,17,-0.0880282612261425,-0.06770348219199727
Gemma4-E4B,near_zero_0.10_count,0,10,2.879839515095288,1.439919757547644,3,18,-0.10659470097989945,-0.08228116236086475
Qwen3-8B,half_early_plateau,0,8,2.8321824354795235,1.4160912177397618,3,19,1.2943579925031545,1.3065659948610635
Qwen3-8B,near_zero_0.10_count,0,8,2.8321824354795235,1.4160912177397618,3,23,-0.0735427826975651,-0.0721100607388448
