model_label,patch_layer,frozen_heads,seeds,counts,needle_delta_mass,ordinary_delta_mass,mass_specificity,needle_delta_broad_score,ordinary_delta_broad_score,broad_specificity
Gemma4-E4B,17,8,30,1-10,0.157669,0.001056,0.156612,0.134315,0.000662,0.133653
Gemma4-E4B,18,8,30,1-10,0.147137,0.000511,0.146626,0.124884,0.000338,0.124545
Gemma4-E4B,19,8,30,1-10,0.138016,0.000082,0.137934,0.115851,0.000009,0.115842
Gemma4-E4B,20,8,30,1-10,0.121291,0.000102,0.121189,0.102253,-0.000042,0.102295
Gemma4-E4B,21,8,30,1-10,0.111826,-0.000154,0.111980,0.093602,-0.000278,0.093880
Gemma4-E4B,22,8,30,1-10,0.119056,-0.000466,0.119522,0.101127,-0.000547,0.101674
Gemma4-E4B,23,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,24,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,25,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,26,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,27,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,28,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,29,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,30,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,31,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,32,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,33,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,34,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,35,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,36,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,37,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,38,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,39,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,40,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,41,8,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
