model_label,seed,gold_count,patch_layer,normalized_recovery_full_minus_endpoint,expected_absolute_error_reduction_full_minus_endpoint,strict_absolute_error_reduction_full_minus_endpoint,clean_strict_correct
Gemma4-E4B,1234,3,1,1.0379220269266622,1.7434354063601951,10.0,True
Gemma4-E4B,1234,3,2,1.0416850266087552,1.7528210590725117,10.0,True
Gemma4-E4B,1234,3,3,1.0390352153432916,1.7429694708842371,10.0,True
Gemma4-E4B,1234,3,4,1.0166830608471942,1.7067502066291536,10.0,True
Gemma4-E4B,1234,3,5,0.9767553754989111,1.6417841282332568,10.0,True
Gemma4-E4B,1234,3,6,1.0241372318760644,1.720990780188842,10.0,True
Gemma4-E4B,1234,3,7,1.043461688684166,1.750789306357103,10.0,True
Gemma4-E4B,1234,3,8,1.00871298106258,1.6906366504169055,10.0,True
Gemma4-E4B,1234,3,9,0.9950554722326126,1.6675441406092217,10.0,True
Gemma4-E4B,1234,3,10,1.0164851893902587,1.7106403952929343,10.0,True
Gemma4-E4B,1234,3,11,0.491784896249403,0.8292757724830853,9.0,True
Gemma4-E4B,1234,3,12,0.41386669047934616,0.6978856448617383,9.0,True
Gemma4-E4B,1234,3,13,0.42875967474399174,0.7229990453033392,9.0,True
Gemma4-E4B,1234,3,14,0.434166921319355,0.732117053227106,9.0,True
Gemma4-E4B,1234,3,15,0.4302999754011371,0.7255963882210499,9.0,True
Gemma4-E4B,1234,3,16,0.399858198734277,0.6742637262102884,9.0,True
Gemma4-E4B,1234,3,17,-0.04455474795594007,-0.07513076003500019,0.0,True
Gemma4-E4B,1234,3,18,-0.05615867633912666,-0.09469796664747276,0.0,True
Gemma4-E4B,1234,3,19,-0.06316727280643478,-0.10651626219451948,0.0,True
Gemma4-E4B,1234,3,20,-0.059872472354762146,-0.10096038154308773,0.0,True
Gemma4-E4B,1234,3,21,-0.013160466431671847,-0.022191929946599354,0.0,True
Gemma4-E4B,1234,3,22,-0.041536093174635975,-0.07004053198058635,0.0,True
Gemma4-E4B,1234,3,23,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,24,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,25,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,26,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,27,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,28,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,29,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,30,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,31,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,32,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,33,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,34,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,35,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,36,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,37,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,38,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,39,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,40,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,41,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,0,0.9832423009886576,2.7291274514654837,10.0,True
