model_label,seed,gold_count,patch_layer,normalized_recovery_specificity,expected_absolute_error_reduction_specificity,strict_absolute_error_reduction_specificity,clean_strict_correct
Gemma4-E4B,1234,1,0,0.4094701749856181,0.2208807394337744,10.0,True
Gemma4-E4B,1234,1,1,-0.4757975500738305,0.2209709691448245,10.0,True
Gemma4-E4B,1234,1,2,0.7727136264281966,0.22099208105962087,10.0,True
Gemma4-E4B,1234,1,3,0.5007305507531297,0.22102194185193258,10.0,True
Gemma4-E4B,1234,1,4,-0.19759326596903648,0.2210594075313137,10.0,True
Gemma4-E4B,1234,1,5,1.7577707611132214,0.2210231717810618,10.0,True
Gemma4-E4B,1234,1,6,0.6358136119097428,0.22108408039752026,10.0,True
Gemma4-E4B,1234,1,7,0.6610952115765254,0.22104993797486405,10.0,True
Gemma4-E4B,1234,1,8,0.7276578985579485,0.22104256380940224,10.0,True
Gemma4-E4B,1234,1,9,1.2526982015384764,0.22103319496565765,10.0,True
Gemma4-E4B,1234,1,10,0.8321599084432911,0.22097634160289514,10.0,True
Gemma4-E4B,1234,1,11,0.8109245066858768,0.22094620533316123,10.0,True
Gemma4-E4B,1234,1,12,1.4788226139678038,0.22093586335230997,10.0,True
Gemma4-E4B,1234,1,13,1.2154828917789762,0.220861322091068,10.0,True
Gemma4-E4B,1234,1,14,0.8717895855917093,0.2207712040585854,10.0,True
Gemma4-E4B,1234,1,15,1.327972271250019,0.22071903525300707,10.0,True
Gemma4-E4B,1234,1,16,0.5016759929716395,0.22073605215194192,10.0,True
Gemma4-E4B,1234,1,17,1.0240733390281613,0.10340458976912914,0.0,True
Gemma4-E4B,1234,1,18,0.3227374164572168,0.13940884654768415,0.0,True
Gemma4-E4B,1234,1,19,1.2383713293560876,0.11496740134388128,0.0,True
Gemma4-E4B,1234,1,20,0.3200542170845624,0.10503930320516841,0.0,True
Gemma4-E4B,1234,1,21,0.3778467074171548,0.05558486724335299,0.0,True
Gemma4-E4B,1234,1,22,0.209042632551035,0.05228362369289696,0.0,True
Gemma4-E4B,1234,1,23,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,24,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,25,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,26,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,27,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,28,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,29,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,30,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,31,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,32,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,33,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,34,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,35,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,36,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,37,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,38,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,39,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,40,-0.0,0.0,0.0,True
Gemma4-E4B,1234,1,41,-0.0,0.0,0.0,True
Gemma4-E4B,1234,2,0,0.10477685985218388,0.787693251241256,10.0,True
Gemma4-E4B,1234,2,1,0.7272651707513131,0.7877666150138647,10.0,True
Gemma4-E4B,1234,2,2,0.47396063362839846,0.7877151773503746,10.0,True
Gemma4-E4B,1234,2,3,0.15273756895998325,0.7873803755719766,10.0,True
Gemma4-E4B,1234,2,4,0.20963664661098858,0.7873408150254597,10.0,True
Gemma4-E4B,1234,2,5,0.6637893721393284,0.7876820418752797,10.0,True
Gemma4-E4B,1234,2,6,0.8812782782267475,0.7875345219834669,10.0,True
Gemma4-E4B,1234,2,7,0.8370483445078409,0.7876084905818581,10.0,True
Gemma4-E4B,1234,2,8,1.0756525952929195,0.787495922445373,10.0,True
Gemma4-E4B,1234,2,9,0.6722930141471578,0.7874680854153293,10.0,True
Gemma4-E4B,1234,2,10,0.6126381625478404,0.7872558202016637,10.0,True
Gemma4-E4B,1234,2,11,0.8015952377352882,0.787250712104018,10.0,True
Gemma4-E4B,1234,2,12,1.504962905902346,0.787612426930653,10.0,True
Gemma4-E4B,1234,2,13,0.5431537777406206,0.7871423570813947,10.0,True
Gemma4-E4B,1234,2,14,1.5439647519784407,0.7873884693268083,10.0,True
Gemma4-E4B,1234,2,15,0.44478483855222495,0.7876052787648866,10.0,True
Gemma4-E4B,1234,2,16,0.9620492142642617,0.7872496051308595,10.0,True
Gemma4-E4B,1234,2,17,-0.3936030975595104,0.06035982290391195,0.0,True
Gemma4-E4B,1234,2,18,-0.20712023368265814,0.09859214673881556,0.0,True
Gemma4-E4B,1234,2,19,0.03482283006093627,0.05751670383675256,0.0,True
Gemma4-E4B,1234,2,20,0.15848527270135668,-0.04160184045543369,0.0,True
Gemma4-E4B,1234,2,21,-0.4758010846192602,-0.043904627403704266,0.0,True
Gemma4-E4B,1234,2,22,-0.4307439321758717,-0.04391324480026859,0.0,True
Gemma4-E4B,1234,2,23,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,24,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,25,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,26,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,27,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,28,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,29,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,30,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,31,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,32,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,33,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,34,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,35,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,36,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,37,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,38,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,39,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,40,0.0,0.0,0.0,True
Gemma4-E4B,1234,2,41,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,0,-0.2780367933240657,1.679192444280853,10.0,True
Gemma4-E4B,1234,3,1,-0.04798242606632064,1.6772200785064024,10.0,True
Gemma4-E4B,1234,3,2,-0.07523078434956743,1.6786862841060364,10.0,True
Gemma4-E4B,1234,3,3,0.4848119812005397,1.6771376819184196,10.0,True
Gemma4-E4B,1234,3,4,0.38949484703814485,1.6776795823356112,10.0,True
Gemma4-E4B,1234,3,5,0.013158084691245131,1.6780918406208003,10.0,True
Gemma4-E4B,1234,3,6,0.2607893472008963,1.678252617034738,10.0,True
Gemma4-E4B,1234,3,7,-0.37799647893203336,1.675549683641818,10.0,True
Gemma4-E4B,1234,3,8,0.23148030917335594,1.6760175499376446,10.0,True
Gemma4-E4B,1234,3,9,-0.18335122709899498,1.6751371917747964,10.0,True
Gemma4-E4B,1234,3,10,-0.01655166880174519,1.67896295200564,10.0,True
Gemma4-E4B,1234,3,11,-0.5460876790941233,0.8044827708821853,9.0,True
Gemma4-E4B,1234,3,12,-0.4650387322030522,0.7008946655994159,9.0,True
Gemma4-E4B,1234,3,13,-0.3576146416060549,0.6954868813966972,9.0,True
Gemma4-E4B,1234,3,14,-0.05938646755918686,0.6943685731217917,9.0,True
Gemma4-E4B,1234,3,15,0.3888947537460879,0.7043227753007422,9.0,True
Gemma4-E4B,1234,3,16,0.775899660533629,0.695452379952509,9.0,True
Gemma4-E4B,1234,3,17,-0.526568335428584,-0.1207534531463923,0.0,True
Gemma4-E4B,1234,3,18,-0.3714227681935134,-0.09867426455895734,0.0,True
Gemma4-E4B,1234,3,19,-0.3007007575981432,-0.16818483560218933,0.0,True
Gemma4-E4B,1234,3,20,-0.11507484192720968,-0.13173023842704823,0.0,True
Gemma4-E4B,1234,3,21,-0.5310233716955374,-0.09182817236034824,0.0,True
Gemma4-E4B,1234,3,22,-0.6737975176840363,-0.1268187943770953,0.0,True
Gemma4-E4B,1234,3,23,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,24,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,25,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,26,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,27,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,28,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,29,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,30,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,31,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,32,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,33,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,34,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,35,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,36,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,37,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,38,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,39,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,40,0.0,0.0,0.0,True
Gemma4-E4B,1234,3,41,0.0,0.0,0.0,True
Gemma4-E4B,1234,4,0,-0.16273149738070336,2.7578447628259646,10.0,True
Gemma4-E4B,1234,4,1,-0.06809582933650282,2.7565286976758387,10.0,True
Gemma4-E4B,1234,4,2,-0.0057715623444700714,2.7579941890429196,10.0,True
Gemma4-E4B,1234,4,3,0.31316288379650703,2.758567659304103,10.0,True
Gemma4-E4B,1234,4,4,-0.10731920029456599,2.742257468019934,10.0,True
Gemma4-E4B,1234,4,5,0.07589927362506388,2.743063486555927,10.0,True
Gemma4-E4B,1234,4,6,0.10912843230926872,2.762008893700019,10.0,True
Gemma4-E4B,1234,4,7,0.5992189884032948,2.7581349617584645,10.0,True
Gemma4-E4B,1234,4,8,0.33164526973572794,2.743318262131876,10.0,True
Gemma4-E4B,1234,4,9,0.7945499471397637,2.7187400005099565,10.0,True
Gemma4-E4B,1234,4,10,0.23472386236746023,2.750681945390419,10.0,True
Gemma4-E4B,1234,4,11,0.04055649984594467,1.8745260498806458,9.0,True
Gemma4-E4B,1234,4,12,-0.05285551683724121,1.8188263871873884,9.0,True
Gemma4-E4B,1234,4,13,0.3850977280294506,1.789885056655176,9.0,True
Gemma4-E4B,1234,4,14,0.07805366357914134,1.824838563915955,9.0,True
Gemma4-E4B,1234,4,15,0.01655272735126223,1.8143625817414795,9.0,True
Gemma4-E4B,1234,4,16,0.21177496913983163,1.804858896031186,9.0,True
Gemma4-E4B,1234,4,17,0.5357199866735757,0.09477327547204961,0.0,True
Gemma4-E4B,1234,4,18,0.5903768031889609,0.043223376333747066,0.0,True
Gemma4-E4B,1234,4,19,0.4899685136575099,0.11783399768824099,0.0,True
Gemma4-E4B,1234,4,20,0.4009931595388998,-0.042498990089934185,0.0,True
