model_label,layer,metric,estimand,native_minus_nonthinking,jackknife_se,ci_low_normal,ci_high_normal,jackknife_seed_count
Qwen3-8B,0,centroid_nearest_squared,quality_slope_per_index,69.43383493134465,34.118998211788934,2.5605984362383367,136.30707142645096,10
Qwen3-8B,0,centroid_nearest_squared,quality_spearman,0.6660370384358568,0.7582882492414119,-0.8202079300773105,2.152282006949024,10
Qwen3-8B,0,centroid_nearest_squared,late_8_10_minus_early_1_3,467.09800211588544,253.75301126555257,-30.257899964597584,964.4539041963685,10
Qwen3-8B,0,class_nc1_ratio,quality_slope_per_index,-0.7121995905124754,0.4502644576123574,-1.594717927432696,0.17031874640774514,10
Qwen3-8B,0,class_nc1_ratio,quality_spearman,-0.21818181818181817,0.38313193895135933,-0.9691204185264825,0.5327567821628462,10
Qwen3-8B,0,class_nc1_ratio,late_8_10_minus_early_1_3,-3.3473258533966224,3.563818900446756,-10.332410898272265,3.6377591914790193,10
Qwen3-8B,0,fisher_nearest,quality_slope_per_index,0.003908115328545674,0.01909967799450644,-0.03352725354068695,0.0413434841977783,10
Qwen3-8B,0,fisher_nearest,quality_spearman,0.20606060606060606,0.46284781426896,-0.7011211099065555,1.1132423220277676,10
Qwen3-8B,0,fisher_nearest,late_8_10_minus_early_1_3,0.021073542640581047,0.14201957078935942,-0.25728481610656345,0.2994319013877255,10
Qwen3-8B,0,logistic_f1,quality_slope_per_index,-0.00782767745010312,0.02008544195602771,-0.04719514368391743,0.03153978878371119,10
Qwen3-8B,0,logistic_f1,quality_spearman,-0.5582763033257057,0.3820326415642754,-1.3070602807916853,0.19050767414027414,10
Qwen3-8B,0,logistic_f1,late_8_10_minus_early_1_3,-0.045187118834312284,0.15217199703425197,-0.3434442330214461,0.2530699953528216,10
Qwen3-8B,0,logistic_precision,quality_slope_per_index,-0.011022142840324673,0.02297925995189092,-0.056061492346030875,0.03401720666538152,10
Qwen3-8B,0,logistic_precision,quality_spearman,-0.3864635163317086,0.46969670976512995,-1.3070690674713634,0.5341420348079461,10
Qwen3-8B,0,logistic_precision,late_8_10_minus_early_1_3,-0.04899267399267396,0.18000263913744047,-0.4017978467020573,0.30381249871670934,10
Qwen3-8B,0,logistic_recall,quality_slope_per_index,-0.01319865319865323,0.021445267544402753,-0.055231377585682626,0.028834071188376165,10
