model_label,target_passage_tokens,num_needles,query_order,q_hat,q_hat_power_N,all_pairs_found,exact_correct,scheme
Qwen3-8B,10000,10,query_first,0.9945289858669039,0.9466173343830218,1.0,0.0,seed
Qwen3-8B,10000,10,query_first,0.9961762379688228,0.9624136674609379,1.0,0.0,seed
Qwen3-8B,10000,10,query_first,0.993944939648308,0.9410729055940562,1.0,0.0,seed
Qwen3-8B,10000,10,query_first,0.9963298592385582,0.9638988449287819,1.0,0.0,seed
Qwen3-8B,10000,10,query_first,0.9953529989556056,0.954489802756777,1.0,0.0,seed
Qwen3-8B,10000,1,query_first,0.9920695098923461,0.9920695098923461,1.0,1.0,seed
Qwen3-8B,10000,1,query_first,0.9911576196540071,0.9911576196540071,1.0,1.0,seed
Qwen3-8B,10000,1,query_first,0.9882490562628454,0.9882490562628454,1.0,1.0,seed
Qwen3-8B,10000,1,query_first,0.992631816181287,0.992631816181287,1.0,1.0,seed
Qwen3-8B,10000,1,query_first,0.9920477959545978,0.9920477959545978,1.0,1.0,seed
Qwen3-8B,10000,20,query_first,0.995108283309226,0.9065814461749264,1.0,0.0,seed
Qwen3-8B,10000,20,query_first,0.9970310385293558,0.9422661081273642,1.0,0.0,seed
Qwen3-8B,10000,20,query_first,0.9950436262055511,0.9054040715386567,1.0,0.0,seed
Qwen3-8B,10000,20,query_first,0.99702570046875,0.9421652162278461,1.0,0.0,seed
Qwen3-8B,10000,20,query_first,0.9960480961818479,0.9238600641962743,1.0,0.0,seed
Qwen3-8B,10000,2,query_first,0.992907371316602,0.9858650480148445,1.0,1.0,seed
Qwen3-8B,10000,2,query_first,0.9931265894977056,0.9863004227673443,1.0,0.0,seed
Qwen3-8B,10000,2,query_first,0.9903712448842744,0.9808352026936275,1.0,0.0,seed
Qwen3-8B,10000,2,query_first,0.994024583799585,0.9880848731979383,1.0,0.0,seed
Qwen3-8B,10000,2,query_first,0.9932339238921786,0.986513627570254,1.0,0.0,seed
Qwen3-8B,10000,30,query_first,0.9954184156335102,0.8713048531434512,1.0,0.0,seed
Qwen3-8B,10000,30,query_first,0.9974397328331072,0.925976421249278,1.0,0.0,seed
Qwen3-8B,10000,30,query_first,0.995591838288337,0.875870360647171,1.0,0.0,seed
Qwen3-8B,10000,30,query_first,0.9973700264568479,0.9240370229867554,1.0,0.0,seed
Qwen3-8B,10000,30,query_first,0.996405626770653,0.8976047473457315,0.0,0.0,seed
Qwen3-8B,10000,3,query_first,0.9933561087063092,0.9802004567235523,1.0,0.0,seed
Qwen3-8B,10000,3,query_first,0.9940695563242057,0.9823139708845264,1.0,0.0,seed
Qwen3-8B,10000,3,query_first,0.9914318072524885,0.9745150345136644,1.0,0.0,seed
Qwen3-8B,10000,3,query_first,0.9947144984949564,0.9842271574047976,1.0,0.0,seed
Qwen3-8B,10000,3,query_first,0.9938444805556499,0.9816468796906243,1.0,0.0,seed
Qwen3-8B,10000,4,query_first,0.9936572780877058,0.9748694740229393,1.0,0.0,seed
Qwen3-8B,10000,4,query_first,0.9946594829633791,0.9788084501301252,1.0,0.0,seed
Qwen3-8B,10000,4,query_first,0.9921132306239101,0.9688241708878643,1.0,0.0,seed
Qwen3-8B,10000,4,query_first,0.9951553690480595,0.9807618446148069,1.0,0.0,seed
Qwen3-8B,10000,4,query_first,0.9942441588730219,0.9771746520748169,1.0,0.0,seed
Qwen3-8B,10000,5,query_first,0.9938815074204917,0.96977961309968,1.0,0.0,seed
Qwen3-8B,10000,5,query_first,0.9950765451107109,0.9756239391035617,1.0,0.0,seed
Qwen3-8B,10000,5,query_first,0.9926045157736118,0.9635654808460741,1.0,0.0,seed
Qwen3-8B,10000,5,query_first,0.9954719643820179,0.9775639266876823,1.0,0.0,seed
Qwen3-8B,10000,5,query_first,0.9945363122712014,0.9729784536290903,1.0,0.0,seed
Qwen3-8B,10000,6,query_first,0.9940588541669243,0.9648784077348302,1.0,0.0,seed
Qwen3-8B,10000,6,query_first,0.9953931268471395,0.9726751615713093,1.0,0.0,seed
Qwen3-8B,10000,6,query_first,0.9929832808038433,0.9586313270336755,1.0,0.0,seed
Qwen3-8B,10000,6,query_first,0.9957152873479671,0.9745655373320237,1.0,0.0,seed
Qwen3-8B,10000,6,query_first,0.9947640345988634,0.9689925779340529,1.0,0.0,seed
Qwen3-8B,10000,8,query_first,0.9943283497898177,0.9555173468405613,1.0,0.0,seed
Qwen3-8B,10000,8,query_first,0.9958519416526904,0.9672933358488652,1.0,0.0,seed
Qwen3-8B,10000,8,query_first,0.993542120098541,0.9494897179026003,1.0,0.0,seed
Qwen3-8B,10000,8,query_first,0.9960730103571187,0.9690125030776738,1.0,0.0,seed
Qwen3-8B,10000,8,query_first,0.9951043003230614,0.9614989721355744,1.0,0.0,seed
Qwen3-8B,2000,10,query_first,0.9957814197787059,0.958606093745351,1.0,1.0,seed
Qwen3-8B,2000,10,query_first,0.9978756888621729,0.9789588139239366,1.0,1.0,seed
Qwen3-8B,2000,10,query_first,0.996197356918409,0.9626177187530799,1.0,1.0,seed
Qwen3-8B,2000,10,query_first,0.997747789961389,0.9777047943484198,1.0,1.0,seed
Qwen3-8B,2000,10,query_first,0.9968105296855553,0.9685591974732393,1.0,1.0,seed
Qwen3-8B,2000,1,query_first,0.9938815074204917,0.9938815074204917,1.0,1.0,seed
Qwen3-8B,2000,1,query_first,0.9950765451107109,0.9950765451107109,1.0,1.0,seed
Qwen3-8B,2000,1,query_first,0.9926045157736118,0.9926045157736118,1.0,1.0,seed
Qwen3-8B,2000,1,query_first,0.9954719643820179,0.9954719643820179,1.0,1.0,seed
Qwen3-8B,2000,1,query_first,0.9945363122712014,0.9945363122712014,1.0,1.0,seed
Qwen3-8B,2000,20,query_first,0.9962286063498405,0.9272143913908706,1.0,1.0,seed
Qwen3-8B,2000,20,query_first,0.998351206616306,0.9675355768764509,1.0,1.0,seed
Qwen3-8B,2000,20,query_first,0.996888623268328,0.9395779042890963,1.0,1.0,seed
