scheme,held_out,converged,model_label,log_kappa,kappa,tau,query_last_log_neff_effect
seed,seed=1234,True,Gemma4-12B,-0.2119865685749865,0.808975563188144,0.704536278301455,0.0
seed,seed=1234,True,Gemma4-E4B,0.4869650182036481,1.627369680068109,0.704536278301455,0.0
seed,seed=1234,True,Llama3.1-8B,-0.6424239858251948,0.5260158225384893,0.704536278301455,0.0
seed,seed=1234,True,Llama3.2-3B,-0.6539316155163214,0.5199973229898689,0.704536278301455,0.0
seed,seed=1234,True,OLMo-Hybrid-7B,-0.7780387965513599,0.4593059209199477,0.704536278301455,0.0
seed,seed=1234,True,Qwen3-1.7B,0.42021171619973574,1.5222838136477521,0.704536278301455,0.0
seed,seed=1234,True,Qwen3-32B,-0.2086745092630176,0.8116593802626264,0.704536278301455,0.0
seed,seed=1234,True,Qwen3-8B,-1.2997707620340193,0.272594274829239,0.704536278301455,0.0
seed,seed=1235,True,Gemma4-12B,-0.22988228472391006,0.7946271367508123,0.7485843018366636,0.0
seed,seed=1235,True,Gemma4-E4B,0.2759874619771998,1.3178313409243207,0.7485843018366636,0.0
seed,seed=1235,True,Llama3.1-8B,-1.1542410194879664,0.3152967502017249,0.7485843018366636,0.0
seed,seed=1235,True,Llama3.2-3B,-0.8331971468065194,0.43465739895803385,0.7485843018366636,0.0
seed,seed=1235,True,OLMo-Hybrid-7B,-0.9107442100691715,0.40222477289412223,0.7485843018366636,0.0
seed,seed=1235,True,Qwen3-1.7B,0.18293342955446487,1.2007344719914,0.7485843018366636,0.0
seed,seed=1235,True,Qwen3-32B,0.1529010318976158,1.1652096546477184,0.7485843018366636,0.0
seed,seed=1235,True,Qwen3-8B,-1.5191451934075877,0.21889892324355903,0.7485843018366636,0.0
seed,seed=1236,True,Gemma4-12B,-0.12760393651937013,0.880201925955207,0.7310545706420271,0.0
seed,seed=1236,True,Gemma4-E4B,-0.024669482606649275,0.9756323221963145,0.7310545706420271,0.0
seed,seed=1236,True,Llama3.1-8B,-0.9318142136147356,0.3938385545773434,0.7310545706420271,0.0
seed,seed=1236,True,Llama3.2-3B,-0.6931300668707774,0.500008556917804,0.7310545706420271,0.0
seed,seed=1236,True,OLMo-Hybrid-7B,-0.9752807911642991,0.37708645615125974,0.7310545706420271,0.0
seed,seed=1236,True,Qwen3-1.7B,0.15968778674971815,1.173144542537811,0.7310545706420271,0.0
seed,seed=1236,True,Qwen3-32B,0.5355795106387067,1.708438013439405,0.7310545706420271,0.0
seed,seed=1236,True,Qwen3-8B,-1.5801028136256172,0.20595392224685732,0.7310545706420271,0.0
