mode,target,candidate,link,term,estimate,kind
direct,parse_success,inverse_separable,logistic,Qwen3-8B::query_last,11.266904652983467,binary
direct,parse_success,inverse_separable,logistic,Qwen3-8B::inv_L,19.016814221391275,binary
direct,parse_success,inverse_separable,logistic,Qwen3-8B::inv_N,21.874079945995074,binary
direct,truncated,log_burden,logistic,Gemma4-12B::intercept,7.109820948383588,binary
direct,truncated,log_burden,logistic,Gemma4-12B::query_last,12.116170622537556,binary
direct,truncated,log_burden,logistic,Gemma4-12B::log_burden,3.330857704469087,binary
direct,truncated,log_burden,logistic,Gemma4-E4B::intercept,-1.0454056658560975,binary
direct,truncated,log_burden,logistic,Gemma4-E4B::query_last,-1.8365165515493544,binary
direct,truncated,log_burden,logistic,Gemma4-E4B::log_burden,-0.14610718189754757,binary
direct,truncated,log_burden,logistic,Llama3.1-8B::intercept,-38.981533767508765,binary
direct,truncated,log_burden,logistic,Llama3.1-8B::query_last,-9.486743904004342,binary
direct,truncated,log_burden,logistic,Llama3.1-8B::log_burden,15.128208596469209,binary
direct,truncated,log_burden,logistic,Llama3.2-3B::intercept,-2.3173404316212936,binary
direct,truncated,log_burden,logistic,Llama3.2-3B::query_last,-12.496638831047408,binary
direct,truncated,log_burden,logistic,Llama3.2-3B::log_burden,1.0862315738900825,binary
direct,truncated,log_burden,logistic,OLMo-Hybrid-7B::intercept,-14.024938167879261,binary
direct,truncated,log_burden,logistic,OLMo-Hybrid-7B::query_last,-1.8711118833085079,binary
direct,truncated,log_burden,logistic,OLMo-Hybrid-7B::log_burden,-0.03584067698718684,binary
direct,truncated,log_burden,logistic,Qwen3-1.7B::intercept,-14.024938167879275,binary
direct,truncated,log_burden,logistic,Qwen3-1.7B::query_last,-1.871111883308512,binary
direct,truncated,log_burden,logistic,Qwen3-1.7B::log_burden,-0.03584067698718895,binary
direct,truncated,log_burden,logistic,Qwen3-32B::intercept,-5.547126727201136,binary
direct,truncated,log_burden,logistic,Qwen3-32B::query_last,-9.96507045877397,binary
direct,truncated,log_burden,logistic,Qwen3-32B::log_burden,1.4011302117105906,binary
direct,truncated,log_burden,logistic,Qwen3-8B::intercept,-14.14218901625858,binary
direct,truncated,log_burden,logistic,Qwen3-8B::query_last,-11.337814794070713,binary
direct,truncated,log_burden,logistic,Qwen3-8B::log_burden,5.907346967734659,binary
direct,exact_given_parsed,power_separable,logistic,Gemma4-12B::intercept,4.493105605691827,binary
direct,exact_given_parsed,power_separable,logistic,Gemma4-12B::query_last,0.0,binary
direct,exact_given_parsed,power_separable,logistic,Gemma4-12B::log_L,-2.0846362459523466,binary
direct,exact_given_parsed,power_separable,logistic,Gemma4-12B::log_N,-5.114491705267279,binary
direct,exact_given_parsed,power_separable,logistic,Gemma4-E4B::intercept,-0.43286117002351204,binary
direct,exact_given_parsed,power_separable,logistic,Gemma4-E4B::query_last,0.5488126706402798,binary
direct,exact_given_parsed,power_separable,logistic,Gemma4-E4B::log_L,-0.49292528275530084,binary
direct,exact_given_parsed,power_separable,logistic,Gemma4-E4B::log_N,-3.007195037068887,binary
direct,exact_given_parsed,power_separable,logistic,Llama3.1-8B::intercept,-2.4215811140405097,binary
direct,exact_given_parsed,power_separable,logistic,Llama3.1-8B::query_last,1.9490681790094697,binary
direct,exact_given_parsed,power_separable,logistic,Llama3.1-8B::log_L,-1.0649899285985132,binary
direct,exact_given_parsed,power_separable,logistic,Llama3.1-8B::log_N,-1.821574106174195,binary
direct,exact_given_parsed,power_separable,logistic,Llama3.2-3B::intercept,-2.9322087517519195,binary
direct,exact_given_parsed,power_separable,logistic,Llama3.2-3B::query_last,2.3675461478915483,binary
direct,exact_given_parsed,power_separable,logistic,Llama3.2-3B::log_L,-0.07459866444913925,binary
direct,exact_given_parsed,power_separable,logistic,Llama3.2-3B::log_N,-1.9585184806929707,binary
direct,exact_given_parsed,power_separable,logistic,OLMo-Hybrid-7B::intercept,0.3176758389471157,binary
direct,exact_given_parsed,power_separable,logistic,OLMo-Hybrid-7B::query_last,-0.5255978164428061,binary
direct,exact_given_parsed,power_separable,logistic,OLMo-Hybrid-7B::log_L,-0.4917977576439206,binary
direct,exact_given_parsed,power_separable,logistic,OLMo-Hybrid-7B::log_N,-0.9983938279695592,binary
direct,exact_given_parsed,power_separable,logistic,Qwen3-1.7B::intercept,-2.4236186891984266,binary
direct,exact_given_parsed,power_separable,logistic,Qwen3-1.7B::query_last,1.6008020120174045,binary
direct,exact_given_parsed,power_separable,logistic,Qwen3-1.7B::log_L,-0.5985685158779057,binary
direct,exact_given_parsed,power_separable,logistic,Qwen3-1.7B::log_N,-1.8321259405247574,binary
direct,exact_given_parsed,power_separable,logistic,Qwen3-32B::intercept,1.4005025070361314,binary
direct,exact_given_parsed,power_separable,logistic,Qwen3-32B::query_last,-1.3555022812669915,binary
direct,exact_given_parsed,power_separable,logistic,Qwen3-32B::log_L,-1.2950723295854727,binary
direct,exact_given_parsed,power_separable,logistic,Qwen3-32B::log_N,-2.6465897936230225,binary
direct,exact_given_parsed,power_separable,logistic,Qwen3-8B::intercept,-0.34586558303675896,binary
direct,exact_given_parsed,power_separable,logistic,Qwen3-8B::query_last,-0.0006061641626865472,binary
direct,exact_given_parsed,power_separable,logistic,Qwen3-8B::log_L,-0.5996481929023956,binary
direct,exact_given_parsed,power_separable,logistic,Qwen3-8B::log_N,-3.1906910963524275,binary
direct,within_one,power_separable,logistic,Gemma4-12B::intercept,4.493105605691827,binary
direct,within_one,power_separable,logistic,Gemma4-12B::query_last,0.0,binary
direct,within_one,power_separable,logistic,Gemma4-12B::log_L,-2.0846362459523466,binary
direct,within_one,power_separable,logistic,Gemma4-12B::log_N,-5.114491705267279,binary
direct,within_one,power_separable,logistic,Gemma4-E4B::intercept,2.8694508116370074,binary
direct,within_one,power_separable,logistic,Gemma4-E4B::query_last,1.1364022534980394,binary
direct,within_one,power_separable,logistic,Gemma4-E4B::log_L,-1.7135639051171117,binary
direct,within_one,power_separable,logistic,Gemma4-E4B::log_N,-5.113125523436331,binary
direct,within_one,power_separable,logistic,Llama3.1-8B::intercept,-1.0282890587959206,binary
direct,within_one,power_separable,logistic,Llama3.1-8B::query_last,3.680860219049303,binary
direct,within_one,power_separable,logistic,Llama3.1-8B::log_L,-2.041281434515636,binary
direct,within_one,power_separable,logistic,Llama3.1-8B::log_N,-2.7757983409991014,binary
direct,within_one,power_separable,logistic,Llama3.2-3B::intercept,-2.3765893728927487,binary
direct,within_one,power_separable,logistic,Llama3.2-3B::query_last,3.5087070905253195,binary
direct,within_one,power_separable,logistic,Llama3.2-3B::log_L,-0.1329503819220122,binary
direct,within_one,power_separable,logistic,Llama3.2-3B::log_N,-2.841991389734406,binary
direct,within_one,power_separable,logistic,OLMo-Hybrid-7B::intercept,1.6773339563683878,binary
direct,within_one,power_separable,logistic,OLMo-Hybrid-7B::query_last,-0.40459245966295704,binary
direct,within_one,power_separable,logistic,OLMo-Hybrid-7B::log_L,-0.48817149583990505,binary
direct,within_one,power_separable,logistic,OLMo-Hybrid-7B::log_N,-1.9280349575438744,binary
direct,within_one,power_separable,logistic,Qwen3-1.7B::intercept,-1.641386028639536,binary
direct,within_one,power_separable,logistic,Qwen3-1.7B::query_last,2.4200799641581896,binary
direct,within_one,power_separable,logistic,Qwen3-1.7B::log_L,-0.8561399258320797,binary
direct,within_one,power_separable,logistic,Qwen3-1.7B::log_N,-3.6189162294680415,binary
direct,within_one,power_separable,logistic,Qwen3-32B::intercept,2.7649502691626173,binary
direct,within_one,power_separable,logistic,Qwen3-32B::query_last,-1.070371562010662,binary
direct,within_one,power_separable,logistic,Qwen3-32B::log_L,-1.2945842054903505,binary
direct,within_one,power_separable,logistic,Qwen3-32B::log_N,-3.095497101523637,binary
direct,within_one,power_separable,logistic,Qwen3-8B::intercept,2.049160362048551,binary
