mode,method,target,rmse,mae,r2,n_cells
direct,model_only_hurdle,cell_mean_signed_relative_bias,0.2936521641905754,0.16344640801778443,0.3964472924226301,213
direct,model_only_hurdle,cell_mean_relative_absolute_error,0.2688798181632855,0.1493565782037053,0.44416525594236467,213
direct,selected_hurdle,cell_mean_signed_relative_bias,0.42823511608113307,0.1406716496886583,-0.28355163865243305,213
direct,selected_hurdle,cell_mean_relative_absolute_error,0.4176343143232723,0.12599151028548403,-0.34097792276423733,213
direct,single_signed_surface,cell_mean_signed_relative_bias,0.2916057320923366,0.16293089219159262,0.40483017555711276,213
enumeration,model_only_hurdle,cell_mean_signed_relative_bias,34.96209346056569,13.043140790710071,0.14227008293360432,237
enumeration,model_only_hurdle,cell_mean_relative_absolute_error,34.947415329139126,13.032012162948154,0.14279427622297025,237
enumeration,selected_hurdle,cell_mean_signed_relative_bias,31.32513395842594,11.465169407812285,0.3114403437305653,237
enumeration,selected_hurdle,cell_mean_relative_absolute_error,31.323582245288744,11.460689291300934,0.3113512141912247,237
enumeration,single_signed_surface,cell_mean_signed_relative_bias,34.9802066503915,13.059363003159781,0.14138110588566988,237
native_thinking,model_only_hurdle,cell_mean_signed_relative_bias,0.07949148023444576,0.04048249954815892,0.04345762324171221,150
native_thinking,model_only_hurdle,cell_mean_relative_absolute_error,0.07177412079011093,0.038605491769313806,0.12095729474892003,150
native_thinking,selected_hurdle,cell_mean_signed_relative_bias,0.06857966641948894,0.030929083726113412,0.2880429691932228,150
native_thinking,selected_hurdle,cell_mean_relative_absolute_error,0.0677210747025328,0.030638708894100516,0.2174323428648418,150
native_thinking,single_signed_surface,cell_mean_signed_relative_bias,0.07949418763742742,0.040460984120013185,0.04339246431455668,150
