candidate,link,complexity,description,selection_score,selection_se,converged_all_folds,seed_log_loss,seed_brier,cell_log_loss,cell_brier,mode,target,kind
intercept_only,logistic,0,Model and query-order baselines only,0.5540244900105624,0.008245042761421423,True,0.5525779440477987,0.19123784487386725,0.5554710359733263,0.19200346995049608,direct,exact_correct,binary
intercept_only,survival_loglog,0,Model and query-order baselines only,0.5540245564453168,0.008244995618591629,True,0.5525778760255707,0.19123782612647164,0.5554712368650628,0.1920035394177853,direct,exact_correct,binary
log_density,logistic,1,log(N/L) density coordinate,0.47606483371673103,0.009440322933348365,True,0.47376142553478784,0.15726773102693922,0.47836824189867416,0.15833481706049632,direct,exact_correct,binary
log_density,survival_loglog,1,log(N/L) density coordinate,0.4848802978646593,0.01049141893637308,True,0.4807168748078242,0.15925644727982652,0.4890437209214944,0.16016622994571883,direct,exact_correct,binary
log_burden,logistic,1,log(N×L) burden coordinate,0.40356186594089016,0.00695017382749476,True,0.40356957846370306,0.1341539153276895,0.4035541534180772,0.13385501046309037,direct,exact_correct,binary
log_burden,survival_loglog,1,log(N×L) burden coordinate,0.4205163517965702,0.008027664206030452,True,0.4199712107328177,0.13443218511741867,0.42106149286032274,0.1341776332591877,direct,exact_correct,binary
power_separable,logistic,2,separate log L and log N orders,0.38088299123949004,0.00963835743622896,True,0.3755254118990511,0.11824045508701188,0.386240570579929,0.11970342461360936,direct,exact_correct,binary
power_separable,survival_loglog,2,separate log L and log N orders,0.40956805609242974,0.015009785543735095,True,0.397955431404893,0.1228540938337481,0.42118068077996657,0.12382174292515283,direct,exact_correct,binary
power_interaction,logistic,3,power surface plus log L × log N,0.38724665368159283,0.010241750557948912,True,0.3745859975657266,0.11860209263784437,0.39990730979745914,0.12213236682155279,direct,exact_correct,binary
power_interaction,survival_loglog,3,power surface plus log L × log N,0.4104469746289954,0.014252880941113537,True,0.3920230772856254,0.12134976528376853,0.42887087197236534,0.12448401406311227,direct,exact_correct,binary
power_quadratic,logistic,5,quadratic response surface in log coordinates,0.3949100338361258,0.015191687292593197,True,0.37645533774054124,0.11658779128122054,0.4133647299317103,0.12228041410798354,direct,exact_correct,binary
power_quadratic,survival_loglog,5,quadratic response surface in log coordinates,0.3956810565895563,0.012496862196008797,False,0.38799250247376266,0.1181829794908534,0.40336961070535,0.12244248339070947,direct,exact_correct,binary
piecewise_power,logistic,4,"piecewise log surface (L=5000, N=8 knots)",0.38125165812467143,0.010479182204879674,True,0.3731210010910401,0.11735313552713195,0.3893823151583027,0.12106924271652351,direct,exact_correct,binary
piecewise_power,survival_loglog,4,"piecewise log surface (L=5000, N=8 knots)",0.39221795111326646,0.011590020954080169,False,0.3880181356991945,0.11841809822391303,0.3964177665273384,0.12084574218402705,direct,exact_correct,binary
exponential_separable,logistic,2,separate raw/scaled L and N exponential orders,0.4375703148318155,0.020822064871007462,True,0.42293076602409285,0.12849978988835573,0.45220986363953813,0.12899990554189344,direct,exact_correct,binary
exponential_separable,survival_loglog,2,separate raw/scaled L and N exponential orders,0.4813952906037231,0.03434967738990739,True,0.4494606359542606,0.1409195584496228,0.5133299452531855,0.14099475145450305,direct,exact_correct,binary
exponential_interaction,logistic,3,"raw/scaled L,N surface plus interaction",0.436058252554844,0.019726850811822336,True,0.40662533328133144,0.12693627582612044,0.4654911718283566,0.13185804196986356,direct,exact_correct,binary
exponential_interaction,survival_loglog,3,"raw/scaled L,N surface plus interaction",0.48454493422835265,0.0299877428373799,False,0.4312728100646642,0.13317305084045652,0.5378170583920411,0.13776018329193296,direct,exact_correct,binary
root_separable,logistic,2,separate square-root L and N coordinates,0.40202888292235905,0.012908167541121769,True,0.39425121285698794,0.12164973572715965,0.4098065529877302,0.12255052980671084,direct,exact_correct,binary
root_separable,survival_loglog,2,separate square-root L and N coordinates,0.44807845585645034,0.027098469376553642,True,0.42363780045476285,0.13081577622483975,0.47251911125813784,0.13113737727857697,direct,exact_correct,binary
inverse_separable,logistic,2,separate inverse L and N coordinates,0.3817827531950852,0.008605892524575498,True,0.3770687229820055,0.11969231695438462,0.3864967834081649,0.12193326948755863,direct,exact_correct,binary
inverse_separable,survival_loglog,2,separate inverse L and N coordinates,0.3830866542152066,0.009044053836958808,True,0.37990664184138845,0.11984165792705805,0.3862666665890248,0.1211124993454203,direct,exact_correct,binary
logL_rawN,logistic,2,log length plus raw/scaled needle count,0.4339233775637126,0.0207147970480167,True,0.41921078549170054,0.12770014329891424,0.4486359696357246,0.128263260227128,direct,exact_correct,binary
logL_rawN,survival_loglog,2,log length plus raw/scaled needle count,0.4770304863147758,0.034160980974425575,True,0.4457041802598465,0.13982183811907983,0.5083567923697051,0.13975736549920403,direct,exact_correct,binary
rawL_logN,logistic,2,raw/scaled length plus log needle count,0.38492269067194346,0.009713086930608916,True,0.3794889303309683,0.11908484571932194,0.3903564510129186,0.12050615743618698,direct,exact_correct,binary
rawL_logN,survival_loglog,2,raw/scaled length plus log needle count,0.41320499750145534,0.016006429283087747,True,0.3999675320677592,0.1239008850018295,0.4264424629351514,0.12489079815209922,direct,exact_correct,binary
intercept_only,logistic,0,Model and query-order baselines only,0.12594105257097044,0.006112744347532019,True,0.1299848003337516,0.03511110675273208,0.12189730480818928,0.03456423445437113,direct,parse_success,binary
intercept_only,survival_loglog,0,Model and query-order baselines only,0.12596712585715977,0.0061331177784725984,True,0.1300369312379555,0.03511111577756821,0.12189732047636402,0.03456424058710291,direct,parse_success,binary
log_density,logistic,1,log(N/L) density coordinate,0.11949441679148665,0.006829896579465931,True,0.12350390309173286,0.033691577325157686,0.11548493049124042,0.033384408540662144,direct,parse_success,binary
log_density,survival_loglog,1,log(N/L) density coordinate,0.11910974195819843,0.006762379577595339,False,0.12315961638014843,0.033680013943295596,0.11505986753624842,0.033332867659972024,direct,parse_success,binary
log_burden,logistic,1,log(N×L) burden coordinate,0.11703605077132789,0.005808354086849008,True,0.11950031152225599,0.03306868387456795,0.11457179002039979,0.033294216460283424,direct,parse_success,binary
log_burden,survival_loglog,1,log(N×L) burden coordinate,0.1295254033100371,0.010497323408822095,False,0.12539107575489125,0.03309109908211627,0.13365973086518293,0.0336793831458844,direct,parse_success,binary
power_separable,logistic,2,separate log L and log N orders,0.1148567917156301,0.0081663126713423,True,0.11320306896316167,0.029348495364193265,0.11651051446809854,0.031273646182850605,direct,parse_success,binary
power_separable,survival_loglog,2,separate log L and log N orders,0.12379517212058602,0.01266955288516724,False,0.11405845636908554,0.029428432725011895,0.1335318878720865,0.031736196151190624,direct,parse_success,binary
power_interaction,logistic,3,power surface plus log L × log N,0.11772089957310303,0.00794685523465752,True,0.11470706977087602,0.029551092851792006,0.12073472937533003,0.03327383521604546,direct,parse_success,binary
power_interaction,survival_loglog,3,power surface plus log L × log N,0.14491115047018635,0.028218582432743937,False,0.11502784758426791,0.02958824718522278,0.17479445335610477,0.034026755933861674,direct,parse_success,binary
power_quadratic,logistic,5,quadratic response surface in log coordinates,0.1358623181653278,0.014573847079413874,True,0.13609725994433555,0.028673918898236075,0.13562737638632005,0.03118822831972994,direct,parse_success,binary
power_quadratic,survival_loglog,5,quadratic response surface in log coordinates,0.16331015240216368,0.03286463541999024,False,0.13459612055658085,0.028748176945104655,0.19202418424774653,0.03153786845935565,direct,parse_success,binary
piecewise_power,logistic,4,"piecewise log surface (L=5000, N=8 knots)",0.12706436476683583,0.012607039009508445,True,0.13156916834179516,0.028713198762969714,0.12255956119187651,0.030601017866226102,direct,parse_success,binary
piecewise_power,survival_loglog,4,"piecewise log surface (L=5000, N=8 knots)",0.14681020967052566,0.02069142307717305,False,0.13287258535720597,0.028740766702557097,0.16074783398384537,0.030251916045225223,direct,parse_success,binary
exponential_separable,logistic,2,separate raw/scaled L and N exponential orders,0.1323760739633404,0.01786860681509915,True,0.12156744508365236,0.029359572047986327,0.14318470284302842,0.03241557716262076,direct,parse_success,binary
exponential_separable,survival_loglog,2,separate raw/scaled L and N exponential orders,0.15006350914915473,0.03387360613009043,False,0.12089734219197412,0.029448022815837634,0.17922967610633536,0.03231941459378083,direct,parse_success,binary
exponential_interaction,logistic,3,"raw/scaled L,N surface plus interaction",0.13769985809482074,0.02225719307527511,True,0.12248199806694421,0.029556729293072466,0.15291771812269728,0.03530696993590652,direct,parse_success,binary
exponential_interaction,survival_loglog,3,"raw/scaled L,N surface plus interaction",0.1591000178334301,0.041762655667488685,False,0.12267971714186143,0.02957960255553359,0.1955203185249988,0.03793610496902337,direct,parse_success,binary
root_separable,logistic,2,separate square-root L and N coordinates,0.1210916222048847,0.01102571950267285,True,0.11616793669951965,0.02934926743902745,0.12601530771024977,0.03180881162925098,direct,parse_success,binary
root_separable,survival_loglog,2,separate square-root L and N coordinates,0.1441134298168938,0.03181119518200588,False,0.1156818557815862,0.029446672990283182,0.17254500385220137,0.03216645589427635,direct,parse_success,binary
inverse_separable,logistic,2,separate inverse L and N coordinates,0.1097592162369101,0.006747477557617805,True,0.11162183672142362,0.029496914224069814,0.10789659575239656,0.029901845738089072,direct,parse_success,binary
inverse_separable,survival_loglog,2,separate inverse L and N coordinates,0.12330285917014516,0.012323486074267883,False,0.11785066326871553,0.02942989565533035,0.1287550550715748,0.030360578553339568,direct,parse_success,binary
logL_rawN,logistic,2,log length plus raw/scaled needle count,0.12363503987990918,0.011827429556555637,True,0.12038444868753406,0.029266191057124497,0.1268856310722843,0.031269818055688084,direct,parse_success,binary
logL_rawN,survival_loglog,2,log length plus raw/scaled needle count,0.14774868560153448,0.03340464885108089,False,0.12258906462441639,0.029347001295515956,0.17290830657865255,0.031665894101230614,direct,parse_success,binary
rawL_logN,logistic,2,raw/scaled length plus log needle count,0.1217023721392578,0.012098576026061318,True,0.1142735300065894,0.029430677224333054,0.1291312142719262,0.03211471615790978,direct,parse_success,binary
rawL_logN,survival_loglog,2,raw/scaled length plus log needle count,0.14240829540778494,0.028357089232894175,False,0.11389365861320644,0.02952378966221077,0.17092293220236343,0.03238958802357306,direct,parse_success,binary
intercept_only,logistic,0,Model and query-order baselines only,0.11285421284713769,0.00900347627791505,True,0.11656884950311834,0.029494786587729357,0.10913957619115704,0.029104164057395347,direct,truncated,binary
intercept_only,survival_loglog,0,Model and query-order baselines only,0.1186074815590657,0.01147117504143649,True,0.1251988763753817,0.029494789952363584,0.1120160867427497,0.029104172109668185,direct,truncated,binary
log_density,logistic,1,log(N/L) density coordinate,0.11135977562998708,0.008721248978979173,True,0.1151859344534361,0.02951535064054596,0.10753361680653806,0.029405988619894602,direct,truncated,binary
log_density,survival_loglog,1,log(N/L) density coordinate,0.11658417739281243,0.011217292238431506,True,0.12318166058183569,0.029519150698434943,0.10998669420378918,0.029421036006685733,direct,truncated,binary
log_burden,logistic,1,log(N×L) burden coordinate,0.10132802976212549,0.008509098171880837,True,0.10449066271207971,0.02758017778874704,0.09816539681217128,0.02756950559841542,direct,truncated,binary
log_burden,survival_loglog,1,log(N×L) burden coordinate,0.10462218327430763,0.009842613927200067,True,0.1139466223115799,0.02756600108562588,0.09529774423703535,0.027174464734619156,direct,truncated,binary
power_separable,logistic,2,separate log L and log N orders,0.11034113926050415,0.009688688464467623,True,0.10871591658570784,0.02708666310617866,0.11196636193530046,0.02902903727273464,direct,truncated,binary
power_separable,survival_loglog,2,separate log L and log N orders,0.11496880742496088,0.01113069033188954,False,0.11849005298510905,0.026910527582175707,0.1114475618648127,0.027661895566523438,direct,truncated,binary
power_interaction,logistic,3,power surface plus log L × log N,0.11423057468304632,0.00948382636745181,True,0.11141361514814667,0.027393722021976784,0.11704753421794598,0.03112986472672904,direct,truncated,binary
power_interaction,survival_loglog,3,power surface plus log L × log N,0.12064372175731888,0.01060686831124496,False,0.1275980283280302,0.027375267755115035,0.11368941518660759,0.028961651657958876,direct,truncated,binary
