draw,sampled_seeds,converged,model_label,log_kappa,kappa,tau,query_last_log_neff_effect
0,"1235,1237,1236,1235,1235",True,Gemma4-12B,-0.5506011593526838,0.5766030758377462,0.7361054275405798,0.0
0,"1235,1237,1236,1235,1235",True,Gemma4-E4B,0.3338925562617413,1.396393101819188,0.7361054275405798,0.0
0,"1235,1237,1236,1235,1235",True,Llama3.1-8B,-0.1697285384161407,0.8438938702719735,0.7361054275405798,0.0
0,"1235,1237,1236,1235,1235",True,Llama3.2-3B,-0.6317907597123315,0.5316389105201287,0.7361054275405798,0.0
0,"1235,1237,1236,1235,1235",True,OLMo-Hybrid-7B,-0.8451834829349905,0.42947854899620197,0.7361054275405798,0.0
0,"1235,1237,1236,1235,1235",True,Qwen3-1.7B,0.18045670092783847,1.1977642582766288,0.7361054275405798,0.0
0,"1235,1237,1236,1235,1235",True,Qwen3-32B,-0.18185954815531252,0.833718429484226,0.7361054275405798,0.0
0,"1235,1237,1236,1235,1235",True,Qwen3-8B,-1.1789352798116737,0.30760607870945067,0.7361054275405798,0.0
1,"1238,1237,1235,1238,1238",True,Gemma4-12B,0.36195913496063203,1.4361402528332234,0.6772256396060254,0.0
1,"1238,1237,1235,1238,1238",True,Gemma4-E4B,0.2997547358101948,1.3495277761459488,0.6772256396060254,0.0
1,"1238,1237,1235,1238,1238",True,Llama3.1-8B,-0.9846259558617323,0.3735789358175109,0.6772256396060254,0.0
1,"1238,1237,1235,1238,1238",True,Llama3.2-3B,-0.5300802768646748,0.5885577202134022,0.6772256396060254,0.0
1,"1238,1237,1235,1238,1238",True,OLMo-Hybrid-7B,-0.8803306739305864,0.4146457764606064,0.6772256396060254,0.0
1,"1238,1237,1235,1238,1238",True,Qwen3-1.7B,0.7365669739728894,2.0887524502000643,0.6772256396060254,0.0
1,"1238,1237,1235,1238,1238",True,Qwen3-32B,0.5626058442739491,1.7552404292775001,0.6772256396060254,0.0
1,"1238,1237,1235,1238,1238",True,Qwen3-8B,-1.697826153693841,0.18308108191497943,0.6772256396060254,0.0
2,"1236,1236,1236,1236,1238",True,Gemma4-12B,-0.31066982999981463,0.7329558359516463,0.7920112264700714,0.0
2,"1236,1236,1236,1236,1238",True,Gemma4-E4B,0.9787594754328183,2.661152967823081,0.7920112264700714,0.0
2,"1236,1236,1236,1236,1238",True,Llama3.1-8B,-0.9233544560932836,0.3971844660968863,0.7920112264700714,0.0
2,"1236,1236,1236,1236,1238",True,Llama3.2-3B,-0.9484309662861188,0.38734830946036275,0.7920112264700714,0.0
2,"1236,1236,1236,1236,1238",True,OLMo-Hybrid-7B,-0.7800202640796191,0.45839672222343025,0.7920112264700714,0.0
2,"1236,1236,1236,1236,1238",True,Qwen3-1.7B,0.5775623126282106,1.7816899297182773,0.7920112264700714,0.0
2,"1236,1236,1236,1236,1238",True,Qwen3-32B,-1.4055499810609537,0.24523214632130455,0.7920112264700714,0.0
2,"1236,1236,1236,1236,1238",True,Qwen3-8B,-1.3196149257195897,0.26723818870827487,0.7920112264700714,0.0
3,"1238,1234,1237,1234,1237",True,Gemma4-12B,-0.33718616772828763,0.7137759454865006,0.7372658536675093,0.0
3,"1238,1234,1237,1234,1237",True,Gemma4-E4B,-0.16177159614318146,0.8506354707760816,0.7372658536675093,0.0
3,"1238,1234,1237,1234,1237",True,Llama3.1-8B,-1.2649319336872058,0.2822585077825626,0.7372658536675093,0.0
3,"1238,1234,1237,1234,1237",True,Llama3.2-3B,-0.8126326655199333,0.4436884440183037,0.7372658536675093,0.0
3,"1238,1234,1237,1234,1237",True,OLMo-Hybrid-7B,-0.9656660660042307,0.3807295242734883,0.7372658536675093,0.0
3,"1238,1234,1237,1234,1237",True,Qwen3-1.7B,-0.08682446149306398,0.916838021885826,0.7372658536675093,0.0
3,"1238,1234,1237,1234,1237",True,Qwen3-32B,0.5004657279639783,1.6494893051343733,0.7372658536675093,0.0
3,"1238,1234,1237,1234,1237",True,Qwen3-8B,-1.5420591782926978,0.2139401067157492,0.7372658536675093,0.0
4,"1236,1237,1235,1236,1235",True,Gemma4-12B,-0.6279094616782319,0.5337063691945948,0.7421683765752937,0.0
4,"1236,1237,1235,1236,1235",True,Gemma4-E4B,0.5689427883826953,1.7663986068091735,0.7421683765752937,0.0
4,"1236,1237,1235,1236,1235",True,Llama3.1-8B,-0.3587901704857372,0.6985209062777281,0.7421683765752937,0.0
4,"1236,1237,1235,1236,1235",True,Llama3.2-3B,-0.7282715083604121,0.4827426860613053,0.7421683765752937,0.0
4,"1236,1237,1235,1236,1235",True,OLMo-Hybrid-7B,-0.7760569342837722,0.4602171046159476,0.7421683765752937,0.0
4,"1236,1237,1235,1236,1235",True,Qwen3-1.7B,0.21576439792177637,1.2408100071439518,0.7421683765752937,0.0
4,"1236,1237,1235,1236,1235",True,Qwen3-32B,-0.6376593123809966,0.5285280964890294,0.7421683765752937,0.0
4,"1236,1237,1235,1236,1235",True,Qwen3-8B,-1.1001574098652798,0.3328186906293402,0.7421683765752937,0.0
5,"1237,1237,1237,1235,1236",True,Gemma4-12B,-1.0233765340796543,0.3593794323253008,0.6520302780565294,0.0
5,"1237,1237,1237,1235,1236",True,Gemma4-E4B,0.4049842837277814,1.4992789367957018,0.6520302780565294,0.0
5,"1237,1237,1237,1235,1236",True,Llama3.1-8B,-0.39073433737358415,0.6765598688384283,0.6520302780565294,0.0
5,"1237,1237,1237,1235,1236",True,Llama3.2-3B,-0.6314340002863175,0.5318286115494957,0.6520302780565294,0.0
5,"1237,1237,1237,1235,1236",True,OLMo-Hybrid-7B,-0.5576717793542241,0.5725405139376755,0.6520302780565294,0.0
5,"1237,1237,1237,1235,1236",True,Qwen3-1.7B,0.06497328527459985,1.0671305159046978,0.6520302780565294,0.0
5,"1237,1237,1237,1235,1236",True,Qwen3-32B,-1.164165677051553,0.3121830148617888,0.6520302780565294,0.0
5,"1237,1237,1237,1235,1236",True,Qwen3-8B,-0.8167056858496898,0.44188496725772414,0.6520302780565294,0.0
6,"1238,1234,1237,1238,1235",True,Gemma4-12B,0.1085804670086699,1.1146946010697765,0.7212210207444391,0.0
6,"1238,1234,1237,1238,1235",True,Gemma4-E4B,0.06786021456896858,1.0702156974597317,0.7212210207444391,0.0
6,"1238,1234,1237,1238,1235",True,Llama3.1-8B,-1.051336088719328,0.349470513435765,0.7212210207444391,0.0
6,"1238,1234,1237,1238,1235",True,Llama3.2-3B,-0.6597057397633648,0.5170034456667296,0.7212210207444391,0.0
6,"1238,1234,1237,1238,1235",True,OLMo-Hybrid-7B,-0.9805568658892004,0.37510215908372496,0.7212210207444391,0.0
6,"1238,1234,1237,1238,1235",True,Qwen3-1.7B,0.3632217189600529,1.4379546457080512,0.7212210207444391,0.0
6,"1238,1234,1237,1238,1235",True,Qwen3-32B,0.6318655530462273,1.8811166307457898,0.7212210207444391,0.0
6,"1238,1234,1237,1238,1235",True,Qwen3-8B,-1.703817395680631,0.18198747814367777,0.7212210207444391,0.0
7,"1238,1237,1234,1238,1237",True,Gemma4-12B,-0.03435636131750975,0.9662271173094522,0.6851510468714518,0.0
7,"1238,1237,1234,1238,1237",True,Gemma4-E4B,0.09826291278824752,1.1032528062531373,0.6851510468714518,0.0
7,"1238,1237,1234,1238,1237",True,Llama3.1-8B,-1.1777804357896364,0.3079615209512613,0.6851510468714518,0.0
7,"1238,1237,1234,1238,1237",True,Llama3.2-3B,-0.6704295206744011,0.511488835568406,0.6851510468714518,0.0
7,"1238,1237,1234,1238,1237",True,OLMo-Hybrid-7B,-0.8501636535485445,0.4273449897017169,0.6851510468714518,0.0
