mode,target,model_label,term,estimate,cluster_seed_se,ci95_low,ci95_high,link,formula
enumeration,exact_correct,Qwen3-1.7B,log_L,-0.31982411078200806,0.3153721753006687,-0.9379535743713188,0.2983053528073026,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,exact_correct,Qwen3-1.7B,log_N,-2.260995966398952,0.3654262620980245,-2.9772314401110798,-1.544760492686824,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,exact_correct,Qwen3-32B,log_L,-0.06623355349902402,0.11147849075763508,-0.28473139538398873,0.15226428838594072,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,exact_correct,Qwen3-32B,log_N,-0.7560227578237276,0.1571940115135286,-1.0641230203902436,-0.44792249525721156,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,exact_correct,Qwen3-8B,log_L,-1.463225234613957,0.20906352543735116,-1.8729897444711652,-1.0534607247567487,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,exact_correct,Qwen3-8B,log_N,-0.2315940370207467,0.1287672467562525,-0.48397784066300165,0.02078976662150822,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,Gemma4-12B,log_L,-2.2542925981078463,0.19069995726014988,-2.62806451433774,-1.8805206818779525,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,Gemma4-12B,log_N,-0.9876023686597705,0.2998493649042978,-1.5753071238721943,-0.39989761344734676,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,Gemma4-E4B,log_L,-1.0158073542589905,0.2923599796790241,-1.5888329144298776,-0.44278179408810325,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,Gemma4-E4B,log_N,0.4459692153782688,0.3009514078107823,-0.1438955439308645,1.0358339746874021,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,Llama3.1-8B,log_L,0.4946963941840174,0.14735774404661947,0.20587521585264323,0.7835175725153916,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,Llama3.1-8B,log_N,0.04181673049018997,0.23449017614157186,-0.4177840147472909,0.5014174757276708,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,Llama3.2-3B,log_L,-1.2949080134636868,0.3063417554517268,-1.8953378541490713,-0.6944781727783023,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,Llama3.2-3B,log_N,0.3501316766481865,0.10547677941344974,0.14339718899782503,0.556866164298548,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,OLMo-Hybrid-7B,log_L,-0.008081268633763917,0.18965715125474347,-0.3798092850930611,0.3636467478255333,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,OLMo-Hybrid-7B,log_N,0.8241238138682939,0.11791025521446102,0.5930197136479503,1.0552279140886376,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,Qwen3-1.7B,log_L,0.2866139839206453,0.16152488139381632,-0.02997478361123468,0.6032027514525253,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,Qwen3-1.7B,log_N,-0.35120562062668,0.09385319422897544,-0.5351578813154718,-0.16725335993788812,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,Qwen3-32B,log_L,-13.990711182513527,0.9553797327067483,-15.863255458618754,-12.1181669064083,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,Qwen3-32B,log_N,-1.6519868559053945,0.9445657314788447,-3.5033356896039303,0.19936197779314102,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,Qwen3-8B,log_L,-0.8218436810974558,0.43608711927678545,-1.6765744348799552,0.03288707268504376,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,pair_retrieval,Qwen3-8B,log_N,-0.054650965097473955,0.2629870072102251,-0.5701054992295151,0.46080356903456726,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,Gemma4-12B,log_L,-2.692451466706216,0.8419492856510238,-4.342672066582223,-1.0422308668302094,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,Gemma4-12B,log_N,-2.3900814494636213,0.7429167217073565,-3.84619822401004,-0.9339646749172028,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,Gemma4-E4B,log_L,-0.9560461128719271,0.3995907619259491,-1.7392440062467873,-0.17284821949706686,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,Gemma4-E4B,log_N,-0.6606348243904985,0.17892841018424213,-1.011334508351613,-0.3099351404293839,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,Llama3.1-8B,log_L,0.2843620055300995,0.2775906537074499,-0.25971567573650234,0.8284396867967013,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,Llama3.1-8B,log_N,-0.5558696601486313,0.1404568730290717,-0.8311651312856119,-0.2805741890116507,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,Llama3.2-3B,log_L,-1.433856132326467,0.3428783989789957,-2.1058977943252986,-0.7618144703276354,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,Llama3.2-3B,log_N,-0.7891233166980757,0.13044548989186794,-1.0447964768861369,-0.5334501565100145,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,OLMo-Hybrid-7B,log_L,-0.39462067021252417,0.20628943592463053,-0.7989479646248,0.009706624199751657,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,OLMo-Hybrid-7B,log_N,-0.37345680869675074,0.14932098636915794,-0.6661259419803003,-0.0807876754132012,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,Qwen3-1.7B,log_L,0.4547331657544188,0.2514350180233009,-0.03807946957125102,0.9475458010800886,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,Qwen3-1.7B,log_N,-1.965020696769368,0.14904836842086128,-2.257155498874256,-1.6728858946644798,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,Qwen3-32B,log_L,-13.832376153056911,1.1087237290973064,-16.005474662087632,-11.65927764402619,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,Qwen3-32B,log_N,-4.185568774899443,2.4265245478267077,-8.941556888639791,0.570419338840904,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,Qwen3-8B,log_L,-0.6138300394237269,0.3991029632606572,-1.396071847414615,0.1684117685671611,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
enumeration,all_pairs_found,Qwen3-8B,log_N,-0.00620056151845353,0.22039281145432413,-0.43817047196892883,0.42576934893202173,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
native_thinking,exact_correct,Gemma4-12B,log_L,-2.141345477212665,0.3254557468183988,-2.779238740976727,-1.5034522134486035,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
native_thinking,exact_correct,Gemma4-12B,log_N,-0.4957326641115262,0.20697941985380292,-0.9014123270249799,-0.09005300119807252,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
native_thinking,exact_correct,Gemma4-E4B,log_L,-1.6536216496489293,0.7638571060944688,-3.1507815775940884,-0.15646172170377048,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
native_thinking,exact_correct,Gemma4-E4B,log_N,-1.067674221301038,0.16671014499143783,-1.3944261054842562,-0.7409223371178197,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
native_thinking,exact_correct,Qwen3-1.7B,log_L,0.21435020615093536,0.31095947582273736,-0.3951303664616299,0.8238307787635006,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
native_thinking,exact_correct,Qwen3-1.7B,log_N,-1.890249030713433,0.2975308530948879,-2.4734095027794134,-1.3070885586474525,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
native_thinking,exact_correct,Qwen3-32B,log_L,-1.0716169754401879,1.2461390441171933,-3.514049501909887,1.3708155510295112,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
native_thinking,exact_correct,Qwen3-32B,log_N,-0.8773792075073891,0.39944091698909867,-1.6602834048060224,-0.0944750102087557,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
native_thinking,exact_correct,Qwen3-8B,log_L,-0.4431955114837061,0.3113952986176469,-1.053530296774294,0.16713927380688182,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
native_thinking,exact_correct,Qwen3-8B,log_N,-1.3972331290654785,0.760877331278582,-2.888552698371499,0.09408644024054236,logistic,logit(p)=a_m+r_m log(L/5000)+s_m log(N/5)+order nuisance
