mode,target,model_label,candidate,link,intercept,query_last,length_order_log,needle_order_log,log_interaction,density_order,burden_order,raw_length_order,raw_needle_order
direct,log1p_relative_error,Qwen3-1.7B,log_burden,identity,0.43099230211485606,-0.15865818947392105,,,,,0.10206660317985475,,
direct,log1p_relative_error,Qwen3-32B,log_burden,identity,0.061526560786421707,0.06018799547259252,,,,,0.06764504544229268,,
direct,log1p_relative_error,Qwen3-8B,log_burden,identity,0.12835921280515636,0.03817734330957501,,,,,0.08173684549345417,,
direct,overcount,Gemma4-12B,inverse_separable,logistic,-2.0813880088198573,0.0,,,,,,,
direct,overcount,Gemma4-E4B,inverse_separable,logistic,-4.2584625764681565,2.215652837410697,,,,,,,
direct,overcount,Llama3.1-8B,inverse_separable,logistic,-13.496045962394355,13.055026820089628,,,,,,,
direct,overcount,Llama3.2-3B,inverse_separable,logistic,0.2830434916978336,-1.6014629726656546,,,,,,,
direct,overcount,OLMo-Hybrid-7B,inverse_separable,logistic,-1.7466669668298267,0.7734893021946351,,,,,,,
direct,overcount,Qwen3-1.7B,inverse_separable,logistic,-5.0029098510538725,4.796991264912796,,,,,,,
direct,overcount,Qwen3-32B,inverse_separable,logistic,-1.0741851904001558,1.523063127215049,,,,,,,
direct,overcount,Qwen3-8B,inverse_separable,logistic,-5.651246193177572,6.070572851713579,,,,,,,
direct,parse_success,Gemma4-12B,inverse_separable,logistic,-7.26410740819069,-12.484155113096753,,,,,,,
direct,parse_success,Gemma4-E4B,inverse_separable,logistic,1.2228123732408396,1.9370618065717198,,,,,,,
direct,parse_success,Llama3.1-8B,inverse_separable,logistic,12.270144918432031,11.258759095516984,,,,,,,
direct,parse_success,Llama3.2-3B,inverse_separable,logistic,1.8371840344129484,13.208998097001412,,,,,,,
direct,parse_success,OLMo-Hybrid-7B,inverse_separable,logistic,13.905371672934695,1.8650031331252859,,,,,,,
direct,parse_success,Qwen3-1.7B,inverse_separable,logistic,13.905371672934795,1.8650031331252535,,,,,,,
direct,parse_success,Qwen3-32B,inverse_separable,logistic,10.119307363380985,9.989443256441268,,,,,,,
direct,parse_success,Qwen3-8B,inverse_separable,logistic,27.321953166738627,11.266904652983467,,,,,,,
direct,signed_log_count_ratio,Gemma4-12B,log_density,identity,0.0,0.0,,,,0.0,,,
direct,signed_log_count_ratio,Gemma4-E4B,log_density,identity,-0.11682966912205624,0.06606725346916752,,,,-0.04397780234595795,,,
direct,signed_log_count_ratio,Llama3.1-8B,log_density,identity,-0.9793535810725688,0.9694794373050412,,,,0.17346501370802692,,,
direct,signed_log_count_ratio,Llama3.2-3B,log_density,identity,0.2952242152045411,-0.34051849980640136,,,,0.05928168128689974,,,
direct,signed_log_count_ratio,OLMo-Hybrid-7B,log_density,identity,-0.04858288671398959,0.018467436848537556,,,,-0.010218412167245096,,,
direct,signed_log_count_ratio,Qwen3-1.7B,log_density,identity,-0.9682287560555328,1.0848418500315518,,,,-0.11084018742191037,,,
direct,signed_log_count_ratio,Qwen3-32B,log_density,identity,0.05038711712960461,0.061000842907448,,,,0.02710343116963268,,,
direct,signed_log_count_ratio,Qwen3-8B,log_density,identity,-0.15587375589041372,0.30687595237833704,,,,-0.013964658426812538,,,
direct,signed_relative_error,Gemma4-12B,intercept_only,identity,0.0,0.0,,,,,,,
direct,signed_relative_error,Gemma4-E4B,intercept_only,identity,-0.11201199570502508,0.06899555892130026,,,,,,,
direct,signed_relative_error,Llama3.1-8B,intercept_only,identity,-0.5148147405581407,0.5544813702593827,,,,,,,
direct,signed_relative_error,Llama3.2-3B,intercept_only,identity,1.3243475959443887,-1.322291952236036,,,,,,,
direct,signed_relative_error,OLMo-Hybrid-7B,intercept_only,identity,-0.031222218203704393,0.029055549600001083,,,,,,,
direct,signed_relative_error,Qwen3-1.7B,intercept_only,identity,-0.5765554630666828,0.810777631237063,,,,,,,
direct,signed_relative_error,Qwen3-32B,intercept_only,identity,0.06486486578778052,0.0785240178661738,,,,,,,
direct,signed_relative_error,Qwen3-8B,intercept_only,identity,-0.14178078944403347,0.33233632284383413,,,,,,,
direct,truncated,Gemma4-12B,log_burden,logistic,7.109820948383588,12.116170622537556,,,,,3.330857704469087,,
direct,truncated,Gemma4-E4B,log_burden,logistic,-1.0454056658560975,-1.8365165515493544,,,,,-0.14610718189754757,,
direct,truncated,Llama3.1-8B,log_burden,logistic,-38.981533767508765,-9.486743904004342,,,,,15.128208596469209,,
direct,truncated,Llama3.2-3B,log_burden,logistic,-2.3173404316212936,-12.496638831047408,,,,,1.0862315738900825,,
direct,truncated,OLMo-Hybrid-7B,log_burden,logistic,-14.024938167879261,-1.8711118833085079,,,,,-0.03584067698718684,,
direct,truncated,Qwen3-1.7B,log_burden,logistic,-14.024938167879275,-1.871111883308512,,,,,-0.03584067698718895,,
direct,truncated,Qwen3-32B,log_burden,logistic,-5.547126727201136,-9.96507045877397,,,,,1.4011302117105906,,
direct,truncated,Qwen3-8B,log_burden,logistic,-14.14218901625858,-11.337814794070713,,,,,5.907346967734659,,
direct,undercount,Gemma4-12B,log_burden,logistic,-5.307784653927816,0.0,,,,,4.974372001298845,,
direct,undercount,Gemma4-E4B,log_burden,logistic,0.15907350642569307,-1.3875074157902585,,,,,2.4114269372073522,,
direct,undercount,Llama3.1-8B,log_burden,logistic,1.9690611784676078,-3.5689327830422903,,,,,0.9164688634030957,,
direct,undercount,Llama3.2-3B,log_burden,logistic,-1.0122391148564982,0.24622938865197888,,,,,0.8141502008754968,,
direct,undercount,OLMo-Hybrid-7B,log_burden,logistic,-0.9201627931258469,-0.03559405819016418,,,,,0.7526507827004745,,
direct,undercount,Qwen3-1.7B,log_burden,logistic,1.7900552381876191,-2.798665347388922,,,,,0.6055808881218443,,
direct,undercount,Qwen3-32B,log_burden,logistic,-4.448403879342971,-1.1647264615419033,,,,,0.9333137251670965,,
direct,undercount,Qwen3-8B,log_burden,logistic,0.35380961181010295,-5.06524361266289,,,,,1.6535632137763754,,
direct,within_one,Gemma4-12B,power_separable,logistic,4.493105605691827,0.0,-2.0846362459523466,-5.114491705267279,,,,,
direct,within_one,Gemma4-E4B,power_separable,logistic,2.8694508116370074,1.1364022534980394,-1.7135639051171117,-5.113125523436331,,,,,
direct,within_one,Llama3.1-8B,power_separable,logistic,-1.0282890587959206,3.680860219049303,-2.041281434515636,-2.7757983409991014,,,,,
direct,within_one,Llama3.2-3B,power_separable,logistic,-2.3765893728927487,3.5087070905253195,-0.1329503819220122,-2.841991389734406,,,,,
direct,within_one,OLMo-Hybrid-7B,power_separable,logistic,1.6773339563683878,-0.40459245966295704,-0.48817149583990505,-1.9280349575438744,,,,,
direct,within_one,Qwen3-1.7B,power_separable,logistic,-1.641386028639536,2.4200799641581896,-0.8561399258320797,-3.6189162294680415,,,,,
direct,within_one,Qwen3-32B,power_separable,logistic,2.7649502691626173,-1.070371562010662,-1.2945842054903505,-3.095497101523637,,,,,
direct,within_one,Qwen3-8B,power_separable,logistic,2.049160362048551,-1.188510268118306,-0.5721760027019493,-3.9950445948703712,,,,,
enumeration,all_pairs_found,Gemma4-12B,power_separable,logistic,16.473792288971758,-13.086941431664004,-2.692451466706216,-2.3900814494636213,,,,,
enumeration,all_pairs_found,Gemma4-E4B,power_separable,logistic,5.395937428930482,-4.03817480873303,-0.9560461128719271,-0.6606348243904985,,,,,
