candidate,link,complexity,description,selection_score,selection_se,seed_rmse,seed_nrmse,seed_mae,seed_r2,cell_rmse,cell_nrmse,cell_mae,cell_r2,mode,target,direction,selected_one_se
intercept_only,identity,0,Model and query-order baselines only,0.7244333494747964,0.01778563144855743,0.13875808094120926,0.734377624086869,0.10564131952311688,0.4606895052405252,0.13500020919712039,0.7144890748627238,0.10338919440753981,0.48950536190180893,direct,under_log1p_relative_magnitude,under,False
log_density,identity,1,log(N/L) density coordinate,0.6403061000486033,0.01670510769357042,0.12279314920702064,0.6498831675756841,0.09523496198693025,0.5776518685017953,0.11917404244909224,0.6307290325215226,0.0935075621607845,0.6021808875344641,direct,under_log1p_relative_magnitude,under,False
log_burden,identity,1,log(N×L) burden coordinate,0.7143815255877249,0.014338368626080428,0.13690114060039132,0.7245497609000128,0.1036280823391201,0.4750276439797344,0.13305863567590903,0.7042132902754371,0.10140982106267629,0.504083641799443,direct,under_log1p_relative_magnitude,under,False
power_separable,identity,2,separate log L and log N orders,0.6383675099814121,0.016154801057942248,0.12226450531611184,0.6470853179516457,0.09396533136740388,0.5812805912914175,0.11897010672800752,0.6296497020111785,0.09285395418197567,0.6035412527572341,direct,under_log1p_relative_magnitude,under,False
power_interaction,identity,3,power surface plus log L × log N,0.6416735278493695,0.016412273729477865,0.12218332421602207,0.6466556666981815,0.09314257652988539,0.5818364487271304,0.1203006088309955,0.6366913890005574,0.09312503303199059,0.5946240751725409,direct,under_log1p_relative_magnitude,under,False
power_quadratic,identity,5,quadratic response surface in log coordinates,0.6119173595666685,0.016097797510536877,0.11764346288142884,0.6226284348572122,0.08851712943788816,0.6123338321072583,0.11359582253023848,0.6012062842761247,0.08619382954630672,0.6385510037468958,direct,under_log1p_relative_magnitude,under,False
piecewise_power,identity,4,"piecewise log surface (L=5000, N=8 knots)",0.6083929602641875,0.016854887993753728,0.11727195185190877,0.6206622114464357,0.08825664005945591,0.6147784192824199,0.11263548774190466,0.5961237090819392,0.08624165467429235,0.6446365234703915,direct,under_log1p_relative_magnitude,under,False
exponential_separable,identity,2,separate raw/scaled L and N exponential orders,0.6699655016101207,0.021114274372433524,0.1288825344866778,0.6821112602639859,0.09803205449747893,0.5347242286210769,0.12429273733843006,0.6578197429562553,0.09546933271511819,0.5672731857769662,direct,under_log1p_relative_magnitude,under,False
exponential_interaction,identity,3,"raw/scaled L,N surface plus interaction",0.6754104349951413,0.01822284913680611,0.12869272268312212,0.6811066806360944,0.09753577720669472,0.5360936895928814,0.12654015134166502,0.6697141893541882,0.09683548148381112,0.5514829045776626,direct,under_log1p_relative_magnitude,under,False
root_separable,identity,2,separate square-root L and N coordinates,0.655760064831451,0.019255074911550676,0.12589631720065425,0.6663066949324268,0.09621508383545069,0.5560353882882261,0.12191081953512332,0.6452134347304753,0.09422786559081922,0.5836996236433027,direct,under_log1p_relative_magnitude,under,False
