scheme,fold,candidate,link,n_rows,rmse,nrmse,mae,r2,mode,target,kind
seed,seed=1237,power_interaction,identity,399,0.5384583081980838,0.6028898911506455,0.41509263264891333,0.628827837556555,direct,log1p_absolute_error,continuous
seed,seed=1238,power_interaction,identity,399,0.4818934640210286,0.539556533247822,0.3751055886871404,0.7048219367474222,direct,log1p_absolute_error,continuous
cell,cell_fold=0,power_interaction,identity,405,0.5153024863690981,0.5769632582258076,0.40063080079030977,0.4695409060156366,direct,log1p_absolute_error,continuous
cell,cell_fold=1,power_interaction,identity,399,0.5578759275592893,0.6246310106483787,0.44027622012902273,0.6814567500157878,direct,log1p_absolute_error,continuous
cell,cell_fold=2,power_interaction,identity,402,0.5544353233018103,0.6207787058464982,0.4267269283861549,0.6138323709846261,direct,log1p_absolute_error,continuous
cell,cell_fold=3,power_interaction,identity,404,0.49785185121841713,0.5574244910337646,0.36875180188179596,0.6553104725763574,direct,log1p_absolute_error,continuous
cell,cell_fold=4,power_interaction,identity,403,0.5737793414070516,0.6424374170082076,0.469055772748796,0.6126884785176363,direct,log1p_absolute_error,continuous
seed,seed=1234,power_quadratic,identity,405,0.508894757496171,0.5697887845406495,0.3656662940479666,0.672310288245551,direct,log1p_absolute_error,continuous
seed,seed=1235,power_quadratic,identity,407,0.5557871802737907,0.6222923251746425,0.4062111513639461,0.6354862939493517,direct,log1p_absolute_error,continuous
seed,seed=1236,power_quadratic,identity,403,0.5006792759915564,0.5605902436793482,0.3955216699682996,0.6753041576323429,direct,log1p_absolute_error,continuous
seed,seed=1237,power_quadratic,identity,399,0.5205748460529852,0.5828665051578921,0.38605121262243847,0.6530734069970641,direct,log1p_absolute_error,continuous
seed,seed=1238,power_quadratic,identity,399,0.4503791616832701,0.504271249286505,0.34008297759143696,0.7421669515905651,direct,log1p_absolute_error,continuous
cell,cell_fold=0,power_quadratic,identity,405,0.45865958173531013,0.5135424992010287,0.34283828158443913,0.5797493782966909,direct,log1p_absolute_error,continuous
cell,cell_fold=1,power_quadratic,identity,399,0.5256104586325987,0.5885046759759067,0.40776572052739457,0.7172379254202129,direct,log1p_absolute_error,continuous
cell,cell_fold=2,power_quadratic,identity,402,0.5463955323947436,0.6117768786092959,0.3709161506027568,0.6249506976740373,direct,log1p_absolute_error,continuous
cell,cell_fold=3,power_quadratic,identity,404,0.4849441301279208,0.5429722401449373,0.37101544084149884,0.6729521867099024,direct,log1p_absolute_error,continuous
cell,cell_fold=4,power_quadratic,identity,403,0.5249495195260546,0.5877646493110104,0.41023862483291507,0.6758054676487535,direct,log1p_absolute_error,continuous
seed,seed=1234,piecewise_power,identity,405,0.5231660503999939,0.5857677713895247,0.38241536962334305,0.6536733117096971,direct,log1p_absolute_error,continuous
seed,seed=1235,piecewise_power,identity,407,0.5646831042330623,0.6322527298073382,0.4197779672966203,0.6237241032100853,direct,log1p_absolute_error,continuous
seed,seed=1236,piecewise_power,identity,403,0.513604973752026,0.5750626223151867,0.4139094384961738,0.6583228482349759,direct,log1p_absolute_error,continuous
seed,seed=1237,piecewise_power,identity,399,0.5299747196521308,0.5933911617278377,0.40000834818510705,0.6404315814294002,direct,log1p_absolute_error,continuous
seed,seed=1238,piecewise_power,identity,399,0.46097646286657384,0.5161366168732231,0.35346555405615626,0.7298907174583926,direct,log1p_absolute_error,continuous
cell,cell_fold=0,piecewise_power,identity,405,0.4851607448601477,0.5432147748599664,0.3865950157401801,0.5297825612819531,direct,log1p_absolute_error,continuous
cell,cell_fold=1,piecewise_power,identity,399,0.5328521586359111,0.5966129132530935,0.4139205357235731,0.7093926315388112,direct,log1p_absolute_error,continuous
cell,cell_fold=2,piecewise_power,identity,402,0.5696989450074362,0.6378687629383171,0.3982420854778871,0.5922772798391246,direct,log1p_absolute_error,continuous
cell,cell_fold=3,piecewise_power,identity,404,0.4986225555297295,0.5582874173388882,0.3878942832278385,0.6542424467045003,direct,log1p_absolute_error,continuous
