request_id,stimulus_id,model_label,seed,target_passage_tokens,num_needles,query_order,observed_all_pairs_found,predicted_probability,predicted_neff,selected_candidate
Qwen3-8B/enumeration/query_first/T10000_N3_seed1237,T10000_N3_seed1237,Qwen3-8B,1237,10000,3,query_first,1.0,0.9984915972983318,0.4598956071948929,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N3_seed1238,T10000_N3_seed1238,Qwen3-8B,1238,10000,3,query_first,1.0,0.9984915972983318,0.4598956071948929,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N4_seed1234,T10000_N4_seed1234,Qwen3-8B,1234,10000,4,query_first,1.0,0.9963067451062654,0.6469824168823487,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N4_seed1235,T10000_N4_seed1235,Qwen3-8B,1235,10000,4,query_first,1.0,0.9963067451062654,0.6469824168823487,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N4_seed1236,T10000_N4_seed1236,Qwen3-8B,1236,10000,4,query_first,1.0,0.9963067451062654,0.6469824168823487,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N4_seed1237,T10000_N4_seed1237,Qwen3-8B,1237,10000,4,query_first,1.0,0.9963067451062654,0.6469824168823487,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N4_seed1238,T10000_N4_seed1238,Qwen3-8B,1238,10000,4,query_first,1.0,0.9963067451062654,0.6469824168823487,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N5_seed1234,T10000_N5_seed1234,Qwen3-8B,1234,10000,5,query_first,1.0,0.9943376792049875,0.8507399370761188,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N5_seed1235,T10000_N5_seed1235,Qwen3-8B,1235,10000,5,query_first,1.0,0.9943376792049875,0.8507399370761188,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N5_seed1236,T10000_N5_seed1236,Qwen3-8B,1236,10000,5,query_first,1.0,0.9943376792049875,0.8507399370761188,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N5_seed1237,T10000_N5_seed1237,Qwen3-8B,1237,10000,5,query_first,1.0,0.9943376792049875,0.8507399370761188,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N5_seed1238,T10000_N5_seed1238,Qwen3-8B,1238,10000,5,query_first,1.0,0.9943376792049875,0.8507399370761188,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N6_seed1234,T10000_N6_seed1234,Qwen3-8B,1234,10000,6,query_first,1.0,0.992540995136959,0.9458875214859179,model_scale_shared_order
