scheme,prediction,target,log_loss,brier,cell_r2,cell_rmse,cell_mae,n_cells
seed,q_hat^N,all_pairs_found,0.7249373343608323,0.18315969955634104,0.3456733574289045,0.24323153483659987,0.17696044138381825,240
seed,q_hat^N,exact_correct,1.037393796568503,0.2632317822016812,0.40665611114407396,0.27365941568684393,0.20177733403702772,240
cell,q_hat^N,all_pairs_found,0.7230263696897483,0.18031152216913324,0.3263248575108142,0.24680152546146025,0.17920305232671693,240
cell,q_hat^N,exact_correct,1.089409159019775,0.2629893781467129,0.39314975958153464,0.27675655924965153,0.20366730248113699,240
