mode,log_loss,brier,cell_r2,cell_rmse,cell_mae,n_cells
direct,0.39166925602603647,0.12169666018444389,0.7890864087212548,0.15686299684151153,0.10523098881783505,240
enumeration,0.38139212307931997,0.12189075671555395,0.7937442008322245,0.16134675769420403,0.11646669009191475,240
native_thinking,0.3210111394104935,0.09930467908251638,0.7089592348214764,0.14581943955622564,0.09764645418135531,150
