mode,target,kind,candidate,link,formula,n_rows,n_trials,converged_full,seed_log_loss,seed_brier,seed_cell_r2,seed_cell_rmse,seed_fold_log_loss_sd,cell_log_loss,cell_brier,cell_cell_r2,cell_cell_rmse,cell_fold_log_loss_sd,length_log_loss,length_brier,length_cell_r2,length_cell_rmse,length_fold_log_loss_sd,needle_log_loss,needle_brier,needle_cell_r2,needle_cell_rmse,needle_fold_log_loss_sd,seed_rmse,seed_mae,seed_r2,cell_rmse,cell_mae,cell_r2,length_rmse,length_mae,length_r2,needle_rmse,needle_mae,needle_r2
direct,exact_correct,binary,power_separable,logistic,logit(p) = a_m + r_m log(L/5000) + s_m log(N/5) + o_m I(query-last),2400,2400.0,True,0.3755254118990511,0.11824045508701188,0.845813634097637,0.1341192792249304,0.03556753837789105,0.386240570579929,0.11970342461360936,0.7978708370895453,0.15356162998284892,0.027448034343208957,0.45866243629824943,0.12448086615596324,0.7722776532685859,0.1629937868649929,0.18441156444624673,0.41438252051173113,0.12876997708895965,0.7475829068416036,0.1716040783602986,0.09787305623065755,,,,,,,,,,,,
direct,parse_success,binary,inverse_separable,logistic,logit(p) = model-specific inverse_separable surface plus query-order nuisance,2400,2400.0,True,0.11162183672142362,0.029496914224069814,0.9648634917111187,0.0610639586119613,0.019009542039192095,0.10789659575239656,0.029901845738089072,0.9444305201142082,0.0767933866004575,0.025580346461187224,0.7421304007807387,0.0762901326035056,0.5711477131162706,0.21333372650342355,0.8807463004751613,0.21359973731388823,0.03914826022234271,0.8611659806071781,0.12138180827417229,0.3512282988490071,,,,,,,,,,,,
direct,truncated,binary,log_burden,logistic,logit(p) = a_m + b_m log[(N/5)(L/5000)] + o_m I(query-last),2400,2400.0,True,0.10449066271207971,0.02758017778874704,0.9579141244407424,0.06662933317148403,0.021521147002250104,0.09816539681217128,0.02756950559841542,0.9454364067502994,0.07586627569159658,0.03377782596598072,0.1676708788906338,0.031916542849274226,0.921202111863401,0.09117054953826528,0.06428982882873933,0.11121131108811473,0.03055598911746003,0.9259898656682704,0.08835739020864884,0.04913817460775132,,,,,,,,,,,,
direct,exact_given_parsed,binary,power_separable,logistic,logit(p) = a_m + r_m log(L/5000) + s_m log(N/5) + o_m I(query-last),2013,2013.0,True,0.41983378136664934,0.1340610173260829,0.8351345651277541,0.14380008190585997,0.04350082106447332,0.4254263436472876,0.13474375613497103,0.7890106931358991,0.16267639883733398,0.03661446591770846,0.4606285343467329,0.13884894330854564,0.770284863899167,0.16974192896426643,0.10818359059076559,0.44963031692310845,0.14223599514336835,0.7498995065452834,0.17711347393853252,0.1015266384019009,,,,,,,,,,,,
direct,within_one,binary,power_separable,logistic,logit(p) = a_m + r_m log(L/5000) + s_m log(N/5) + o_m I(query-last),2013,2013.0,True,0.3267997246482301,0.10134841300223797,0.9114292113282307,0.11133455265519901,0.04523386038999793,0.3294471929545262,0.09995779005226138,0.8773453877728918,0.13101669941033622,0.03415409368453181,0.355516732648986,0.10588434172007746,0.850379825364016,0.14470375172635472,0.04154492968146571,0.3346478566472666,0.10192312603576437,0.8680235999543746,0.13590419155721753,0.16517678458170493,,,,,,,,,,,,
direct,undercount,binary,log_burden,logistic,logit(p) = a_m + b_m log[(N/5)(L/5000)] + o_m I(query-last),2013,2013.0,True,0.4115941154969479,0.13119002495812232,0.7325295062760624,0.1548111017998201,0.05284917282775416,0.4043810552952121,0.12911310861614747,0.7020714621671251,0.16338802173404957,0.034640340847966224,0.4680578308744356,0.15021072405522798,0.5404961168891308,0.20291247809306254,0.060458328542062977,0.4143239117154231,0.13329181955346353,0.6727240516664719,0.17124630397690185,0.09798259095879903,,,,,,,,,,,,
direct,overcount,binary,inverse_separable,logistic,logit(p) = model-specific inverse_separable surface plus query-order nuisance,2013,2013.0,True,0.3727270636861815,0.11806619309195296,0.7250164667203115,0.13272832392480183,0.07621259612634446,0.3708727294861724,0.11725984883993913,0.6449695863327357,0.15081448155011823,0.043006402262511456,0.4552430364581077,0.13879083256528071,0.44094830092504234,0.18925015859053934,0.1592890951214219,0.38773097406457335,0.12228511325023228,0.5897683218538021,0.16211562055380935,0.10457264033811449,,,,,,,,,,,,
direct,log1p_absolute_error,continuous,root_separable,identity,E[target] = model-specific root_separable surface plus query-order nuisance,2013,,,,,,,,,,,,,,,,,,,,,,,0.5157244362482017,0.38542338831021994,0.6665680142567072,0.5154220789177005,0.3842610738320119,0.6669588665999291,0.5400836406864565,0.40229353742127993,0.634326166748179,0.5182978156821385,0.388938386406571,0.6632321716615444
direct,log1p_relative_error,continuous,log_burden,identity,E[target] = a_m + b_m log[(N/5)(L/5000)] + o_m I(query-last),2013,,,,,,,,,,,,,,,,,,,,,,,0.22081526804909588,0.14077575832477182,0.3674796450989306,0.21631588630674672,0.13858380606555637,0.3929937836469204,0.22798618045198488,0.14731461743294183,0.32573075104434945,0.220586151644169,0.14132161160340437,0.3687915616763474
direct,signed_relative_error,continuous,intercept_only,identity,E[target] = a_m + o_m I(query-last),2013,,,,,,,,,,,,,,,,,,,,,,,0.9598965317429545,0.29734122780800365,0.10117046013055564,0.9409181035918218,0.29017353302853754,0.13636120821782427,0.9634206975468507,0.3007185430560757,0.09455841594924475,0.9383672712398846,0.2926377410842121,0.1410375165907657
direct,asinh_signed_error,continuous,exponential_separable,identity,E[target] = model-specific exponential_separable surface plus query-order nuisance,2013,,,,,,,,,,,,,,,,,,,,,,,1.1663556758947133,0.8559142866749017,0.44011680955983556,1.1696810903275627,0.8541394394787428,0.43691967536463805,1.240154572551349,0.903949043696194,0.36702427885547695,1.2231164725466293,0.8933181105675977,0.38429731887980856
direct,signed_log_count_ratio,continuous,log_density,identity,E[target] = a_m + d_m log[(N/5)/(L/5000)] + o_m I(query-last),2013,,,,,,,,,,,,,,,,,,,,,,,0.4576629541588094,0.2783648664121264,0.37343656597501385,0.4444493137327222,0.27189766069604315,0.4090945347390571,0.4816140139650817,0.2964901529940306,0.3061401500352501,0.4478999680750257,0.2773507904721138,0.3998834694042479
direct,log1p_output_tokens,continuous,piecewise_power,identity,E[target] = model-specific piecewise log surface with L=5000 and N=8 knots,2400,,,,,,,,,,,,,,,,,,,,,,,0.3990974408151646,0.18769516832006863,0.7861808847084293,0.3956321839871013,0.18699490524644446,0.7898778338213162,0.4914665041933383,0.24847928860214846,0.6757526090160214,0.39607878337017804,0.1898161857254681,0.7894031838899703
enumeration,exact_correct,binary,log_burden,logistic,logit(p) = a_m + b_m log[(N/5)(L/5000)] + o_m I(query-last),2400,2400.0,True,0.39272039166005823,0.12739797598116254,0.8027600250729907,0.15778097222573834,0.02853040904631964,0.3854125719266307,0.12399953046217944,0.7828863395031607,0.16553915471070296,0.05479349547957538,0.4435022654168883,0.135904439887552,0.7022081017262813,0.19387133351921446,0.05774923430908413,0.40097718571071767,0.13053037509522397,0.7431774383719234,0.1800419653983184,0.04888744309125904,,,,,,,,,,,,
enumeration,parse_success,binary,intercept_only,logistic,logit(p) = a_m + o_m I(query-last),2400,2400.0,True,0.2347656182892735,0.07223610880363111,0.8318041730114896,0.11484288784705757,0.029746863504353013,0.23178688019107876,0.07084548387380366,0.821880872120999,0.11818212006259567,0.03636281617690795,0.2333388303767127,0.0724583288964418,0.8161730915919119,0.12006074616917797,0.03136776059410406,0.23277362788910105,0.07217832439505842,0.808055726168585,0.12268291226195702,0.03512710714107598,,,,,,,,,,,,
enumeration,truncated,binary,intercept_only,logistic,logit(p) = a_m + o_m I(query-last),2400,2400.0,True,0.07046557029375121,0.01268923234616528,0.19380899725793022,0.040568871484788736,0.021753560189214108,0.06151431405832777,0.01257985952695109,0.12492568545348404,0.04226651317818575,0.019509092022769747,0.06271355217083567,0.012704164169768117,0.10196457835405803,0.04281743893477394,0.012260084220823959,0.07019834366911197,0.012571327047945812,0.12917800081761044,0.042163693670690824,0.051529300522994016,,,,,,,,,,,,
