mode,method,log_loss,brier,cell_r2,cell_rmse,cell_mae,n_cells
direct,parse_times_conditional_exact,0.3847541550329241,0.11891413252584564,0.8001777477155211,0.15268281186185947,0.10400385290551585,240
direct,stage1_nested_direct_surface,0.3916692560260365,0.12169666018444389,0.7890864087212548,0.15686299684151156,0.10523098881783503,240
enumeration,parse_times_conditional_exact,0.38734716727442975,0.12427870118335325,0.7785843891556095,0.16717112964833958,0.12124461293223306,240
enumeration,stage1_nested_direct_surface,0.38139212307932,0.12189075671555395,0.7937442008322245,0.16134675769420406,0.11646669009191474,240
native_thinking,parse_times_conditional_exact,0.32302420815748945,0.10065237076681831,0.687501638847219,0.1510992765623372,0.10075283130487227,150
native_thinking,stage1_nested_direct_surface,0.3210111394104935,0.09930467908251638,0.7089592348214764,0.14581943955622564,0.09764645418135531,150
