candidate,link,complexity,description,selection_score,selection_se,log_loss,brier,cell_r2,cell_rmse,cell_mae,n_cells,converged_all_folds
independence,compounding,0,N_eff=N,0.7230263696897483,0.050825313758386205,0.7230263696897483,0.18031152216913324,0.3263248575108142,0.24680152546146025,0.17920305232671693,240,True
model_scale,compounding,1,N_eff=kappa_m N,0.40974575271675806,0.013307791230599504,0.40974575271675806,0.13058991197815,0.7494699866928971,0.15050553054292715,0.10872036949353148,240,True
shared_scale_order,compounding,2,N_eff=kappa N^tau,0.43619119670971057,0.02047166318729604,0.43619119670971057,0.1418564292066352,0.6555977073080348,0.1764637870196216,0.12929724912683346,240,True
model_scale_shared_order,compounding,2,N_eff=kappa_m N^tau,0.40472734342921746,0.013592009512312197,0.40472734342921746,0.12937890494793153,0.7584866746873695,0.14777233202722123,0.10979948441711468,240,True
model_scale_order,compounding,3,N_eff=kappa_m N^tau_m,0.3955153361434293,0.01231644462873894,0.3955153361434293,0.1267441822930122,0.7706960325764867,0.14398868410055604,0.10251850947678091,240,True
model_scale_order_query,compounding,4,N_eff=kappa_m N^tau_m exp(o_m I(query-last)),0.39070831521057103,0.010830905970117441,0.39070831521057103,0.12657421364526025,0.7699852815424211,0.14421166525202708,0.10245184150890403,240,False
