request_id,model_label,seed,target_passage_tokens,num_needles,query_order,exact_correct,mode,p_parse_oof,p_exact_given_parse_oof,p_exact_product_oof
Qwen3-8B/direct/query_first/T10000_N4_seed1238,Qwen3-8B,1238,10000,4,query_first,0,direct,0.999999999,0.4980104369826481,0.49801043648463766
Qwen3-8B/direct/query_first/T10000_N5_seed1234,Qwen3-8B,1234,10000,5,query_first,0,direct,0.9999999989082606,0.35255788429829416,0.3525578839133928
Qwen3-8B/direct/query_first/T10000_N5_seed1235,Qwen3-8B,1235,10000,5,query_first,0,direct,0.9999999989082606,0.35255788429829416,0.3525578839133928
Qwen3-8B/direct/query_first/T10000_N5_seed1236,Qwen3-8B,1236,10000,5,query_first,0,direct,0.9999999989082606,0.35255788429829416,0.3525578839133928
Qwen3-8B/direct/query_first/T10000_N5_seed1237,Qwen3-8B,1237,10000,5,query_first,0,direct,0.9999999989082606,0.35255788429829416,0.3525578839133928
Qwen3-8B/direct/query_first/T10000_N5_seed1238,Qwen3-8B,1238,10000,5,query_first,0,direct,0.9999999989082606,0.35255788429829416,0.3525578839133928
Qwen3-8B/direct/query_first/T10000_N6_seed1234,Qwen3-8B,1234,10000,6,query_first,0,direct,0.999999303296726,0.2411705635541046,0.2411703955297834
Qwen3-8B/direct/query_first/T10000_N6_seed1235,Qwen3-8B,1235,10000,6,query_first,0,direct,0.999999303296726,0.2411705635541046,0.2411703955297834
Qwen3-8B/direct/query_first/T10000_N6_seed1236,Qwen3-8B,1236,10000,6,query_first,0,direct,0.999999303296726,0.2411705635541046,0.2411703955297834
Qwen3-8B/direct/query_first/T10000_N6_seed1237,Qwen3-8B,1237,10000,6,query_first,0,direct,0.999999303296726,0.2411705635541046,0.2411703955297834
Qwen3-8B/direct/query_first/T10000_N6_seed1238,Qwen3-8B,1238,10000,6,query_first,0,direct,0.999999303296726,0.2411705635541046,0.2411703955297834
Qwen3-8B/direct/query_first/T10000_N8_seed1234,Qwen3-8B,1234,10000,8,query_first,0,direct,0.9999319137204086,0.07597887356042937,0.0759737004416011
Qwen3-8B/direct/query_first/T10000_N8_seed1235,Qwen3-8B,1235,10000,8,query_first,0,direct,0.9999319137204086,0.07597887356042937,0.0759737004416011
Qwen3-8B/direct/query_first/T10000_N8_seed1236,Qwen3-8B,1236,10000,8,query_first,0,direct,0.9999319137204086,0.07597887356042937,0.0759737004416011
Qwen3-8B/direct/query_first/T10000_N8_seed1237,Qwen3-8B,1237,10000,8,query_first,0,direct,0.9999319137204086,0.07597887356042937,0.0759737004416011
Qwen3-8B/direct/query_first/T10000_N8_seed1238,Qwen3-8B,1238,10000,8,query_first,0,direct,0.9999319137204086,0.07597887356042937,0.0759737004416011
Qwen3-8B/direct/query_first/T2000_N10_seed1234,Qwen3-8B,1234,2000,10,query_first,0,direct,0.999999999,0.13263716651460572,0.13263716638196857
Qwen3-8B/direct/query_first/T2000_N10_seed1235,Qwen3-8B,1235,2000,10,query_first,0,direct,0.999999999,0.13263716651460572,0.13263716638196857
Qwen3-8B/direct/query_first/T2000_N10_seed1236,Qwen3-8B,1236,2000,10,query_first,0,direct,0.999999999,0.13263716651460572,0.13263716638196857
Qwen3-8B/direct/query_first/T2000_N10_seed1237,Qwen3-8B,1237,2000,10,query_first,0,direct,0.999999999,0.13263716651460572,0.13263716638196857
