scheme,fold,candidate,link,n_rows,n_trials,log_loss,brier,converged,iterations,mode,target,kind
seed,seed=1236,log_burden,survival_loglog,480,480.0,0.39263723411548823,0.1322154322509679,True,54,direct,exact_correct,binary
seed,seed=1237,log_burden,survival_loglog,480,480.0,0.44556990744215486,0.14245245347197605,True,66,direct,exact_correct,binary
seed,seed=1238,log_burden,survival_loglog,480,480.0,0.37830014475011475,0.12459019374107641,True,51,direct,exact_correct,binary
cell,cell_fold=0,log_burden,survival_loglog,480,480.0,0.43687897607515835,0.14779849069244505,True,51,direct,exact_correct,binary
cell,cell_fold=1,log_burden,survival_loglog,480,480.0,0.4148900287453802,0.12870484785366892,True,60,direct,exact_correct,binary
cell,cell_fold=2,log_burden,survival_loglog,480,480.0,0.4052080870092771,0.1346635214165677,True,50,direct,exact_correct,binary
cell,cell_fold=3,log_burden,survival_loglog,480,480.0,0.44253656539026903,0.13776335634932654,True,53,direct,exact_correct,binary
cell,cell_fold=4,log_burden,survival_loglog,480,480.0,0.4057938070815291,0.12195794998393028,True,32,direct,exact_correct,binary
seed,seed=1234,power_separable,logistic,480,480.0,0.3890101805065084,0.125032291541835,True,18,direct,exact_correct,binary
seed,seed=1235,power_separable,logistic,480,480.0,0.37642838539400086,0.11204044626355107,True,19,direct,exact_correct,binary
seed,seed=1236,power_separable,logistic,480,480.0,0.3621610806572187,0.11928085196658621,True,18,direct,exact_correct,binary
seed,seed=1237,power_separable,logistic,480,480.0,0.4234823342865882,0.131861985141747,True,18,direct,exact_correct,binary
seed,seed=1238,power_separable,logistic,480,480.0,0.3265450786509393,0.10298670052134007,True,18,direct,exact_correct,binary
cell,cell_fold=0,power_separable,logistic,480,480.0,0.3670374354847772,0.1191028536307602,True,18,direct,exact_correct,binary
cell,cell_fold=1,power_separable,logistic,480,480.0,0.35846830012215614,0.11732961172259697,True,18,direct,exact_correct,binary
cell,cell_fold=2,power_separable,logistic,480,480.0,0.4093368064763717,0.11840923153241743,True,18,direct,exact_correct,binary
cell,cell_fold=3,power_separable,logistic,480,480.0,0.42114725654257446,0.13093484808212996,True,20,direct,exact_correct,binary
cell,cell_fold=4,power_separable,logistic,480,480.0,0.37521305427376556,0.11274057810014228,True,19,direct,exact_correct,binary
seed,seed=1234,power_separable,survival_loglog,480,480.0,0.43112097123225274,0.13061500516546987,True,56,direct,exact_correct,binary
seed,seed=1235,power_separable,survival_loglog,480,480.0,0.3930724692499205,0.11704835428580072,True,51,direct,exact_correct,binary
seed,seed=1236,power_separable,survival_loglog,480,480.0,0.36212389619484653,0.1200237749060542,True,85,direct,exact_correct,binary
seed,seed=1237,power_separable,survival_loglog,480,480.0,0.4583951318235633,0.13723335506157894,True,79,direct,exact_correct,binary
seed,seed=1238,power_separable,survival_loglog,480,480.0,0.34506468852388184,0.10934997974983683,True,72,direct,exact_correct,binary
cell,cell_fold=0,power_separable,survival_loglog,480,480.0,0.38790563203674805,0.12761785195397377,True,63,direct,exact_correct,binary
cell,cell_fold=1,power_separable,survival_loglog,480,480.0,0.3934880600731547,0.12035260975235625,True,70,direct,exact_correct,binary
cell,cell_fold=2,power_separable,survival_loglog,480,480.0,0.5017740101437597,0.12387868550406701,True,75,direct,exact_correct,binary
cell,cell_fold=3,power_separable,survival_loglog,480,480.0,0.4388254328066286,0.1320659147530884,True,61,direct,exact_correct,binary
cell,cell_fold=4,power_separable,survival_loglog,480,480.0,0.38391026883954177,0.11519365266227867,True,35,direct,exact_correct,binary
seed,seed=1234,power_interaction,logistic,480,480.0,0.3882659608412171,0.12584088254099937,True,19,direct,exact_correct,binary
seed,seed=1235,power_interaction,logistic,480,480.0,0.3846217646271714,0.11401289949323344,True,19,direct,exact_correct,binary
seed,seed=1236,power_interaction,logistic,480,480.0,0.3614797552753186,0.11859270506372228,True,19,direct,exact_correct,binary
seed,seed=1237,power_interaction,logistic,480,480.0,0.4167002883447448,0.13155772273008076,True,19,direct,exact_correct,binary
seed,seed=1238,power_interaction,logistic,480,480.0,0.321862218740181,0.10300625336118588,True,19,direct,exact_correct,binary
