"pca_dim","model_label","endpoint","mode","selector","discovery_metric","confirmation_metric","selected_layer","discovery_value","confirmation_value","pca_components","discovery_rows","confirmation_rows"
"32","Gemma4-E4B","final_count","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","38","-0.057183532318908735","0.1013355789011809","32","200","100"
"2","Gemma4-E4B","final_count","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","9","0.8133957669998697","0.9516392125130307","2","200","100"
"4","Gemma4-E4B","final_count","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","7","0.864787481471808","0.9572339559236617","4","200","100"
"8","Gemma4-E4B","final_count","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","3","0.9082133469924193","0.9789468886839674","8","200","100"
"16","Gemma4-E4B","final_count","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","5","0.8883520078846795","0.9501739225721512","16","200","100"
"32","Gemma4-E4B","final_count","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","5","0.850374356780611","0.9220003932543311","32","200","100"
"2","Gemma4-E4B","final_count","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","18","0.8147278487643055","0.851000435209896","2","200","100"
"4","Gemma4-E4B","final_count","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","16","0.9106377358036927","0.929593259311616","4","200","100"
"8","Gemma4-E4B","final_count","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","6","0.9398902513507057","0.9761495169786519","8","200","100"
"16","Gemma4-E4B","final_count","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","16","0.9169251617318304","0.9600979317171989","16","200","100"
