"pca_dim","model_label","endpoint","mode","selector","discovery_metric","confirmation_metric","selected_layer","discovery_value","confirmation_value","pca_components","discovery_rows","confirmation_rows"
"8","Qwen3-8B","running_index","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","13","0.1957209310250724","0.1845708578627558","8","1100","550"
"16","Qwen3-8B","running_index","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","15","0.19817558041429942","0.18134812686450014","16","1100","550"
"32","Qwen3-8B","running_index","non_thinking","mahalanobis_silhouette","discovery_oof_mahalanobis_silhouette","confirmation_mahalanobis_silhouette","7","0.17564351820266103","0.18189650051269243","32","1100","550"
"2","Qwen3-8B","running_index","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","32","0.7614845406398013","0.8914957208487482","2","1107","544"
"4","Qwen3-8B","running_index","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","21","0.8831568890033793","0.8666523959420181","4","1107","544"
"8","Qwen3-8B","running_index","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","17","0.7938541275155944","0.7831974734001069","8","1107","544"
"16","Qwen3-8B","running_index","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","16","0.7499087501068529","0.7398382119677174","16","1107","544"
"32","Qwen3-8B","running_index","native_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","12","0.7492693508599239","0.7420361468790365","32","1107","544"
"2","Qwen3-8B","running_index","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","0","0.7571286332700958","0.7371074443506236","2","1100","550"
"4","Qwen3-8B","running_index","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","0","0.7526661593592354","0.6957463055648879","4","1100","550"
"8","Qwen3-8B","running_index","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","0","0.7197104565070904","0.7300474109991132","8","1100","550"
"16","Qwen3-8B","running_index","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","0","0.712170873720383","0.7817987875474491","16","1100","550"
"32","Qwen3-8B","running_index","non_thinking","ordinal_rsa","discovery_oof_ordinal_rsa","confirmation_ordinal_rsa","3","0.7030327928163526","0.7003419876521919","32","1100","550"
