"pca_dim","model_label","endpoint","selector","non_thinking_layer","native_thinking_layer","non_thinking_confirmation","native_thinking_confirmation","native_minus_non"
"2","Qwen3-8B","final_count","ordinal_rsa","19","35","0.9739515820673327","0.9317245901347135","-0.04222699193261914"
"4","Qwen3-8B","final_count","ordinal_rsa","11","35","0.9775482028313096","0.8850351242912341","-0.09251307854007551"
"8","Qwen3-8B","final_count","ordinal_rsa","17","14","0.967624193686262","0.894226488465842","-0.07339770522042"
"16","Qwen3-8B","final_count","ordinal_rsa","17","12","0.9771485783019789","0.9317245901347135","-0.04542398816726534"
"32","Qwen3-8B","final_count","ordinal_rsa","7","12","0.9890707100936803","0.929926279752725","-0.05914443034095529"
"2","Qwen3-8B","running_index","fisher_trace","15","22","74.34729351677487","1.219869198332506","-73.12742431844237"
"4","Qwen3-8B","running_index","fisher_trace","19","23","83.73644626466331","4.2699582252357855","-79.46648803942753"
"8","Qwen3-8B","running_index","fisher_trace","13","19","144.50036291041775","11.093977189067147","-133.4063857213506"
"16","Qwen3-8B","running_index","fisher_trace","13","18","217.44515135775103","24.514575717179298","-192.93057564057173"
"32","Qwen3-8B","running_index","fisher_trace","15","19","363.0686521736389","47.82917468544858","-315.23947748819035"
"2","Qwen3-8B","running_index","isotropic_snr","15","23","6.496324302477432","-3.615271799042166","-10.111596101519599"
"4","Qwen3-8B","running_index","isotropic_snr","19","23","-0.3451818809345189","-3.0211582470021954","-2.6759763660676765"
"8","Qwen3-8B","running_index","isotropic_snr","19","18","-2.2817012170700464","-4.110241011544744","-1.8285397944746977"
"16","Qwen3-8B","running_index","isotropic_snr","19","18","-4.0400678063342585","-5.246451219199489","-1.2063834128652307"
"32","Qwen3-8B","running_index","isotropic_snr","28","19","-6.801505240447922","-7.219602925807491","-0.4180976853595695"
"2","Qwen3-8B","running_index","mahalanobis_silhouette","12","27","0.06961973092685572","-0.09061488116136177","-0.1602346120882175"
"4","Qwen3-8B","running_index","mahalanobis_silhouette","20","24","0.13200766191873473","-0.013709497875383687","-0.14571715979411842"
"8","Qwen3-8B","running_index","mahalanobis_silhouette","13","18","0.1845708578627558","0.03585298356993419","-0.1487178742928216"
"16","Qwen3-8B","running_index","mahalanobis_silhouette","15","18","0.18134812686450014","0.1002536166613078","-0.08109451020319233"
"32","Qwen3-8B","running_index","mahalanobis_silhouette","7","18","0.18189650051269243","0.11565659308721274","-0.0662399074254797"
"2","Qwen3-8B","running_index","ordinal_rsa","0","32","0.7371074443506236","0.8914957208487482","0.1543882764981246"
"4","Qwen3-8B","running_index","ordinal_rsa","0","21","0.6957463055648879","0.8666523959420181","0.17090609037713023"
"8","Qwen3-8B","running_index","ordinal_rsa","0","17","0.7300474109991132","0.7831974734001069","0.053150062400993736"
"16","Qwen3-8B","running_index","ordinal_rsa","0","16","0.7817987875474491","0.7398382119677174","-0.04196057557973176"
"32","Qwen3-8B","running_index","ordinal_rsa","3","12","0.7003419876521919","0.7420361468790365","0.04169415922684461"
