scope,feature_set,target,model,rows,groups,heldout_r2_log1p,heldout_mae_log1p,numeric_factors,categorical_factors,post_outcome_diagnostic,feature_order,incremental_r2
Gemma4-E4B/all_sites,plus_trace_form,noise_total_rms,hist_gradient_boosting,12383,10,0.8516544566858216,0.03897366547255838,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""site_scope""]",False,2,0.10664297242411414
Gemma4-E4B/all_sites,plus_outcome_diagnostic,noise_total_rms,hist_gradient_boosting,12383,10,0.8516544566858216,0.03897366547255838,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct"", ""site_scope""]",True,3,0.0
Gemma4-E4B/city_end,count_only,count_axis_deviation_abs,elastic_net,1087,10,0.17006094263390303,0.41257173926488033,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/city_end,plus_trace_position,count_axis_deviation_abs,elastic_net,1087,10,0.21385945922434768,0.3968940883723298,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,0.04379851659044465
Gemma4-E4B/city_end,plus_trace_form,count_axis_deviation_abs,elastic_net,1087,10,0.25011773642752644,0.3886203406602758,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.03625827720317876
Gemma4-E4B/city_end,plus_outcome_diagnostic,count_axis_deviation_abs,elastic_net,1087,10,0.25011773642752644,0.3886203406602758,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
Gemma4-E4B/city_end,count_only,count_axis_deviation_abs,hist_gradient_boosting,1087,10,0.3563424802938491,0.34588821977521844,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/city_end,plus_trace_position,count_axis_deviation_abs,hist_gradient_boosting,1087,10,0.2509314273982248,0.3744380331802703,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,-0.10541105289562425
Gemma4-E4B/city_end,plus_trace_form,count_axis_deviation_abs,hist_gradient_boosting,1087,10,0.31042603855783113,0.3588578205674051,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.0594946111596063
Gemma4-E4B/city_end,plus_outcome_diagnostic,count_axis_deviation_abs,hist_gradient_boosting,1087,10,0.31042603855783113,0.3588578205674051,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
