model_label,family,bank_size,seed,all_examples,clean_correct_examples,ranked_valid_rate,random_valid_rate,all_absolute_shift,absolute_error,clean_correct_to_wrong
Qwen3-8B,answer_prompt_aggregation,1,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,1,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,1,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,1,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,1,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,1,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,1,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,1,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,1,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,1,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,1,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,1,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,2,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,2,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,2,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,2,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,2,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,2,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,2,1260,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,2,1261,7,7,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,2,1262,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,2,1263,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,2,1268,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,2,1271,1,1,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,4,1254,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,4,1255,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,4,1256,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,4,1257,10,10,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,4,1258,8,8,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,4,1259,9,9,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,answer_prompt_aggregation,4,1260,10,10,1.0,1.0,0.0,0.0,0.0
