registered_bank_size,evaluation_scope,analysis_population,grammar_class,estimand,mean,ci95_low,ci95_high,n_seeds,n_anchor_units,anchor_weighted_mean,mean_equalized_strata_per_seed,sign_flip_p,sign_flip_method,inferential_status,holm_family,holm_p
4,confirmation,all_examples,macro_primary_grammars,selected_failure_minus_mean_random_failure,0.5454497354497355,0.43499999999999994,0.6632936507936507,10,89,0.5131086142322097,2.0,0.002926829268292683,exact,registered_confirmation,,
4,confirmation,all_examples,adjacent_rank_after_city,selected_failure_minus_mean_random_failure,0.6975308641975309,0.46913580246913583,0.8888888888888888,9,30,0.6888888888888888,1.0,0.009746588693957114,exact,descriptive_or_secondary,,
4,confirmation,all_examples,adjacent_rank_before_city,selected_failure_minus_mean_random_failure,1.0,1.0,1.0,1,1,1.0,1.0,,not_run,descriptive_or_secondary,,
4,confirmation,all_examples,same_unit_rank_before_city,selected_failure_minus_mean_random_failure,0.41497354497354494,0.2715066137566137,0.5533333333333332,10,58,0.41379310344827586,1.0,0.004878048780487805,exact,registered_confirmation,,
4,confirmation,all_examples,structural_invariant_bullet,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,1,1,0.0,1.0,,not_run,descriptive_or_secondary,,
4,confirmation,clean_correct_only,pooled,selected_failure_minus_mean_random_failure,0.5235449735449735,0.41693121693121693,0.624074074074074,10,87,0.524904214559387,1.0,0.002926829268292683,exact,registered_confirmation,pooled_K_grid:confirmation:clean_correct_only,0.014634146341463414
4,confirmation,clean_correct_only,macro_primary_grammars,selected_failure_minus_mean_random_failure,0.5560317460317461,0.4491666666666666,0.6687301587301586,10,86,0.5310077519379844,2.0,0.002926829268292683,exact,registered_confirmation,,
4,confirmation,clean_correct_only,adjacent_rank_after_city,selected_failure_minus_mean_random_failure,0.6975308641975309,0.47530864197530864,0.8888888888888888,9,29,0.7126436781609194,1.0,0.009746588693957114,exact,descriptive_or_secondary,,
4,confirmation,clean_correct_only,adjacent_rank_before_city,selected_failure_minus_mean_random_failure,1.0,1.0,1.0,1,1,1.0,1.0,,not_run,descriptive_or_secondary,,
4,confirmation,clean_correct_only,same_unit_rank_before_city,selected_failure_minus_mean_random_failure,0.4255555555555556,0.28055357142857146,0.5600079365079363,10,56,0.42857142857142855,1.0,0.004878048780487805,exact,registered_confirmation,,
4,confirmation,clean_correct_only,structural_invariant_bullet,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,1,1,0.0,1.0,,not_run,descriptive_or_secondary,,
6,confirmation,all_examples,pooled,selected_failure_minus_mean_random_failure,0.5148148148148148,0.4481481481481482,0.5666666666666667,10,90,0.5148148148148148,1.0,0.002926829268292683,exact,registered_confirmation,pooled_K_grid:confirmation:all_examples,0.014634146341463414
6,confirmation,all_examples,macro_primary_grammars,selected_failure_minus_mean_random_failure,0.49703042328042335,0.42286177248677254,0.5693518518518518,10,89,0.5205992509363295,2.0,0.002926829268292683,exact,registered_confirmation,,
