registered_bank_size,evaluation_scope,analysis_population,grammar_class,arm,metric,mean,ci95_low,ci95_high,n_seeds,n_anchor_units,anchor_weighted_mean,mean_equalized_strata_per_seed
1,confirmation,all_examples,pooled,clean,failure_rate,0.03333333333333333,0.0,0.07777777777777778,10,90,0.03333333333333333,1.0
1,confirmation,all_examples,pooled,selected_bank,failure_rate,0.4444444444444445,0.3555555555555555,0.5444444444444445,10,90,0.4444444444444444,1.0
1,confirmation,all_examples,pooled,layer_matched_random_mean,failure_rate,0.04814814814814815,0.011111111111111113,0.10370370370370371,10,90,0.04814814814814815,1.0
1,confirmation,all_examples,pooled,layer_matched_random_repeat_1,failure_rate,0.03333333333333333,0.0,0.08888888888888888,10,90,0.03333333333333333,1.0
1,confirmation,all_examples,pooled,layer_matched_random_repeat_2,failure_rate,0.06666666666666668,0.02222222222222222,0.11111111111111112,10,90,0.06666666666666667,1.0
1,confirmation,all_examples,pooled,layer_matched_random_repeat_3,failure_rate,0.04444444444444444,0.0,0.1222222222222222,10,90,0.044444444444444446,1.0
1,confirmation,all_examples,macro_primary_grammars,clean,failure_rate,0.04722222222222222,0.0,0.11666666666666665,10,89,0.033707865168539325,2.0
1,confirmation,all_examples,macro_primary_grammars,selected_bank,failure_rate,0.4770436507936508,0.3556547619047619,0.5930178571428572,10,89,0.449438202247191,2.0
1,confirmation,all_examples,macro_primary_grammars,layer_matched_random_mean,failure_rate,0.05886243386243387,0.007539682539682541,0.1301587301587302,10,89,0.04868913857677902,2.0
1,confirmation,all_examples,macro_primary_grammars,layer_matched_random_repeat_1,failure_rate,0.04722222222222222,0.0,0.11666666666666665,10,89,0.033707865168539325,2.0
1,confirmation,all_examples,macro_primary_grammars,layer_matched_random_repeat_2,failure_rate,0.07103174603174603,0.022619047619047615,0.13055555555555556,10,89,0.06741573033707865,2.0
1,confirmation,all_examples,macro_primary_grammars,layer_matched_random_repeat_3,failure_rate,0.05833333333333333,0.0,0.14166666666666666,10,89,0.0449438202247191,2.0
1,confirmation,all_examples,adjacent_rank_after_city,clean,failure_rate,0.05555555555555555,0.0,0.16666666666666666,9,30,0.03333333333333333,1.0
1,confirmation,all_examples,adjacent_rank_after_city,selected_bank,failure_rate,0.5370370370370371,0.3148148148148148,0.7592592592592593,9,30,0.5666666666666667,1.0
1,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_mean,failure_rate,0.06790123456790124,0.0,0.17901234567901236,9,30,0.055555555555555566,1.0
1,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_repeat_1,failure_rate,0.05555555555555555,0.0,0.16666666666666666,9,30,0.03333333333333333,1.0
1,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_repeat_2,failure_rate,0.09259259259259259,0.0,0.2222222222222222,9,30,0.1,1.0
1,confirmation,all_examples,adjacent_rank_after_city,layer_matched_random_repeat_3,failure_rate,0.05555555555555555,0.0,0.16666666666666666,9,30,0.03333333333333333,1.0
1,confirmation,all_examples,adjacent_rank_before_city,clean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,all_examples,adjacent_rank_before_city,selected_bank,failure_rate,1.0,1.0,1.0,1,1,1.0,1.0
1,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,all_examples,adjacent_rank_before_city,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,all_examples,same_unit_rank_before_city,clean,failure_rate,0.02222222222222222,0.0,0.06666666666666667,10,58,0.034482758620689655,1.0
1,confirmation,all_examples,same_unit_rank_before_city,selected_bank,failure_rate,0.3763095238095238,0.2738095238095238,0.4870238095238095,10,58,0.3793103448275862,1.0
1,confirmation,all_examples,same_unit_rank_before_city,layer_matched_random_mean,failure_rate,0.03068783068783069,0.0,0.08730158730158731,10,58,0.04597701149425288,1.0
1,confirmation,all_examples,same_unit_rank_before_city,layer_matched_random_repeat_1,failure_rate,0.02222222222222222,0.0,0.06666666666666667,10,58,0.034482758620689655,1.0
1,confirmation,all_examples,same_unit_rank_before_city,layer_matched_random_repeat_2,failure_rate,0.0365079365079365,0.0,0.0873015873015873,10,58,0.05172413793103448,1.0
1,confirmation,all_examples,same_unit_rank_before_city,layer_matched_random_repeat_3,failure_rate,0.03333333333333333,0.0,0.1,10,58,0.05172413793103448,1.0
1,confirmation,all_examples,structural_invariant_bullet,clean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,all_examples,structural_invariant_bullet,selected_bank,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,all_examples,structural_invariant_bullet,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,all_examples,structural_invariant_bullet,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,all_examples,structural_invariant_bullet,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,all_examples,structural_invariant_bullet,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,clean_correct_only,pooled,clean,failure_rate,0.0,0.0,0.0,10,87,0.0,1.0
1,confirmation,clean_correct_only,pooled,selected_bank,failure_rate,0.4279761904761904,0.346031746031746,0.5238095238095238,10,87,0.42528735632183906,1.0
1,confirmation,clean_correct_only,pooled,layer_matched_random_mean,failure_rate,0.015873015873015876,0.0037037037037037043,0.028042328042328046,10,87,0.015325670498084292,1.0
1,confirmation,clean_correct_only,pooled,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,10,87,0.0,1.0
1,confirmation,clean_correct_only,pooled,layer_matched_random_repeat_2,failure_rate,0.03333333333333333,0.0,0.06666666666666668,10,87,0.034482758620689655,1.0
1,confirmation,clean_correct_only,pooled,layer_matched_random_repeat_3,failure_rate,0.014285714285714285,0.0,0.04285714285714286,10,87,0.011494252873563218,1.0
1,confirmation,clean_correct_only,macro_primary_grammars,clean,failure_rate,0.0,0.0,0.0,10,86,0.0,2.0
1,confirmation,clean_correct_only,macro_primary_grammars,selected_bank,failure_rate,0.44251984126984134,0.3149960317460318,0.5664682539682538,10,86,0.43023255813953487,2.0
1,confirmation,clean_correct_only,macro_primary_grammars,layer_matched_random_mean,failure_rate,0.0126984126984127,0.002777777777777778,0.023412698412698413,10,86,0.01550387596899225,2.0
1,confirmation,clean_correct_only,macro_primary_grammars,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,10,86,0.0,2.0
1,confirmation,clean_correct_only,macro_primary_grammars,layer_matched_random_repeat_2,failure_rate,0.023809523809523808,0.0,0.047619047619047616,10,86,0.03488372093023256,2.0
1,confirmation,clean_correct_only,macro_primary_grammars,layer_matched_random_repeat_3,failure_rate,0.014285714285714285,0.0,0.04285714285714286,10,86,0.011627906976744186,2.0
1,confirmation,clean_correct_only,adjacent_rank_after_city,clean,failure_rate,0.0,0.0,0.0,9,29,0.0,1.0
1,confirmation,clean_correct_only,adjacent_rank_after_city,selected_bank,failure_rate,0.48148148148148157,0.2222222222222222,0.7222222222222222,9,29,0.5517241379310345,1.0
1,confirmation,clean_correct_only,adjacent_rank_after_city,layer_matched_random_mean,failure_rate,0.01234567901234568,0.0,0.0308641975308642,9,29,0.02298850574712644,1.0
1,confirmation,clean_correct_only,adjacent_rank_after_city,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,9,29,0.0,1.0
1,confirmation,clean_correct_only,adjacent_rank_after_city,layer_matched_random_repeat_2,failure_rate,0.037037037037037035,0.0,0.09259259259259259,9,29,0.06896551724137931,1.0
1,confirmation,clean_correct_only,adjacent_rank_after_city,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,9,29,0.0,1.0
1,confirmation,clean_correct_only,adjacent_rank_before_city,clean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,clean_correct_only,adjacent_rank_before_city,selected_bank,failure_rate,1.0,1.0,1.0,1,1,1.0,1.0
1,confirmation,clean_correct_only,adjacent_rank_before_city,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,clean_correct_only,adjacent_rank_before_city,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,clean_correct_only,adjacent_rank_before_city,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,clean_correct_only,adjacent_rank_before_city,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,clean_correct_only,same_unit_rank_before_city,clean,failure_rate,0.0,0.0,0.0,10,56,0.0,1.0
1,confirmation,clean_correct_only,same_unit_rank_before_city,selected_bank,failure_rate,0.3667857142857143,0.275,0.46559523809523806,10,56,0.35714285714285715,1.0
1,confirmation,clean_correct_only,same_unit_rank_before_city,layer_matched_random_mean,failure_rate,0.009523809523809525,0.0,0.02380952380952381,10,56,0.011904761904761906,1.0
1,confirmation,clean_correct_only,same_unit_rank_before_city,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,10,56,0.0,1.0
1,confirmation,clean_correct_only,same_unit_rank_before_city,layer_matched_random_repeat_2,failure_rate,0.014285714285714285,0.0,0.04285714285714286,10,56,0.017857142857142856,1.0
1,confirmation,clean_correct_only,same_unit_rank_before_city,layer_matched_random_repeat_3,failure_rate,0.014285714285714285,0.0,0.04285714285714286,10,56,0.017857142857142856,1.0
1,confirmation,clean_correct_only,structural_invariant_bullet,clean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,clean_correct_only,structural_invariant_bullet,selected_bank,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,clean_correct_only,structural_invariant_bullet,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,clean_correct_only,structural_invariant_bullet,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,clean_correct_only,structural_invariant_bullet,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
1,confirmation,clean_correct_only,structural_invariant_bullet,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,1,1,0.0,1.0
2,confirmation,all_examples,pooled,clean,failure_rate,0.03333333333333333,0.0,0.07777777777777778,10,90,0.03333333333333333,1.0
2,confirmation,all_examples,pooled,selected_bank,failure_rate,0.5111111111111111,0.4333333333333333,0.5777777777777778,10,90,0.5111111111111111,1.0
2,confirmation,all_examples,pooled,layer_matched_random_mean,failure_rate,0.2111111111111111,0.13333333333333336,0.30000000000000004,10,90,0.2111111111111111,1.0
2,confirmation,all_examples,pooled,layer_matched_random_repeat_1,failure_rate,0.22222222222222224,0.14444444444444443,0.32222222222222224,10,90,0.2222222222222222,1.0
2,confirmation,all_examples,pooled,layer_matched_random_repeat_2,failure_rate,0.13333333333333336,0.06666666666666667,0.2111111111111111,10,90,0.13333333333333333,1.0
2,confirmation,all_examples,pooled,layer_matched_random_repeat_3,failure_rate,0.2777777777777778,0.16666666666666666,0.4,10,90,0.2777777777777778,1.0
2,confirmation,all_examples,macro_primary_grammars,clean,failure_rate,0.04722222222222222,0.0,0.11666666666666665,10,89,0.033707865168539325,2.0
2,confirmation,all_examples,macro_primary_grammars,selected_bank,failure_rate,0.5272420634920635,0.4130917658730158,0.6336334325396825,10,89,0.5168539325842697,2.0
2,confirmation,all_examples,macro_primary_grammars,layer_matched_random_mean,failure_rate,0.22619047619047622,0.14166666666666666,0.31806547619047604,10,89,0.21348314606741572,2.0
