registered_bank_size,evaluation_scope,analysis_population,gold_count,estimand,mean,ci95_low,ci95_high,n_seeds,n_anchor_units,anchor_weighted_mean,mean_equalized_strata_per_seed,sign_flip_p,sign_flip_method,inferential_status,holm_family,holm_p
2,confirmation,all_examples,8,selected_failure_minus_mean_random_failure,0.7,0.4333333333333333,0.9333333333333332,10,10,0.7,1.0,0.00878048780487805,exact,descriptive_count_stratum,count_strata:K2:confirmation:all_examples,0.07902439024390245
2,confirmation,all_examples,9,selected_failure_minus_mean_random_failure,0.3666666666666666,0.09999999999999999,0.6,10,10,0.3666666666666666,1.0,0.04780487804878049,exact,descriptive_count_stratum,count_strata:K2:confirmation:all_examples,0.33463414634146343
2,confirmation,all_examples,10,selected_failure_minus_mean_random_failure,0.5666666666666667,0.3,0.8333333333333333,10,10,0.5666666666666667,1.0,0.016585365853658537,exact,descriptive_count_stratum,count_strata:K2:confirmation:all_examples,0.1326829268292683
2,confirmation,clean_correct_only,2,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,10,10,0.0,1.0,1.0,exact,descriptive_count_stratum,count_strata:K2:confirmation:clean_correct_only,1.0
2,confirmation,clean_correct_only,3,selected_failure_minus_mean_random_failure,0.06666666666666667,0.0,0.2,10,10,0.06666666666666667,1.0,1.0,exact,descriptive_count_stratum,count_strata:K2:confirmation:clean_correct_only,1.0
2,confirmation,clean_correct_only,4,selected_failure_minus_mean_random_failure,0.13333333333333333,-0.06666666666666668,0.36666666666666664,10,10,0.13333333333333333,1.0,0.5004878048780488,exact,descriptive_count_stratum,count_strata:K2:confirmation:clean_correct_only,1.0
2,confirmation,clean_correct_only,5,selected_failure_minus_mean_random_failure,0.1333333333333333,0.0,0.26666666666666666,10,10,0.1333333333333333,1.0,0.25073170731707317,exact,descriptive_count_stratum,count_strata:K2:confirmation:clean_correct_only,1.0
2,confirmation,clean_correct_only,6,selected_failure_minus_mean_random_failure,0.3666666666666666,0.09999999999999996,0.6333333333333333,10,10,0.3666666666666666,1.0,0.06341463414634146,exact,descriptive_count_stratum,count_strata:K2:confirmation:clean_correct_only,0.3804878048780488
2,confirmation,clean_correct_only,7,selected_failure_minus_mean_random_failure,0.40740740740740733,0.1481481481481481,0.7037037037037037,9,9,0.40740740740740733,1.0,0.06432748538011696,exact,descriptive_count_stratum,count_strata:K2:confirmation:clean_correct_only,0.3804878048780488
2,confirmation,clean_correct_only,8,selected_failure_minus_mean_random_failure,0.7,0.4333333333333333,0.9333333333333332,10,10,0.7,1.0,0.00878048780487805,exact,descriptive_count_stratum,count_strata:K2:confirmation:clean_correct_only,0.07902439024390245
2,confirmation,clean_correct_only,9,selected_failure_minus_mean_random_failure,0.3666666666666666,0.09999999999999999,0.6,10,10,0.3666666666666666,1.0,0.04780487804878049,exact,descriptive_count_stratum,count_strata:K2:confirmation:clean_correct_only,0.33463414634146343
2,confirmation,clean_correct_only,10,selected_failure_minus_mean_random_failure,0.7083333333333333,0.41666666666666663,0.9166666666666666,8,8,0.7083333333333333,1.0,0.019455252918287938,exact,descriptive_count_stratum,count_strata:K2:confirmation:clean_correct_only,0.1556420233463035
4,confirmation,all_examples,2,selected_failure_minus_mean_random_failure,0.2,0.0,0.5,10,10,0.2,1.0,0.5004878048780488,exact,descriptive_count_stratum,count_strata:K4:confirmation:all_examples,1.0
4,confirmation,all_examples,3,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,10,10,0.0,1.0,1.0,exact,descriptive_count_stratum,count_strata:K4:confirmation:all_examples,1.0
4,confirmation,all_examples,4,selected_failure_minus_mean_random_failure,0.4,0.1,0.7,10,10,0.4,1.0,0.12585365853658537,exact,descriptive_count_stratum,count_strata:K4:confirmation:all_examples,0.5034146341463415
4,confirmation,all_examples,5,selected_failure_minus_mean_random_failure,0.4,0.13333333333333333,0.6666666666666667,10,10,0.4,1.0,0.06341463414634146,exact,descriptive_count_stratum,count_strata:K4:confirmation:all_examples,0.3170731707317073
4,confirmation,all_examples,6,selected_failure_minus_mean_random_failure,0.4666666666666666,0.033333333333333305,0.8333333333333333,10,10,0.4666666666666666,1.0,0.12585365853658537,exact,descriptive_count_stratum,count_strata:K4:confirmation:all_examples,0.5034146341463415
4,confirmation,all_examples,7,selected_failure_minus_mean_random_failure,0.7333333333333333,0.4333333333333333,1.0,10,10,0.7333333333333333,1.0,0.00878048780487805,exact,descriptive_count_stratum,count_strata:K4:confirmation:all_examples,0.0702439024390244
4,confirmation,all_examples,8,selected_failure_minus_mean_random_failure,0.9666666666666666,0.8999999999999998,1.0,10,10,0.9666666666666666,1.0,0.002926829268292683,exact,descriptive_count_stratum,count_strata:K4:confirmation:all_examples,0.026341463414634145
4,confirmation,all_examples,9,selected_failure_minus_mean_random_failure,0.6666666666666667,0.4333333333333333,0.9,10,10,0.6666666666666667,1.0,0.00878048780487805,exact,descriptive_count_stratum,count_strata:K4:confirmation:all_examples,0.0702439024390244
4,confirmation,all_examples,10,selected_failure_minus_mean_random_failure,0.7333333333333333,0.4666666666666666,0.9666666666666666,10,10,0.7333333333333333,1.0,0.00878048780487805,exact,descriptive_count_stratum,count_strata:K4:confirmation:all_examples,0.0702439024390244
4,confirmation,clean_correct_only,2,selected_failure_minus_mean_random_failure,0.2,0.0,0.5,10,10,0.2,1.0,0.5004878048780488,exact,descriptive_count_stratum,count_strata:K4:confirmation:clean_correct_only,1.0
4,confirmation,clean_correct_only,3,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,10,10,0.0,1.0,1.0,exact,descriptive_count_stratum,count_strata:K4:confirmation:clean_correct_only,1.0
4,confirmation,clean_correct_only,4,selected_failure_minus_mean_random_failure,0.4,0.1,0.7,10,10,0.4,1.0,0.12585365853658537,exact,descriptive_count_stratum,count_strata:K4:confirmation:clean_correct_only,0.5034146341463415
4,confirmation,clean_correct_only,5,selected_failure_minus_mean_random_failure,0.4,0.13333333333333333,0.6666666666666667,10,10,0.4,1.0,0.06341463414634146,exact,descriptive_count_stratum,count_strata:K4:confirmation:clean_correct_only,0.3170731707317073
4,confirmation,clean_correct_only,6,selected_failure_minus_mean_random_failure,0.4666666666666666,0.033333333333333326,0.8333333333333333,10,10,0.4666666666666666,1.0,0.12585365853658537,exact,descriptive_count_stratum,count_strata:K4:confirmation:clean_correct_only,0.5034146341463415
4,confirmation,clean_correct_only,7,selected_failure_minus_mean_random_failure,0.8148148148148148,0.5185185185185185,1.0,9,9,0.8148148148148148,1.0,0.009746588693957114,exact,descriptive_count_stratum,count_strata:K4:confirmation:clean_correct_only,0.0702439024390244
4,confirmation,clean_correct_only,8,selected_failure_minus_mean_random_failure,0.9666666666666666,0.8999999999999998,1.0,10,10,0.9666666666666666,1.0,0.002926829268292683,exact,descriptive_count_stratum,count_strata:K4:confirmation:clean_correct_only,0.026341463414634145
4,confirmation,clean_correct_only,9,selected_failure_minus_mean_random_failure,0.6666666666666667,0.4,0.9,10,10,0.6666666666666667,1.0,0.00878048780487805,exact,descriptive_count_stratum,count_strata:K4:confirmation:clean_correct_only,0.0702439024390244
4,confirmation,clean_correct_only,10,selected_failure_minus_mean_random_failure,0.9166666666666666,0.7916666666666666,1.0,8,8,0.9166666666666666,1.0,0.011673151750972763,exact,descriptive_count_stratum,count_strata:K4:confirmation:clean_correct_only,0.0702439024390244
6,confirmation,all_examples,2,selected_failure_minus_mean_random_failure,-0.03333333333333334,-0.1,0.0,10,10,-0.03333333333333334,1.0,1.0,exact,descriptive_count_stratum,count_strata:K6:confirmation:all_examples,1.0
6,confirmation,all_examples,3,selected_failure_minus_mean_random_failure,0.16666666666666666,0.0,0.4,10,10,0.16666666666666666,1.0,0.5004878048780488,exact,descriptive_count_stratum,count_strata:K6:confirmation:all_examples,1.0
6,confirmation,all_examples,4,selected_failure_minus_mean_random_failure,0.36666666666666664,0.1333333333333333,0.6333333333333333,10,10,0.36666666666666664,1.0,0.06341463414634146,exact,descriptive_count_stratum,count_strata:K6:confirmation:all_examples,0.1902439024390244
