model_label,role,layer,rows,seeds,fold,algorithm,rows_train,rows_test,r2,mae,pearson_r
Qwen3-8B,prompt_running,20,300,30,discovery_to_confirmation,ridge,200,100,0.9015321135520935,0.7273090481758118,0.9529209239240922
Qwen3-8B,prompt_running,20,300,30,discovery_to_confirmation,knn5_distance,200,100,0.6177086524928672,1.2280379428646209,0.8070006510161006
Qwen3-8B,prompt_running,21,300,30,discovery_to_confirmation,ridge,200,100,0.9064080715179443,0.6761860847473145,0.9549430457722488
Qwen3-8B,prompt_running,21,300,30,discovery_to_confirmation,knn5_distance,200,100,0.7550494556062189,1.019266876374089,0.8714055635435987
Qwen3-8B,prompt_running,22,300,30,discovery_to_confirmation,ridge,200,100,0.8446996212005615,0.847006618976593,0.9205679463568811
Qwen3-8B,prompt_running,22,300,30,discovery_to_confirmation,knn5_distance,200,100,0.4848162204319243,1.5144790535345205,0.7624759513601619
Qwen3-8B,prompt_running,23,300,30,discovery_to_confirmation,ridge,200,100,0.7698922157287598,1.0933358669281006,0.8802828402748752
Qwen3-8B,prompt_running,23,300,30,discovery_to_confirmation,knn5_distance,200,100,0.14525852696610952,2.003757821503772,0.5936901421881595
Qwen3-8B,prompt_running,24,300,30,discovery_to_confirmation,ridge,200,100,0.7689490914344788,1.118211030960083,0.8783225538652429
Qwen3-8B,prompt_running,24,300,30,discovery_to_confirmation,knn5_distance,200,100,0.385234120807298,1.6850563708104134,0.6931224853959037
Qwen3-8B,prompt_running,25,300,30,discovery_to_confirmation,ridge,200,100,0.7398374080657959,1.1960844993591309,0.8615089209736205
Qwen3-8B,prompt_running,25,300,30,discovery_to_confirmation,knn5_distance,200,100,0.34083042667208174,1.7197836966971778,0.6574429815541767
Qwen3-8B,prompt_running,26,300,30,discovery_to_confirmation,ridge,200,100,0.7327685356140137,1.2240198850631714,0.8571460717173863
Qwen3-8B,prompt_running,26,300,30,discovery_to_confirmation,knn5_distance,200,100,0.4223268228311968,1.6648157792706388,0.701480326066045
Qwen3-8B,prompt_running,27,300,30,discovery_to_confirmation,ridge,200,100,0.7220239639282227,1.256068229675293,0.8505581881938343
Qwen3-8B,prompt_running,27,300,30,discovery_to_confirmation,knn5_distance,200,100,0.502873591354543,1.5112107098534215,0.7405520845213195
Qwen3-8B,prompt_running,28,300,30,discovery_to_confirmation,ridge,200,100,0.6949300765991211,1.319791555404663,0.8355517933558945
Qwen3-8B,prompt_running,28,300,30,discovery_to_confirmation,knn5_distance,200,100,0.4999544076675556,1.5512323076051342,0.7392736007978378
Qwen3-8B,prompt_running,29,300,30,discovery_to_confirmation,ridge,200,100,0.684561014175415,1.333044171333313,0.8311418664344806
Qwen3-8B,prompt_running,29,300,30,discovery_to_confirmation,knn5_distance,200,100,0.5280880667401591,1.4857031775451583,0.760768215888562
Qwen3-8B,prompt_running,30,300,30,discovery_to_confirmation,ridge,200,100,0.6457382440567017,1.4134384393692017,0.8118007926294747
Qwen3-8B,prompt_running,30,300,30,discovery_to_confirmation,knn5_distance,200,100,0.508709697219055,1.5357585117353851,0.729148121476915
Qwen3-8B,prompt_running,31,300,30,discovery_to_confirmation,ridge,200,100,0.6151531934738159,1.4682724475860596,0.7946968836545937
Qwen3-8B,prompt_running,31,300,30,discovery_to_confirmation,knn5_distance,200,100,0.470324586881401,1.6258520724142884,0.7175470611295518
Qwen3-8B,prompt_running,32,300,30,discovery_to_confirmation,ridge,200,100,0.6271558403968811,1.4364429712295532,0.8023884627623673
Qwen3-8B,prompt_running,32,300,30,discovery_to_confirmation,knn5_distance,200,100,0.46818100194674006,1.6351620014621935,0.7187744794479595
Qwen3-8B,prompt_running,33,300,30,discovery_to_confirmation,ridge,200,100,0.6176958680152893,1.475041151046753,0.7975916969781308
Qwen3-8B,prompt_running,33,300,30,discovery_to_confirmation,knn5_distance,200,100,0.45411401160817777,1.633449280317195,0.7121182215838678
Qwen3-8B,prompt_running,34,300,30,discovery_to_confirmation,ridge,200,100,0.6070525646209717,1.51601243019104,0.7920213857520692
Qwen3-8B,prompt_running,34,300,30,discovery_to_confirmation,knn5_distance,200,100,0.3702704403672259,1.7428474802904084,0.6367542784451888
Qwen3-8B,prompt_running,35,300,30,discovery_to_confirmation,ridge,200,100,0.5853099822998047,1.5402392148971558,0.7776526352166853
Qwen3-8B,prompt_running,35,300,30,discovery_to_confirmation,knn5_distance,200,100,0.2563595928353003,1.918129651322635,0.568210758693936
Qwen3-8B,answer_query,0,200,20,group_fold_0,ridge,160,40,-9.79028606414795,8.065104484558105,0.20409224192792913
Qwen3-8B,answer_query,0,200,20,group_fold_0,knn5_distance,160,40,-0.322589309714856,2.718477933124271,0.07964097998600365
Qwen3-8B,answer_query,0,200,20,group_fold_1,ridge,160,40,-9.530885696411133,8.580545425415039,0.1730983510311156
Qwen3-8B,answer_query,0,200,20,group_fold_1,knn5_distance,160,40,-0.033468336928243136,2.3862462961404374,0.26004212757300393
Qwen3-8B,answer_query,0,200,20,group_fold_2,ridge,160,40,-2.8454575538635254,4.622176647186279,0.33496259426893876
Qwen3-8B,answer_query,0,200,20,group_fold_2,knn5_distance,160,40,-0.25103830241103675,2.5502378526306275,0.20289164595943793
Qwen3-8B,answer_query,0,200,20,group_fold_3,ridge,160,40,-19.692419052124023,10.38017463684082,0.33713674477376493
Qwen3-8B,answer_query,0,200,20,group_fold_3,knn5_distance,160,40,-0.5806047875767193,2.9529454150750176,0.06313735386086244
Qwen3-8B,answer_query,0,200,20,group_fold_4,ridge,160,40,-24.647438049316406,10.329530715942383,0.11658204967898739
Qwen3-8B,answer_query,0,200,20,group_fold_4,knn5_distance,160,40,-0.3501940181467975,2.7216079218825207,0.04869678248166395
Qwen3-8B,answer_query,1,200,20,group_fold_0,ridge,160,40,-2.7632787227630615,3.8945045471191406,0.4624757942864878
Qwen3-8B,answer_query,1,200,20,group_fold_0,knn5_distance,160,40,0.07177744257621332,2.2493147507966964,0.37784119420367945
Qwen3-8B,answer_query,1,200,20,group_fold_1,ridge,160,40,0.05944991111755371,2.600395679473877,0.7239011615496428
Qwen3-8B,answer_query,1,200,20,group_fold_1,knn5_distance,160,40,-0.051880736154379825,2.520114170766199,0.055523583211099306
Qwen3-8B,answer_query,1,200,20,group_fold_2,ridge,160,40,-0.8864779472351074,3.2945854663848877,0.5634327367189456
Qwen3-8B,answer_query,1,200,20,group_fold_2,knn5_distance,160,40,-0.1845829579503666,2.593525793066036,0.16206193147539913
Qwen3-8B,answer_query,1,200,20,group_fold_3,ridge,160,40,-3.7147884368896484,5.512419700622559,0.43448592563238503
Qwen3-8B,answer_query,1,200,20,group_fold_3,knn5_distance,160,40,-0.06862843618470227,2.400972945130338,0.2315645402717193
Qwen3-8B,answer_query,1,200,20,group_fold_4,ridge,160,40,-4.6109137535095215,5.224367618560791,0.3480012373830596
Qwen3-8B,answer_query,1,200,20,group_fold_4,knn5_distance,160,40,0.07289147569543719,2.337631026195936,0.3454739915898849
Qwen3-8B,answer_query,2,200,20,group_fold_0,ridge,160,40,0.6425107717514038,1.197475790977478,0.8744258189344727
Qwen3-8B,answer_query,2,200,20,group_fold_0,knn5_distance,160,40,-0.18459466581403228,2.5883068297715455,0.2216063228609681
Qwen3-8B,answer_query,2,200,20,group_fold_1,ridge,160,40,-0.001292586326599121,2.4545249938964844,0.6975663003266597
Qwen3-8B,answer_query,2,200,20,group_fold_1,knn5_distance,160,40,0.2844129330704077,2.1322667637465003,0.5620346705326549
Qwen3-8B,answer_query,2,200,20,group_fold_2,ridge,160,40,0.8532946705818176,0.8992002606391907,0.9307576318279148
Qwen3-8B,answer_query,2,200,20,group_fold_2,knn5_distance,160,40,0.15328943689905006,2.184213123611889,0.463087250273643
Qwen3-8B,answer_query,2,200,20,group_fold_3,ridge,160,40,0.414819598197937,1.7522242069244385,0.7762644912150831
Qwen3-8B,answer_query,2,200,20,group_fold_3,knn5_distance,160,40,-0.12473801493385128,2.5578566915562435,0.14738054944835527
Qwen3-8B,answer_query,2,200,20,group_fold_4,ridge,160,40,-2.7565369606018066,4.667747974395752,0.5119557982559482
Qwen3-8B,answer_query,2,200,20,group_fold_4,knn5_distance,160,40,-0.02671478737027999,2.4169624942418224,0.6206099403711591
Qwen3-8B,answer_query,3,200,20,group_fold_0,ridge,160,40,-0.7200971841812134,2.630214214324951,0.6816856699889668
Qwen3-8B,answer_query,3,200,20,group_fold_0,knn5_distance,160,40,0.23272729438580098,2.1063934097234176,0.5912850642276348
Qwen3-8B,answer_query,3,200,20,group_fold_1,ridge,160,40,0.4941343069076538,1.7944889068603516,0.792282182303656
Qwen3-8B,answer_query,3,200,20,group_fold_1,knn5_distance,160,40,0.20873542421797153,2.098558592738872,0.48322865473205784
Qwen3-8B,answer_query,3,200,20,group_fold_2,ridge,160,40,0.7468354105949402,1.1437127590179443,0.9026502727228207
Qwen3-8B,answer_query,3,200,20,group_fold_2,knn5_distance,160,40,0.04983328828131495,2.388533481522105,0.26321841734816004
Qwen3-8B,answer_query,3,200,20,group_fold_3,ridge,160,40,0.6307123899459839,1.3629732131958008,0.920876149599779
Qwen3-8B,answer_query,3,200,20,group_fold_3,knn5_distance,160,40,0.27209717388321786,2.0419055290520243,0.5876970398140402
Qwen3-8B,answer_query,3,200,20,group_fold_4,ridge,160,40,-4.005545616149902,5.145050048828125,0.48953354294667906
Qwen3-8B,answer_query,3,200,20,group_fold_4,knn5_distance,160,40,-0.0672717235370055,2.3813136357736204,0.44032318818858684
Qwen3-8B,answer_query,4,200,20,group_fold_0,ridge,160,40,0.877522885799408,0.8698910474777222,0.9426425902480531
Qwen3-8B,answer_query,4,200,20,group_fold_0,knn5_distance,160,40,0.3587217659843316,1.937962539148404,0.6995699699091367
Qwen3-8B,answer_query,4,200,20,group_fold_1,ridge,160,40,-0.39292263984680176,2.987346649169922,0.619041491854533
Qwen3-8B,answer_query,4,200,20,group_fold_1,knn5_distance,160,40,0.004264649085101713,2.3940777720144326,0.37521964936799057
Qwen3-8B,answer_query,4,200,20,group_fold_2,ridge,160,40,0.8732184767723083,0.9102361798286438,0.9405534868913401
Qwen3-8B,answer_query,4,200,20,group_fold_2,knn5_distance,160,40,0.1364922350861193,2.2248344675365512,0.42404429003923905
Qwen3-8B,answer_query,4,200,20,group_fold_3,ridge,160,40,0.8004195094108582,1.1356369256973267,0.9085262964027934
Qwen3-8B,answer_query,4,200,20,group_fold_3,knn5_distance,160,40,0.2665614715107526,2.080015736623094,0.5267187962597809
Qwen3-8B,answer_query,4,200,20,group_fold_4,ridge,160,40,-0.21455872058868408,2.776643753051758,0.695362835108886
Qwen3-8B,answer_query,4,200,20,group_fold_4,knn5_distance,160,40,-0.15272650094827167,2.5673814097316927,0.25927216515888285
Qwen3-8B,answer_query,5,200,20,group_fold_0,ridge,160,40,0.8998109698295593,0.708473801612854,0.9595700032802705
Qwen3-8B,answer_query,5,200,20,group_fold_0,knn5_distance,160,40,0.36861263169346603,1.8308146727688182,0.6167891201426945
Qwen3-8B,answer_query,5,200,20,group_fold_1,ridge,160,40,0.7496283054351807,1.265345811843872,0.8964199483511149
Qwen3-8B,answer_query,5,200,20,group_fold_1,knn5_distance,160,40,0.15962453912651042,2.2146803212049964,0.41692510066399724
Qwen3-8B,answer_query,5,200,20,group_fold_2,ridge,160,40,0.901813805103302,0.713135302066803,0.9578622913278256
Qwen3-8B,answer_query,5,200,20,group_fold_2,knn5_distance,160,40,0.21140351773485555,2.1137208898147857,0.4648547745555358
Qwen3-8B,answer_query,5,200,20,group_fold_3,ridge,160,40,0.6565712094306946,1.4811065196990967,0.8652023952029003
Qwen3-8B,answer_query,5,200,20,group_fold_3,knn5_distance,160,40,0.2469131718289782,2.120079920536882,0.5319201773154008
Qwen3-8B,answer_query,5,200,20,group_fold_4,ridge,160,40,-0.08939099311828613,2.834934711456299,0.7198632190700345
Qwen3-8B,answer_query,5,200,20,group_fold_4,knn5_distance,160,40,0.023723544860954626,2.4855475947621324,0.44948545359468145
Qwen3-8B,answer_query,6,200,20,group_fold_0,ridge,160,40,0.8307180404663086,0.9725593328475952,0.9652952615825457
Qwen3-8B,answer_query,6,200,20,group_fold_0,knn5_distance,160,40,0.37280218628406414,1.8287562518001892,0.6816891379292553
Qwen3-8B,answer_query,6,200,20,group_fold_1,ridge,160,40,0.73069167137146,1.37850022315979,0.8871433477441528
Qwen3-8B,answer_query,6,200,20,group_fold_1,knn5_distance,160,40,0.20065113444400517,2.1378257973051027,0.47396423039178104
Qwen3-8B,answer_query,6,200,20,group_fold_2,ridge,160,40,0.9218976497650146,0.6351229548454285,0.9618590292884663
Qwen3-8B,answer_query,6,200,20,group_fold_2,knn5_distance,160,40,0.45259713594309925,1.6982749475712804,0.7121491196202008
Qwen3-8B,answer_query,6,200,20,group_fold_3,ridge,160,40,0.7893995046615601,1.1398227214813232,0.9088711905561409
Qwen3-8B,answer_query,6,200,20,group_fold_3,knn5_distance,160,40,0.19065212246248409,2.157679354723295,0.61831144897932
Qwen3-8B,answer_query,6,200,20,group_fold_4,ridge,160,40,0.5451997518539429,1.801361083984375,0.8494294878090636
Qwen3-8B,answer_query,6,200,20,group_fold_4,knn5_distance,160,40,0.004911111188320105,2.37619913242515,0.26554766583135303
Qwen3-8B,answer_query,7,200,20,group_fold_0,ridge,160,40,0.5769888162612915,1.3230537176132202,0.8176093441807787
Qwen3-8B,answer_query,7,200,20,group_fold_0,knn5_distance,160,40,0.29821743699463954,2.01771693273953,0.5496188742508822
