model_label,role,layer,rows,seeds,population,ss_count,ss_seed_context,ss_count_by_seed_interaction,fraction_count,fraction_seed_context,fraction_count_by_seed_interaction
Qwen3-8B,prompt_running,0,300,30,all,6.837083207463199,16.1578840762331,30.470288078461174,0.12787899657732607,0.3022127915930538,0.5699082118296201
Qwen3-8B,prompt_running,0,300,30,discovery,4.113716078835719,9.587237663082878,18.447107741315047,0.12796155939234993,0.29822133033069387,0.5738171102769561
Qwen3-8B,prompt_running,0,300,30,confirmation,3.835001491241783,6.0163987680515145,10.911545974531837,0.184704109332718,0.28976613917393557,0.5255297514933465
Qwen3-8B,prompt_running,1,300,30,all,154.28281559894828,56.912334399361,106.36031152171498,0.4858452594720044,0.17922014040300882,0.33493460012498694
Qwen3-8B,prompt_running,1,300,30,discovery,105.31417397147052,32.58960513956704,65.01147685670557,0.5190056975716603,0.16060697350793435,0.32038732892040533
Qwen3-8B,prompt_running,1,300,30,confirmation,53.17958306158397,21.08033273501642,37.13789323090313,0.4773844613806921,0.18923471582651863,0.3333808227927893
Qwen3-8B,prompt_running,2,300,30,all,484.15068137603663,266.1680501364139,359.7964985063973,0.4361265103693935,0.2397661458368559,0.32410734379375067
Qwen3-8B,prompt_running,2,300,30,discovery,327.680123290446,164.00862465435955,226.19278566479386,0.45645431446443363,0.22846196339624922,0.3150837221393171
Qwen3-8B,prompt_running,2,300,30,confirmation,167.98553218610223,94.24644748090985,122.08873874109224,0.43709725794101206,0.24522864099361666,0.3176741010653713
Qwen3-8B,prompt_running,3,300,30,all,1904.8281012109887,774.0380152714896,921.8639450520848,0.5290116361566929,0.21496696559963988,0.2560213982436672
Qwen3-8B,prompt_running,3,300,30,discovery,1273.6316039181092,442.4421440410453,576.2584051716625,0.5556051736126508,0.19300961400238945,0.25138521238495976
Qwen3-8B,prompt_running,3,300,30,confirmation,658.8302485390669,311.50689488816874,317.97178863423494,0.5113915087779826,0.24179518369845893,0.24681330752355846
Qwen3-8B,prompt_running,4,300,30,all,5563.93567177203,2726.456587297461,2642.171234291452,0.5089323903904936,0.2493885893233701,0.24167902028613625
Qwen3-8B,prompt_running,4,300,30,discovery,3729.0716599271586,1668.466724572408,1667.430737374021,0.5278256133323667,0.23616051192732468,0.2360138747403086
Qwen3-8B,prompt_running,4,300,30,confirmation,1917.1043034387021,998.5173637757739,892.5002053236029,0.5034251443641349,0.26220730249640645,0.23436755313945862
Qwen3-8B,prompt_running,5,300,30,all,8417.615139797308,3426.713769898878,3675.5112305023727,0.5423776961461418,0.22079568725860843,0.23682661659524987
Qwen3-8B,prompt_running,5,300,30,discovery,5667.983249654003,2107.8583603767966,2324.9018973975135,0.5611451518876448,0.2086834854114086,0.23017136270094657
Qwen3-8B,prompt_running,5,300,30,confirmation,2864.5247093652124,1241.101042024207,1235.7165138829546,0.5362930452873983,0.23235751996149578,0.23134943475110573
Qwen3-8B,prompt_running,6,300,30,all,12525.634011302987,4441.876068204114,5170.940741667454,0.5657863828178398,0.20064078124001497,0.23357283594214517
Qwen3-8B,prompt_running,6,300,30,discovery,8461.784132320108,2717.8037328206283,3292.5823248005477,0.5846935201329635,0.18779517495652495,0.22751130491051158
Qwen3-8B,prompt_running,6,300,30,confirmation,4219.880868377181,1618.7128292525358,1722.3274274726055,0.5581172979529095,0.21408936853981922,0.22779333350727118
Qwen3-8B,prompt_running,7,300,30,all,17909.926408775278,5476.6877992593945,8786.3863455452,0.5566756628418499,0.17022620535932595,0.2730981317988242
Qwen3-8B,prompt_running,7,300,30,discovery,12073.534914245336,3345.1033584701736,5692.409622882808,0.571905997937823,0.15845273882248317,0.26964126323969373
Qwen3-8B,prompt_running,7,300,30,confirmation,6118.476254794121,1987.5070062341877,2811.8919623982133,0.5604090658286409,0.18204155713096878,0.2575493770403904
Qwen3-8B,prompt_running,8,300,30,all,26853.724943740694,6912.2746782957365,11707.561829493457,0.5905348973460983,0.15200645072991495,0.25745865192398687
Qwen3-8B,prompt_running,8,300,30,discovery,17991.61909391027,4242.190126580862,7601.251477132541,0.6030361150008748,0.14218808433390406,0.2547758006652211
Qwen3-8B,prompt_running,8,300,30,confirmation,9249.173005179475,2480.8055816585397,3719.243197011869,0.5986821300506062,0.1605780288721011,0.24073984107729268
Qwen3-8B,prompt_running,9,300,30,all,40348.80851303014,15432.585781383552,21470.823384190884,0.5222996792259721,0.19976883829521042,0.2779314824788175
Qwen3-8B,prompt_running,9,300,30,discovery,27245.190208978573,9928.513491393627,13999.020042446957,0.5324162603871906,0.19401964103555952,0.2735640985772499
Qwen3-8B,prompt_running,9,300,30,confirmation,13776.357068385207,5175.793645296549,6799.0645774103,0.5349789092536836,0.2009922089807923,0.2640288817655241
Qwen3-8B,prompt_running,10,300,30,all,36445.8025810771,12359.983535736592,17853.02925642829,0.5467514293046841,0.18542159002570735,0.26782698066960864
Qwen3-8B,prompt_running,10,300,30,discovery,24608.342778261227,7956.0677726535705,11606.927763937478,0.5571110977632946,0.18011833184548096,0.2627705703912244
Qwen3-8B,prompt_running,10,300,30,confirmation,12407.377425383496,4138.280530028045,5676.183869923192,0.5583415417545661,0.1862258116386223,0.2554326466068116
Qwen3-8B,prompt_running,11,300,30,all,39954.52070545178,13233.955858677149,20031.166867233205,0.5456803506958637,0.18074324373189526,0.2735764055722411
Qwen3-8B,prompt_running,11,300,30,discovery,26973.146973631414,8624.426901277991,13023.958427406807,0.5547572381289695,0.17737875572603345,0.26786400614499717
Qwen3-8B,prompt_running,11,300,30,confirmation,13616.84437312524,4312.169158317549,6371.737798521524,0.5603466406544738,0.17745003435348028,0.2622033249920459
Qwen3-8B,prompt_running,12,300,30,all,42258.55900291981,13823.406715627953,20740.907830866778,0.5500778225346904,0.17993868332374166,0.26998349414156797
Qwen3-8B,prompt_running,12,300,30,discovery,28505.9714577297,8976.871205767944,13488.816405813614,0.559251395348291,0.17611495034056462,0.26463365431114416
Qwen3-8B,prompt_running,12,300,30,confirmation,14436.822429835418,4525.948047764476,6567.856540407852,0.5654707351939522,0.17727524061873406,0.2572540241873138
Qwen3-8B,prompt_running,13,300,30,all,54635.73676612272,18194.59487339205,27234.823109706715,0.5460016216738803,0.18182747949563935,0.2721708988304803
Qwen3-8B,prompt_running,13,300,30,discovery,37093.06129279708,11732.90764077826,17788.219373156986,0.5568342456114307,0.17613226159497436,0.267033492793595
Qwen3-8B,prompt_running,13,300,30,confirmation,18416.19493294064,6006.011338276272,8573.08427693472,0.5581461665283713,0.1820263206808683,0.2598275127907603
Qwen3-8B,prompt_running,14,300,30,all,61286.817679757274,20435.588425543643,33626.362725474406,0.5313174843649117,0.1771634724209677,0.29151904321412064
Qwen3-8B,prompt_running,14,300,30,discovery,41740.33755608715,13193.300515052031,22055.95686573933,0.5421555677791112,0.1713647217636205,0.28647971045726833
Qwen3-8B,prompt_running,14,300,30,confirmation,20623.183862097103,6738.658481464167,10493.702121308132,0.5447863490970464,0.17800981538431598,0.27720383551863764
Qwen3-8B,prompt_running,15,300,30,all,67791.18702277885,21408.846304427614,38186.718379661535,0.5321682680061927,0.16806179620383055,0.2997699357899768
Qwen3-8B,prompt_running,15,300,30,discovery,46450.24093695512,13852.377548780754,25205.389521634912,0.5432267926642743,0.16200093852714567,0.29477226880858004
