model_label,role,layer,algorithm,folds,r2_mean,r2_min,r2_max,mae_mean,mae_min,mae_max,pearson_r_mean,pearson_r_min,pearson_r_max
Gemma4-E4B,answer_query,0,knn5_distance,5,-0.3192716464549468,-0.641433766341607,0.00287516496071627,2.7809878353025947,2.4884420047839084,3.0810642265946755,-0.032553499805211814,-0.14568389735870085,0.16680130481674094
Gemma4-E4B,answer_query,0,ridge,5,-3.621965169906616,-5.807846546173096,-0.43921732902526855,5.074328327178955,2.866654872894287,5.980977535247803,-0.011801060293504178,-0.06098964380752142,0.021405738350335456
Gemma4-E4B,answer_query,1,knn5_distance,5,-0.24235955931550582,-0.5407690841092923,-0.1008203207716154,2.668571480625977,2.517300493075914,3.0326847817277534,-0.05283268761181351,-0.4335698461195284,0.14228204306581463
Gemma4-E4B,answer_query,1,ridge,5,-2.995093274116516,-10.933213233947754,-0.06533515453338623,4.156138134002686,2.4528849124908447,7.641781806945801,0.09716116639421372,-0.042293625176055914,0.27395896860189267
Gemma4-E4B,answer_query,2,knn5_distance,5,-0.31723302760597555,-0.37940847616936346,-0.25728082376649786,2.781052862237518,2.7099738793540165,2.908808668464375,-0.056625725156430516,-0.14808230069434003,0.0531970523590557
Gemma4-E4B,answer_query,2,ridge,5,-0.9648039817810059,-1.785590410232544,-0.3940848112106323,3.3204068183898925,2.85041880607605,4.024179935455322,-0.00039034945801554103,-0.06840840869300789,0.07294378297405832
Gemma4-E4B,answer_query,3,knn5_distance,5,-0.2919974400830857,-0.39760068925922876,-0.1537517157026178,2.7539565512422195,2.655779211489846,2.885678626261239,-0.06651237556701589,-0.12335081830540828,0.02366909475065654
Gemma4-E4B,answer_query,3,ridge,5,-1.9055119514465333,-2.4180054664611816,-1.5026588439941406,4.016327285766602,3.701810121536255,4.419114112854004,0.014736950945145563,-0.018887771461194525,0.0469550579017939
Gemma4-E4B,answer_query,4,knn5_distance,5,-0.29498512091928075,-0.5984632894904838,-0.12638276438310458,2.7544964942400654,2.5958586378434543,2.9718858992899526,0.002892046863861894,-0.17094958457437093,0.09829648884961908
Gemma4-E4B,answer_query,4,ridge,5,-1.3837026834487915,-2.8148508071899414,-0.3866894245147705,3.606529378890991,2.7715630531311035,4.577108860015869,0.050252015214593805,-0.04980495841007065,0.1410763985808869
Gemma4-E4B,answer_query,5,knn5_distance,5,0.2164886259221943,0.1441062593617587,0.29973940479370975,2.1592343087176737,2.0730881770560714,2.3040897831186564,0.5293349106253027,0.3976651332819682,0.7239840010669046
Gemma4-E4B,answer_query,5,ridge,5,0.28942863941192626,-0.4597362279891968,0.8136618733406067,1.8543160676956176,1.0080130100250244,2.6320528984069824,0.7711961327154996,0.6346489613698136,0.9158212182001545
Gemma4-E4B,answer_query,6,knn5_distance,5,0.014961235511585125,-0.2119053321326787,0.22585226858476737,2.414824708180528,2.125533629215055,2.702493233604092,0.29171962335114787,0.10351734379932127,0.4820687158489631
Gemma4-E4B,answer_query,6,ridge,5,0.38108069896698,-0.015300869941711426,0.9148498773574829,1.8699095964431762,0.6628812551498413,2.6161162853240967,0.7895661390154988,0.6347579249801061,0.9708752936115295
Gemma4-E4B,answer_query,7,knn5_distance,5,0.0939307999681199,0.01238979005031493,0.19241378302382506,2.250371524521714,2.101760027804334,2.3421596829424707,0.3766110085585521,0.19799777014137412,0.5057416655699456
Gemma4-E4B,answer_query,7,ridge,5,0.3045003771781921,-0.22215652465820312,0.8573702573776245,1.9063133001327515,0.8357329368591309,2.8028178215026855,0.7748854912065885,0.6273198049753135,0.944154340469541
Gemma4-E4B,answer_query,8,knn5_distance,5,0.19648789839580988,0.07058414729001361,0.37598110399380835,2.1390898015793054,1.9360803227575984,2.271614548297446,0.48628012540639665,0.3438072851340204,0.7304327417296503
Gemma4-E4B,answer_query,8,ridge,5,0.13068920373916626,-0.5158747434616089,0.688941240310669,2.221647930145264,1.336364507675171,3.407675266265869,0.7784777771916698,0.6332926474501401,0.890499317255568
