model_label,layer,mode,metric,estimand,estimate,jackknife_se,ci_low_normal,ci_high_normal,jackknife_seed_count
Qwen3-8B,0,non_thinking,centroid_nearest_squared,quality_slope_per_index,-62.36356386126891,36.19976095026318,-133.31509532378473,8.587967601246923,10
Qwen3-8B,0,non_thinking,centroid_nearest_squared,quality_spearman,-0.3792208524324131,0.488108573085552,-1.335913655680095,0.5774719508152688,10
Qwen3-8B,0,non_thinking,centroid_nearest_squared,late_8_10_minus_early_1_3,-455.37332153320307,236.7861479646274,-919.4741715438727,8.727528477466592,10
Qwen3-8B,0,non_thinking,class_nc1_ratio,quality_slope_per_index,0.4626970184891734,0.5005527564756269,-0.5183863842030554,1.443780421181402,10
Qwen3-8B,0,non_thinking,class_nc1_ratio,quality_spearman,0.0303030303030303,0.25928063229055837,-0.4778870089864641,0.5384930695925246,10
Qwen3-8B,0,non_thinking,class_nc1_ratio,late_8_10_minus_early_1_3,0.6743944236267558,1.6270678565310812,-2.5146585751741632,3.863447422427675,10
Qwen3-8B,0,non_thinking,fisher_nearest,quality_slope_per_index,-0.008163640369898995,0.019426655720121387,-0.04623988558133691,0.029912604841538924,10
Qwen3-8B,0,non_thinking,fisher_nearest,quality_spearman,-0.34545454545454546,0.3862769956331491,-1.1025574568955177,0.41164836598642673,10
Qwen3-8B,0,non_thinking,fisher_nearest,late_8_10_minus_early_1_3,-0.05387474166166831,0.14436728472202512,-0.3368346197168375,0.2290851363935009,10
Qwen3-8B,0,non_thinking,logistic_f1,quality_slope_per_index,-0.045194343877208304,0.010351591256283495,-0.06548346273952395,-0.024905225014892656,10
Qwen3-8B,0,non_thinking,logistic_f1,quality_spearman,-0.6747751534848716,0.2019778932490742,-1.0706518242530572,-0.27889848271668616,10
Qwen3-8B,0,non_thinking,logistic_f1,late_8_10_minus_early_1_3,-0.3561076604554866,0.07474565646140038,-0.5026091471198313,-0.20960617379114183,10
Qwen3-8B,0,non_thinking,logistic_precision,quality_slope_per_index,-0.03874342828888282,0.011279209855819466,-0.06085067960628897,-0.016636176971476666,10
Qwen3-8B,0,non_thinking,logistic_precision,quality_spearman,-0.6747751534848716,0.15860231671575029,-0.9856356942477422,-0.36391461272200104,10
Qwen3-8B,0,non_thinking,logistic_precision,late_8_10_minus_early_1_3,-0.32167832167832167,0.077283375727281,-0.47315373810379246,-0.1702029052528509,10
Qwen3-8B,0,non_thinking,logistic_recall,quality_slope_per_index,-0.052727272727272685,0.011322146480163277,-0.0749186798283927,-0.030535865626152663,10
