model,mode,target,candidate,label,formula,k,parsed_n,seed_cv_mse,seed_cv_se,request_oof_r2,cell_crossfit_r2,cell_fit_r2,leave_N_out_r2,leave_L_out_r2,selection_score,overall_f_p,quality,mean_abs_cell_target,max_abs_cell_target,numeric_formula,fdr_q
Gemma4-12B,direct,absolute_error,N_logL_interaction,N + log₂L + Nlog₂L,b=\alpha+\beta_NN+\beta_L\log_2L_k+\beta_{NL}N\log_2L_k,4,500,0.6448809451505995,0.08781756936746864,0.939180971508183,0.9803706141312152,0.9803706141312152,0.9612076262372998,0.9779187579208974,0.9503706141312152,2.971867675328273e-39,strong,1.9180000000000001,13.4,\overline{|b|}=-0.574 + 0.123N - 0.209\log_2L_k + 0.0859N\log_2L_k,3.275878327430741e-38
Gemma4-12B,enumeration_index,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.1844263858032523,0.08409134572978559,0.14584196723145915,0.7493797922378546,0.7493797922378544,0.5220854220499718,-0.24570929347770964,0.7193797922378545,7.211333064310072e-14,moderate,0.07800000000000001,1.3,\bar b=-0.018 + 0.0115N + 0.00294L_k - 0.00261NL_k,1.100677151921011e-13
Gemma4-12B,enumeration_index,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.1844263858032523,0.08409134572978559,0.14584196723145915,0.7493797922378546,0.7493797922378544,0.5220854220499718,-0.24570929347770964,0.7193797922378545,7.211333064310072e-14,moderate,0.07800000000000001,1.3,\overline{|b|}=0.018 - 0.0115N - 0.00294L_k + 0.00261NL_k,9.092550385434439e-14
Gemma4-12B,enumeration_bullet,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.21903651754403114,0.0722121722043961,0.6394484356579856,0.9239685328110849,0.9239685328110849,0.8576400283849037,0.8863945660713206,0.8939685328110849,9.698793025341105e-26,strong,0.36400000000000005,2.7,\bar b=0.194 - 0.04N + 0.00441L_k - 0.00333NL_k,3.1251666414988003e-25
Gemma4-12B,enumeration_bullet,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,0.21903651754403114,0.0722121722043961,0.6394484356579856,0.9239685328110849,0.9239685328110849,0.8576400283849037,0.8863945660713206,0.8939685328110849,9.698793025341105e-26,strong,0.36400000000000005,2.7,\overline{|b|}=-0.194 + 0.04N - 0.00441L_k + 0.00333NL_k,3.1251666414988003e-25
Gemma4-12B,native_thinking,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,492,0.2836215369398585,0.06097970394970018,0.48089075318026187,0.8208254011728352,0.8229999038364326,0.7335882554887667,-0.13915954955767584,0.7908254011728352,2.1829655261904587e-17,strong,0.17522222222222222,4.25,\bar b=-0.107 + 0.0332N + 0.0226L_k - 0.00764NL_k,3.723882368207253e-17
Gemma4-12B,native_thinking,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,492,0.2836215369398585,0.06097970394970018,0.48089075318026187,0.8208254011728352,0.8229999038364326,0.7335882554887667,-0.13915954955767584,0.7908254011728352,2.1829655261904587e-17,strong,0.17522222222222222,4.25,\overline{|b|}=0.107 - 0.0332N - 0.0226L_k + 0.00764NL_k,3.9566250162202065e-17
DeepSeek-R1-0528-Qwen3-8B,native_thinking,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,478,25.99622911567132,16.83509687201859,0.016546555798337192,0.32089339429780295,0.3225096625188967,-0.11908929100069798,0.15695844180627483,0.2908933942978029,0.0003965201559069869,weak,0.8114365079365079,9.6,\bar b=-0.448 + 0.0155N + 0.171L_k - 0.0125NL_k,0.0004599633808521048
DeepSeek-R1-0528-Qwen3-8B,native_thinking,absolute_error,product,NL,b=\alpha+\beta_PNL_k,2,478,22.69139408233613,16.567017372600574,0.09372013221598885,0.5995026279078248,0.600237977620614,0.4994615709895003,0.580301324045752,0.5995026279078248,3.895989280156646e-11,moderate,1.2406904761904762,9.8,\overline{|b|}=0.131 + 0.0156NL_k,4.5193475649817086e-11
GLM-Z1-9B-0414,native_thinking,signed_error,product,NL,b=\alpha+\beta_PNL_k,2,459,1.9874529966234462,0.7534082974158076,0.411825862229225,0.8638505192522093,0.8645010554998314,0.8516690505594958,0.8290844481408941,0.8638505192522093,1.7819036023236245e-22,strong,0.6433888888888889,6.0,\bar b=0.331 - 0.0115NL_k,5.167520446738511e-22
GLM-Z1-9B-0414,native_thinking,absolute_error,N_logL_interaction,N + log₂L + Nlog₂L,b=\alpha+\beta_NN+\beta_L\log_2L_k+\beta_{NL}N\log_2L_k,4,459,1.5374087425104888,0.4480837705217213,0.49103622286222004,0.9637009695150083,0.9639117117418651,0.9501530594631198,0.9535178779753458,0.9337009695150082,3.518557779551545e-33,strong,0.7493253968253968,6.0,\overline{|b|}=0.132 - 0.0736N - 0.107\log_2L_k + 0.069N\log_2L_k,2.55095439017487e-32
GLM-4-9B-0414,direct,signed_error,N_piece10_logL,segmented N at 10 + log₂L,b=\alpha+\beta_NN+\beta_H(N-10)_++\beta_L\log_2L_k,4,500,0.9736437448469291,0.14928036082786736,0.9805025801912125,0.9930239534581463,0.9930239534581464,0.989649933026505,0.9840226184674381,0.9630239534581463,1.3863018395533646e-49,strong,4.736000000000001,23.4,\bar b=1.22 - 0.537N - 0.372(N-10)_+ - 0.0121\log_2L_k,4.020275334704757e-48
GLM-4-9B-0414,direct,absolute_error,N_piece10_logL,segmented N at 10 + log₂L,b=\alpha+\beta_NN+\beta_H(N-10)_++\beta_L\log_2L_k,4,500,0.8488354463926113,0.0946975149401304,0.982805963958677,0.9936389348759659,0.9936389348759659,0.9907013419525368,0.9861163443580911,0.9636389348759659,1.660188753025087e-50,strong,4.772,23.4,\overline{|b|}=-1.26 + 0.528N + 0.379(N-10)_+ + 0.0772\log_2L_k,4.8145473837727525e-49
GLM-4-9B-0414,enumeration_index,signed_error,N2_L2,quadratic N + quadratic L,b=\alpha+\beta_1N+\beta_2N^2+\beta_3L_k+\beta_4L_k^2,5,489,135.13657723757518,54.089959314513514,0.08028036841206798,0.3293846282977201,0.3331051697780866,0.14173373409527723,-0.2769921840945653,0.2843846282977201,0.0009077847626482526,weak,2.3039126984126987,40.111111111111114,\bar b=4.54 - 0.812N + 0.0288N^2 - 0.896L_k + 0.0624L_k^2,0.0010125291583384355
GLM-4-9B-0414,enumeration_index,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,489,127.14219033425839,54.83137254207473,0.11105074400321358,0.39429047721722776,0.4012475283596848,-0.5622229452064953,0.1825333055160696,0.36429047721722774,2.6361895655913463e-05,weak,2.418579365079365,41.44444444444444,\overline{|b|}=-0.93 - 0.0971N + 0.166L_k + 0.0405NL_k,2.7303391929338944e-05
GLM-4-9B-0414,enumeration_bullet,signed_error,N_logL_interaction,N + log₂L + Nlog₂L,b=\alpha+\beta_NN+\beta_L\log_2L_k+\beta_{NL}N\log_2L_k,4,474,1.854871489388159,0.262956225112431,0.7798265229458762,0.943297251524503,0.9432659091901621,0.8411359221093996,0.9220386288471691,0.913297251524503,5.661949543018075e-29,strong,1.524142857142857,16.666666666666668,\bar b=-0.245 + 0.0749N + 0.573\log_2L_k - 0.149N\log_2L_k,4.104913418688105e-28
GLM-4-9B-0414,enumeration_bullet,absolute_error,N_logL_interaction,N + log₂L + Nlog₂L,b=\alpha+\beta_NN+\beta_L\log_2L_k+\beta_{NL}N\log_2L_k,4,474,1.9258658227067955,0.3062858195137746,0.7678684190938748,0.9327821788676083,0.932982437333006,0.8147574187857329,0.9142271260045398,0.9027821788676083,2.7571247861874908e-27,strong,1.5325873015873017,16.666666666666668,\overline{|b|}=0.127 - 0.0691N - 0.484\log_2L_k + 0.145N\log_2L_k,1.1422374114205318e-26
