model_label,mode,layer,n_confirmation,pca_components,logistic_accuracy,logistic_balanced_accuracy,ncc_accuracy,nc4_probe_ncc_disagreement,nc1_trace_sigmaw_sigmab_pinv_over_c,nc2_etf_gram_relative_error,nc2_centered_centroid_norm_cv,pillai_trace_regularized,lawley_hotelling_trace_regularized,wilks_lambda_regularized,wilks_log_separation_regularized,covariance_ridge,covariance_ridge_attempts,covariance_min_eigenvalue_before_ridge,covariance_within_scale
Gemma4-E4B,non_thinking,0,30,16,0.13333333333333333,0.13333333333333333,0.1,0.8,-7156147.376564028,1.468626618385315,0.16689959168434143,4.471880986352704,27.966126066188977,0.00017455562847930165,8.65326707927684,0.00012925837779045104,1,0.4055843939659306,129.25837779045105
Gemma4-E4B,native_thinking,0,30,16,0.2,0.2,0.1,0.8333333333333334,500317022.5811225,0.9386731386184692,0.15406474471092224,4.984579203941769,542.573824897662,1.4064256277104176e-06,13.474459087975593,7.464651072025298e-05,1,7.154492101053053e-05,74.64651072025299
Gemma4-E4B,non_thinking,1,30,16,0.13333333333333333,0.13333333333333333,0.1,0.5666666666666667,8130518.439457091,1.620932936668396,0.14193089306354523,4.567784185395833,31.75283387617094,0.00010625697886067303,9.149650068922238,0.00010485838884115218,1,0.17228990300794414,104.85838884115219
Gemma4-E4B,native_thinking,1,30,16,0.43333333333333335,0.4333333333333333,0.2,0.7333333333333333,108108544.27537844,0.7479482293128967,0.26973894238471985,4.817854891430139,38.04448857500141,6.779206567023537e-05,9.599065395378696,7.381965512037276e-05,1,0.008250635531874922,73.81965512037277
Gemma4-E4B,non_thinking,2,30,16,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.7,66709871.26392873,1.3257616758346558,0.16147972643375397,4.319897302877781,15.693100979432781,0.0006675863858003456,7.311841759134161,8.419745802879333e-05,1,0.7913928118560924,84.19745802879333
Gemma4-E4B,native_thinking,2,30,16,0.43333333333333335,0.4333333333333333,0.16666666666666666,0.8,-6208743185.801073,0.8378314971923828,0.3771667778491974,4.873973661647889,825.6930657856713,2.559543950710383e-06,12.875681459596132,7.341722179949283e-05,1,0.003757326775665117,73.41722179949284
Gemma4-E4B,non_thinking,3,30,16,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.7,29065380.43939985,1.27085280418396,0.17593815922737122,4.567769265787826,21.937417881915007,0.00021582854449788807,8.441026240959413,8.16255584359169e-05,1,0.5109434279201511,81.6255584359169
Gemma4-E4B,native_thinking,3,30,16,0.5333333333333333,0.5333333333333333,0.2,0.7,-297260676.9652395,0.85499107837677,0.41924601793289185,5.2092537085055515,986.303995973983,4.1484499206365297e-07,14.695360899588737,7.165327450633048e-05,1,0.002855475784167819,71.65327450633049
Gemma4-E4B,non_thinking,4,30,16,0.1,0.1,0.1,0.6333333333333333,-3176680.9947637804,1.3702224493026733,0.1350724846124649,4.928524458790778,62.19409152399533,2.092501142941381e-05,10.774565395380339,8.468252316117286e-05,1,0.1545359549753194,84.68252316117287
Gemma4-E4B,native_thinking,4,30,16,0.43333333333333335,0.4333333333333333,0.3,0.4,6297205270.971483,0.923015296459198,0.5211178064346313,5.231774147769199,677.2006451869125,1.1797152700814889e-07,15.952822538138552,6.783401837944985e-05,1,0.00806071724725444,67.83401837944984
Gemma4-E4B,non_thinking,5,30,16,0.23333333333333334,0.2333333333333333,0.26666666666666666,0.5333333333333333,-120507497.25085506,1.5013035535812378,0.7903110384941101,5.008132610388624,809.3240438722032,3.3408662218394556e-07,14.911865529738428,5.72379777431488e-05,1,0.1118056579947788,57.237977743148804
Gemma4-E4B,native_thinking,5,30,16,0.36666666666666664,0.3666666666666667,0.2,0.7,50329430.255070284,0.83419269323349,0.5184973478317261,5.251762934246132,176.49924637448336,1.0035192349390748e-06,13.811997501042125,6.587327179312705e-05,1,0.008677302277901037,65.87327179312706
Gemma4-E4B,non_thinking,6,30,16,0.2,0.19999999999999998,0.26666666666666666,0.43333333333333335,-21781775.236974727,1.4707109928131104,0.7798717617988586,4.701833852264105,501.6201820019524,1.2810231917639655e-06,13.567851430792041,6.277511569857597e-05,1,0.07127864494076963,62.77511569857597
Gemma4-E4B,native_thinking,6,30,16,0.5,0.4999999999999999,0.23333333333333334,0.5666666666666667,-48310217.61782953,0.9784467816352844,0.5856133103370667,5.2386877739616615,380.40943377702587,8.313901174296293e-07,14.00016669686002,7.075195430219173e-05,1,0.019873808443827766,70.75195430219173
Gemma4-E4B,non_thinking,7,30,16,0.23333333333333334,0.23333333333333334,0.2,0.4,-85346816.9223845,1.345511794090271,0.7420879006385803,4.862808155409427,533.9550226832608,3.1762695145175155e-07,14.96238825143908,7.805722996592521e-05,1,0.1675177776765465,78.05722996592522
Gemma4-E4B,native_thinking,7,30,16,0.4,0.4,0.3,0.6666666666666666,91102423.76546673,1.2607382535934448,0.7488604187965393,4.642101794740173,845.8965235800756,2.727728274025157e-06,12.812041429239859,7.396718254685402e-05,1,0.00991380999369352,73.96718254685402
Gemma4-E4B,non_thinking,8,30,16,0.23333333333333334,0.2333333333333333,0.23333333333333334,0.4666666666666667,205340439.87436977,1.3509235382080078,0.7786557078361511,4.545488518250035,1069.7801978933462,5.884472197076708e-07,14.34577860040632,7.974265453219413e-05,1,0.12663964782046652,79.74265453219414
Gemma4-E4B,native_thinking,8,30,16,0.36666666666666664,0.36666666666666664,0.3333333333333333,0.6,-224885151.08162504,1.3436980247497559,0.7671626210212708,4.7910935041129985,643.9641773491919,6.445808436468464e-07,14.254665586208892,7.351838925480842e-05,1,0.012026234728119709,73.51838925480843
Gemma4-E4B,non_thinking,9,30,16,0.16666666666666666,0.16666666666666666,0.26666666666666666,0.6,42679107.35425536,1.3721916675567627,0.7666282653808594,4.6620998845353245,621.4614917498503,1.3806276911234857e-06,13.49297231356724,7.940570557117462e-05,1,0.34229728427128553,79.40570557117462
Gemma4-E4B,native_thinking,9,30,16,0.36666666666666664,0.36666666666666664,0.3,0.6666666666666666,476624994.0075229,1.1560031175613403,0.6742098927497864,5.0540042951043205,572.465067686116,3.053022505839816e-07,15.001963565519741,7.00133540034294e-05,1,0.01095222499858562,70.01335400342941
Gemma4-E4B,non_thinking,10,30,16,0.26666666666666666,0.26666666666666666,0.2,0.6333333333333333,105126239.58311014,1.3615144491195679,0.8198683261871338,4.905274970197333,3464.6312672825024,7.575419912255395e-08,16.39577196013223,7.138914543390273e-05,1,0.08776981898182583,71.38914543390274
Gemma4-E4B,native_thinking,10,30,16,0.5333333333333333,0.5333333333333333,0.5666666666666667,0.36666666666666664,-32698469.160444327,1.1694507598876953,0.621917188167572,5.1229735424107785,936.0979408544373,8.746795470593304e-08,16.25199334259433,5.986763912439346e-05,1,0.009783845103123445,59.86763912439346
Gemma4-E4B,non_thinking,11,30,16,0.3333333333333333,0.33333333333333337,0.23333333333333334,0.5,10874593.56290752,1.8181897401809692,0.7076391577720642,4.92645865694653,755.4003584295208,1.4688794903919228e-07,15.73359579226308,6.52276516854763e-05,1,0.07618029493870393,65.2276516854763
Gemma4-E4B,native_thinking,11,30,16,0.5333333333333333,0.5333333333333332,0.3,0.6666666666666666,25414263.29889143,1.2624013423919678,0.7075328230857849,4.880481220035263,658.198121466014,1.0935531061154457e-07,16.028663525739564,6.788564842939376e-05,1,0.07936566471158044,67.88564842939377
Gemma4-E4B,non_thinking,12,30,16,0.36666666666666664,0.36666666666666664,0.2,0.6333333333333333,-206417.10084412992,1.7815030813217163,0.671935498714447,5.384788254555261,366.5185852784857,2.1085801878298125e-07,15.372080826730105,6.143378865718842e-05,1,0.20908523502786852,61.433788657188416
Gemma4-E4B,native_thinking,12,30,16,0.4666666666666667,0.4666666666666666,0.4666666666666667,0.4666666666666667,66018300.65803711,1.3849804401397705,0.6757022738456726,5.542361099939863,1289.1910321007122,7.691389844856633e-09,18.683164335707712,6.578507414460182e-05,1,0.022676224584797428,65.78507414460182
Gemma4-E4B,non_thinking,13,30,16,0.5,0.5,0.23333333333333334,0.6,-60857.67549987137,1.7659825086593628,0.6711483001708984,4.963993735389873,268.3779674802957,1.20267878716374e-06,13.630959166464159,5.877069145441055e-05,1,0.2810368446768411,58.77069145441055
Gemma4-E4B,native_thinking,13,30,16,0.4666666666666667,0.4666666666666666,0.36666666666666664,0.43333333333333335,-733945034.1611036,1.4416757822036743,0.6923536062240601,5.755758468888096,494.8781684318203,3.4006037164511734e-08,17.1967277644307,5.890144303441047e-05,1,0.04302561836225118,58.90144303441048
Gemma4-E4B,non_thinking,14,30,16,0.4,0.39999999999999997,0.3,0.43333333333333335,1146184.1519677073,1.7649714946746826,0.662990391254425,5.471340494744588,179.30710011992147,5.185142289070541e-07,14.472298367209675,5.866513705253601e-05,1,0.22031526367263352,58.66513705253601
Gemma4-E4B,native_thinking,14,30,16,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.4666666666666667,-181308264.12600154,1.495322823524475,0.6100610494613647,5.616976697167386,883.6814641431067,3.857190642865466e-08,17.070741638189045,5.955317585170269e-05,1,0.012744713270830136,59.55317585170269
