model_label,family,conditions,mean_effect,median_effect,min_effect,max_effect,ci95_excludes_zero,all_held_out_seeds_positive,holm_p_le_0_05
Qwen3-8B,prompt_patching,126,0.7060670194003527,0.7444444444444444,0.2133333333333333,0.9333333333333332,126,126,0
Qwen3-8B,answer_patching,149,0.7580462341536167,0.7777777777777777,0.2166666666666666,0.8666666666666666,149,149,0
Qwen3-8B,steering,45,0.6791604938271605,0.7,0.2733333333333333,0.8333333333333334,45,45,0
Gemma4-E4B,prompt_patching,102,0.6962091503267974,0.7,0.5666666666666667,0.7999999999999999,102,102,0
Gemma4-E4B,answer_patching,177,0.7010295040803516,0.7333333333333334,0.19,0.7999999999999999,177,177,0
Gemma4-E4B,steering,54,0.5861728395061728,0.6666666666666666,0.1777777777777777,0.7222222222222221,54,53,0
