model_label,scanned_supplement_seed_count,scanned_supplement_seeds,patch_initial_missing,patch_added_eligible_pair_seeds,patch_added_pair_instances,patch_final_missing_groups,correct_initial_seed_clusters,correct_initial_missing_seed_clusters,correct_added_eligible_seeds,correct_final_seed_clusters,correct_target_seed_clusters
Qwen3-8B,10,1274;1275;1276;1277;1278;1279;1280;1281;1282;1283,k=3 increase: 1; k=3 decrease: 1; k=5 increase: 3; k=5 decrease: 3,1274;1275;1276;1278,8,0,0,10,1274;1275;1276;1277;1278;1279;1280;1281;1282;1283,10,10
Gemma4-E4B,22,1274;1275;1276;1277;1278;1279;1280;1281;1282;1283;1284;1285;1286;1287;1288;1289;1290;1291;1292;1293;1294;1295,k=5 increase: 4; k=5 decrease: 4,1275;1277;1281;1295,8,0,0,10,1274;1275;1276;1277;1278;1279;1280;1281;1282;1283,10,10
