model_label,stage_root,design_hash,status,implementation_commit,implementation_dirty_paths,implementation_sha256,definition_sha256,prompt_combined_rows,answer_combined_rows,ablation_all_rows,ablation_all_stimuli,ablation_correct_rows,ablation_correct_stimuli,top_n_selection_status,worker_count,workers_complete
Qwen3-8B,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260804_v4_4_correct_interventions_4x4_a10080_utf8safe_cda0d09/Qwen3-8B/numeric/correct_interventions/confirmation_4c3cdeb48cbf,4c3cdeb48cbf,complete,cda0d092db424d4bcb712a1402b899df1bee793b,0,8a271975968382b68d8d3c0621824818015060a580841d66bbd9b3690647bb1c,6f7f7760f53a2bab08e5b840aa765dbf70d853a75952eabb5282d108b4315f5e,2848,4305,6400,50,5120,40,unfrozen_discovery_only,4,4
Gemma4-E4B,/lambda/nfs/CoT-Non-thinking-v4/runs/run_20260804_v4_4_correct_interventions_4x4_a10080_utf8safe_cda0d09/Gemma4-E4B/numeric/correct_interventions/confirmation_d419daff86de,d419daff86de,complete,cda0d092db424d4bcb712a1402b899df1bee793b,0,8a271975968382b68d8d3c0621824818015060a580841d66bbd9b3690647bb1c,6f7f7760f53a2bab08e5b840aa765dbf70d853a75952eabb5282d108b4315f5e,2176,5055,6400,50,4608,36,unfrozen_discovery_only,4,4
