model_label,available,export_name,archive_name,archive_size_bytes,archive_sha256,archive_sha256_expected,archive_sha256_verified,source_copy_manifests_identical,manifest_nonempty_lines
Qwen3-8B,True,Realistic_CoT_NiaH_Count_20260803_v4_4_causal_v2_qwen,Realistic_CoT_NiaH_Count_20260803_v4_4_causal_v2_qwen.tar.zst,59279972,73018c7e9539932edae1d65c45628a262d94cd1e7d3e78ad4b587535678bdbb3,73018c7e9539932edae1d65c45628a262d94cd1e7d3e78ad4b587535678bdbb3,True,True,938
Gemma4-E4B,True,Realistic_CoT_NiaH_Count_20260803_v4_4_causal_v2_gemma,Realistic_CoT_NiaH_Count_20260803_v4_4_causal_v2_gemma.tar.zst,44894566,1b6ba0f9b84dcdebb244af6cca93bcb4261696e24f0c5510181769a4225570e0,1b6ba0f9b84dcdebb244af6cca93bcb4261696e24f0c5510181769a4225570e0,True,True,937
