model_label,family,site,protocol,layer,k,held_out_seeds,evidence_scope,mean_control_adjusted_transport,ci95_low,ci95_high,exact_sign_flip_p,positive_seed_fraction,holm_p
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,5,1,5,held_out_only,0.8666666666666666,0.5333333333333334,1.2333333333333332,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,5,3,5,held_out_only,0.7444444444444444,0.6888888888888888,0.8,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,5,5,5,held_out_only,0.7133333333333333,0.6399999999999999,0.7933333333333333,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,6,1,5,held_out_only,0.7666666666666666,0.3999999999999999,1.1666666666666663,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,6,3,5,held_out_only,0.7444444444444444,0.6888888888888888,0.8,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,6,5,5,held_out_only,0.7133333333333333,0.6399999999999999,0.7933333333333333,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,7,1,5,held_out_only,0.7999999999999999,0.5,1.1666666666666663,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,7,3,5,held_out_only,0.7888888888888889,0.7777777777777777,0.8111111111111111,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,7,5,5,held_out_only,0.7266666666666667,0.6533333333333333,0.8,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,8,1,5,held_out_only,0.9333333333333332,0.5999999999999999,1.3333333333333337,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,8,3,5,held_out_only,0.7888888888888889,0.7777777777777777,0.8111111111111111,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,8,5,5,held_out_only,0.72,0.6533333333333333,0.7866666666666667,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,9,1,5,held_out_only,0.8666666666666666,0.5333333333333334,1.2,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,9,3,5,held_out_only,0.7888888888888889,0.7777777777777777,0.8111111111111111,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,9,5,5,held_out_only,0.7333333333333333,0.6799999999999999,0.7866666666666667,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,10,1,5,held_out_only,0.7333333333333333,0.3999999999999999,1.1333333333333333,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,10,3,5,held_out_only,0.7888888888888889,0.7777777777777777,0.8111111111111111,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,10,5,5,held_out_only,0.7266666666666667,0.6533333333333333,0.8,0.0625,1.0,1.0
