model_label,gold_count,examples,format_valid_rate,accuracy,mean_prediction,mean_signed_error,mean_absolute_error
Qwen3-8B,0,30,1.0,1.0,0.0,0.0,0.0
Qwen3-8B,1,30,1.0,0.9,1.1,0.1,0.1
Qwen3-8B,2,30,1.0,1.0,2.0,0.0,0.0
Qwen3-8B,3,30,1.0,0.8,3.066666666666667,0.06666666666666667,0.2
Qwen3-8B,4,30,1.0,0.9333333333333333,4.066666666666666,0.06666666666666667,0.06666666666666667
Qwen3-8B,5,30,1.0,0.5666666666666667,4.566666666666666,-0.43333333333333335,0.43333333333333335
Qwen3-8B,6,30,1.0,0.3333333333333333,5.333333333333333,-0.6666666666666666,0.6666666666666666
Qwen3-8B,7,30,1.0,0.0,5.766666666666667,-1.2333333333333334,1.4333333333333333
Qwen3-8B,8,30,1.0,0.23333333333333334,6.266666666666667,-1.7333333333333334,1.7333333333333334
Qwen3-8B,9,30,1.0,0.0,6.8,-2.2,2.2666666666666666
Qwen3-8B,10,30,1.0,0.03333333333333333,7.133333333333334,-2.8666666666666667,2.8666666666666667
Gemma4-E4B,0,30,1.0,1.0,0.0,0.0,0.0
Gemma4-E4B,1,30,1.0,1.0,1.0,0.0,0.0
Gemma4-E4B,2,30,1.0,0.9666666666666667,2.033333333333333,0.03333333333333333,0.03333333333333333
Gemma4-E4B,3,30,1.0,0.8333333333333334,2.9,-0.1,0.16666666666666666
Gemma4-E4B,4,30,1.0,0.4666666666666667,3.466666666666667,-0.5333333333333333,0.5333333333333333
Gemma4-E4B,5,30,1.0,0.2,4.033333333333333,-0.9666666666666667,0.9666666666666667
Gemma4-E4B,6,30,1.0,0.1,4.466666666666667,-1.5333333333333334,1.5333333333333334
Gemma4-E4B,7,30,1.0,0.06666666666666667,5.133333333333334,-1.8666666666666667,1.8666666666666667
Gemma4-E4B,8,30,1.0,0.03333333333333333,5.766666666666667,-2.2333333333333334,2.2333333333333334
Gemma4-E4B,9,30,1.0,0.0,6.433333333333334,-2.566666666666667,2.566666666666667
Gemma4-E4B,10,30,1.0,0.0,7.066666666666666,-2.933333333333333,2.933333333333333
