model_label,endpoint,selector,non_thinking_layer,native_thinking_layer,non_thinking_confirmation,native_thinking_confirmation,native_minus_non
Gemma4-E4B,final_count,fisher_trace,37,34,135.4826767079827,251.2223495112968,115.73967280331411
Gemma4-E4B,final_count,isotropic_snr,41,36,9.468409628652193,9.914002342521226,0.44559271386903276
Gemma4-E4B,final_count,mahalanobis_silhouette,41,39,0.1518546487137125,0.2665768704876027,0.11472222177389022
Gemma4-E4B,final_count,ordinal_rsa,16,7,0.929593259311616,0.9572339559236617,0.027640696612045712
Gemma4-E4B,running_index,fisher_trace,13,16,43.226359734983966,16.301395950182865,-26.9249637848011
Gemma4-E4B,running_index,isotropic_snr,22,15,-2.1046406208720376,-0.8390905907369627,1.265550030135075
Gemma4-E4B,running_index,mahalanobis_silhouette,22,16,0.08993530815917752,0.09035030591405735,0.0004149977548798256
Gemma4-E4B,running_index,ordinal_rsa,11,31,0.710798829503014,0.8789741522630506,0.16817532276003666
Qwen3-8B,final_count,fisher_trace,35,29,60.627163085635544,348.56297378420027,287.93581069856475
Qwen3-8B,final_count,isotropic_snr,35,29,8.30680988787016,17.779379570877296,9.472569683007135
Qwen3-8B,final_count,mahalanobis_silhouette,35,35,0.16730533142541454,0.8247232497675189,0.6574179183421043
Qwen3-8B,final_count,ordinal_rsa,11,35,0.9775482028313096,0.8850351242912341,-0.09251307854007551
Qwen3-8B,running_index,fisher_trace,19,23,83.73644626466331,4.2699582252357855,-79.46648803942753
Qwen3-8B,running_index,isotropic_snr,19,23,-0.3451818809345189,-3.0211582470021954,-2.6759763660676765
Qwen3-8B,running_index,mahalanobis_silhouette,20,24,0.13200766191873473,-0.013709497875383687,-0.14571715979411842
Qwen3-8B,running_index,ordinal_rsa,0,21,0.6957463055648879,0.8666523959420181,0.17090609037713023
