model_label,endpoint,mode,selector,discovery_metric,confirmation_metric,selected_layer,discovery_value,confirmation_value,pca_components,discovery_rows,confirmation_rows
Gemma4-E4B,final_count,native_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,34,250.58830702735744,251.2223495112968,4,200,100
Gemma4-E4B,final_count,non_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,37,133.58652616690566,135.4826767079827,4,200,100
Gemma4-E4B,final_count,native_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,36,12.275471779089953,9.914002342521226,4,200,100
Gemma4-E4B,final_count,non_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,41,6.372643547530318,9.468409628652193,4,200,100
Gemma4-E4B,final_count,native_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,39,0.33781557316523475,0.2665768704876027,4,200,100
Gemma4-E4B,final_count,non_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,41,0.021535878198011327,0.1518546487137125,4,200,100
Gemma4-E4B,final_count,native_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,7,0.864787481471808,0.9572339559236617,4,200,100
Gemma4-E4B,final_count,non_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,16,0.9106377358036927,0.929593259311616,4,200,100
Gemma4-E4B,running_index,native_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,16,19.202632287087397,16.301395950182865,4,1045,519
Gemma4-E4B,running_index,non_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,13,43.63695481110784,43.226359734983966,4,1100,550
Gemma4-E4B,running_index,native_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,15,0.09851387309431474,-0.8390905907369627,4,1045,519
Gemma4-E4B,running_index,non_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,22,-0.1360222520128672,-2.1046406208720376,4,1100,550
Gemma4-E4B,running_index,native_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,16,0.10894779032089022,0.09035030591405735,4,1045,519
Gemma4-E4B,running_index,non_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,22,0.13782687737491384,0.08993530815917752,4,1100,550
Gemma4-E4B,running_index,native_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,31,0.8180846948106841,0.8789741522630506,4,1045,519
Gemma4-E4B,running_index,non_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,11,0.6561301938905633,0.710798829503014,4,1100,550
Qwen3-8B,final_count,native_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,29,362.2022496766092,348.56297378420027,4,200,100
Qwen3-8B,final_count,non_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,35,65.53606788126262,60.627163085635544,4,200,100
Qwen3-8B,final_count,native_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,29,17.909555243287492,17.779379570877296,4,200,100
Qwen3-8B,final_count,non_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,35,7.486578075342877,8.30680988787016,4,200,100
Qwen3-8B,final_count,native_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,35,0.7243594892274903,0.8247232497675189,4,200,100
Qwen3-8B,final_count,non_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,35,0.07455022513304402,0.16730533142541454,4,200,100
Qwen3-8B,final_count,native_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,35,0.8716210609233641,0.8850351242912341,4,200,100
Qwen3-8B,final_count,non_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,11,0.9623091874461626,0.9775482028313096,4,200,100
Qwen3-8B,running_index,native_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,23,4.326462747233039,4.2699582252357855,4,1107,544
Qwen3-8B,running_index,non_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,19,91.51965434698056,83.73644626466331,4,1100,550
Qwen3-8B,running_index,native_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,23,-3.0202797759096516,-3.0211582470021954,4,1107,544
