model_label,mode,grammar_class,layer,states,trajectories,confirmation_min_per_class,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy,confirmation_pca3_class_balanced_silhouette,confirmation_pca3_ordinal_rsa
Qwen3-8B,non_thinking,adjacent_rank_after_city,13,750,148,4,0.5561499710715729,0.4734909151902061,0.5148204431308895,494,5,16,16,0.630296053761527,0.4986889167595689,0.5690296048128062,-2.4486513804715417,3.307279109954834,5.812138915061951,256,10,4,47,16,0.1,0.07396879088626859,0.7456993717312355
Qwen3-8B,native_thinking,adjacent_rank_after_city,6,750,148,4,0.9767944840205901,0.9302099395328198,0.9535022117767049,494,5,16,16,0.9570997629821159,0.903289850068942,0.5719068161523587,-2.426747273740887,6.840304374694824,11.960522556304932,256,10,4,47,16,0.1,0.014175493354603275,0.6391994346645825
Gemma4-E4B,non_thinking,same_unit_rank_before_city,25,508,111,2,0.353385343336407,0.3901029763178969,0.3717441598271519,296,5,16,16,0.3415344565344565,0.31895577395577396,0.3300216751801181,-4.8145753557064115,1.8761100769042969,5.684808659553528,212,10,2,44,16,0.1,-0.12425153731329323,0.43359261432389634
Gemma4-E4B,native_thinking,same_unit_rank_before_city,16,508,111,2,0.7218550534340008,0.7101976951792193,0.71602637430661,296,5,16,16,0.6584532584532585,0.6235614835614836,0.3297746820195344,-4.817826897505621,4.49744176864624,13.63792314529419,212,10,2,44,16,0.1,0.06281020039789872,0.4897398606948709
