model_label,endpoint,selector,non_thinking_layer,native_thinking_layer,non_thinking_confirmation,native_thinking_confirmation,native_minus_non
Gemma4-E4B,final_count,fisher_trace,41,40,671.0537912234743,3039.7819765263525,2368.728185302878
Gemma4-E4B,final_count,isotropic_snr,40,39,-3.360488594884022,-3.6847706322515723,-0.3242820373675501
Gemma4-E4B,final_count,mahalanobis_silhouette,38,41,0.1013355789011809,0.2239376537347892,0.12260207483360828
Gemma4-E4B,final_count,ordinal_rsa,8,5,0.9890707100936803,0.9220003932543311,-0.06707031683934916
Gemma4-E4B,running_index,fisher_trace,10,0,243.10350475142673,10.409238705859114,-232.69426604556762
Gemma4-E4B,running_index,isotropic_snr,32,22,-7.483748657561657,-4.815685442953337,2.6680632146083196
Gemma4-E4B,running_index,mahalanobis_silhouette,22,16,0.1243963558499176,0.18014081265561058,0.05574445680569298
Gemma4-E4B,running_index,ordinal_rsa,11,1,0.727782871999572,0.7688775944324208,0.04109472243284873
Qwen3-8B,final_count,fisher_trace,33,35,411.268196277179,1757.1397452223262,1345.8715489451472
Qwen3-8B,final_count,isotropic_snr,32,34,-4.275264316417954,-0.403940890849932,3.871323425568022
Qwen3-8B,final_count,mahalanobis_silhouette,33,34,0.1494913311254986,0.7205112434931709,0.5710199123676722
Qwen3-8B,final_count,ordinal_rsa,7,12,0.9890707100936803,0.929926279752725,-0.05914443034095529
Qwen3-8B,running_index,fisher_trace,15,19,363.0686521736389,47.82917468544858,-315.23947748819035
Qwen3-8B,running_index,isotropic_snr,28,19,-6.801505240447922,-7.219602925807491,-0.4180976853595695
Qwen3-8B,running_index,mahalanobis_silhouette,7,18,0.18189650051269243,0.11565659308721274,-0.0662399074254797
Qwen3-8B,running_index,ordinal_rsa,3,12,0.7003419876521919,0.7420361468790365,0.04169415922684461
