model_label,endpoint,mode,selector,discovery_metric,confirmation_metric,selected_layer,discovery_value,confirmation_value,pca_components,discovery_rows,confirmation_rows
Gemma4-E4B,final_count,native_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,40,3319.6896057548156,3039.7819765263525,32,200,100
Gemma4-E4B,final_count,non_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,41,821.511846237602,671.0537912234743,32,200,100
Gemma4-E4B,final_count,native_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,39,-3.0782770361634464,-3.6847706322515723,32,200,100
Gemma4-E4B,final_count,non_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,40,-5.63266862377813,-3.360488594884022,32,200,100
Gemma4-E4B,final_count,native_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,41,0.19432673040049883,0.2239376537347892,32,200,100
Gemma4-E4B,final_count,non_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,38,-0.057183532318908735,0.1013355789011809,32,200,100
Gemma4-E4B,final_count,native_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,5,0.850374356780611,0.9220003932543311,32,200,100
Gemma4-E4B,final_count,non_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,8,0.9733255036380477,0.9890707100936803,32,200,100
Gemma4-E4B,running_index,native_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,0,686.9682959328933,10.409238705859114,32,1045,519
Gemma4-E4B,running_index,non_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,10,265.6668283523242,243.10350475142673,32,1100,550
Gemma4-E4B,running_index,native_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,22,-3.0005477154411553,-4.815685442953337,32,1045,519
Gemma4-E4B,running_index,non_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,32,-5.045713635300965,-7.483748657561657,32,1100,550
Gemma4-E4B,running_index,native_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,16,0.23611797106671323,0.18014081265561058,32,1045,519
Gemma4-E4B,running_index,non_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,22,0.12522558062510564,0.1243963558499176,32,1100,550
Gemma4-E4B,running_index,native_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,1,0.7415033141732623,0.7688775944324208,32,1045,519
Gemma4-E4B,running_index,non_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,11,0.6811600102443144,0.727782871999572,32,1100,550
Qwen3-8B,final_count,native_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,35,2012.6438236318747,1757.1397452223262,32,200,100
Qwen3-8B,final_count,non_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,33,491.9062349713383,411.268196277179,32,200,100
Qwen3-8B,final_count,native_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,34,-1.880259491412314,-0.403940890849932,32,200,100
Qwen3-8B,final_count,non_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,32,-5.649807168594509,-4.275264316417954,32,200,100
Qwen3-8B,final_count,native_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,34,0.5692098834523387,0.7205112434931709,32,200,100
Qwen3-8B,final_count,non_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,33,-0.09384183941641129,0.1494913311254986,32,200,100
Qwen3-8B,final_count,native_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,12,0.8980096006768401,0.929926279752725,32,200,100
Qwen3-8B,final_count,non_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,7,0.9717802887913021,0.9890707100936803,32,200,100
Qwen3-8B,running_index,native_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,19,50.39798293266408,47.82917468544858,32,1107,544
Qwen3-8B,running_index,non_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,15,432.9070587122043,363.0686521736389,32,1100,550
Qwen3-8B,running_index,native_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,19,-6.204824203670637,-7.219602925807491,32,1107,544
Qwen3-8B,running_index,non_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,28,-4.777257221787245,-6.801505240447922,32,1100,550
Qwen3-8B,running_index,native_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,18,0.09783761932524496,0.11565659308721274,32,1107,544
Qwen3-8B,running_index,non_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,7,0.17564351820266103,0.18189650051269243,32,1100,550
Qwen3-8B,running_index,native_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,12,0.7492693508599239,0.7420361468790365,32,1107,544
Qwen3-8B,running_index,non_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,3,0.7030327928163526,0.7003419876521919,32,1100,550
