model_label,route,route_relation,seeds,source_donor_log_odds_gain_mean,source_donor_log_odds_gain_ci95_low,source_donor_log_odds_gain_ci95_high,source_donor_log_odds_gain_p,source_donor_log_odds_gain_positive_seeds,writer_log_odds_mediation_specificity_mean,writer_log_odds_mediation_specificity_ci95_low,writer_log_odds_mediation_specificity_ci95_high,writer_log_odds_mediation_specificity_p,writer_log_odds_mediation_specificity_positive_seeds,source_directional_transport_mean,source_directional_transport_ci95_low,source_directional_transport_ci95_high,source_directional_transport_p,source_directional_transport_positive_seeds,writer_transport_mediation_specificity_mean,writer_transport_mediation_specificity_ci95_low,writer_transport_mediation_specificity_ci95_high,writer_transport_mediation_specificity_p,writer_transport_mediation_specificity_positive_seeds,behavioral_iut_p,transport_iut_p,mechanistic_stage,behavioral_iut_holm_p,transport_iut_holm_p,behavioral_route_supported,transport_route_supported,route_supported
Gemma4-E4B,answer_query_aggregate,native,20,12.173437430461247,11.32393223389983,12.963541571547589,9.5367431640625e-07,20,-0.05937501390775045,-0.10312500208616258,-0.0135417003929615,0.9899044036865234,4,0.5835337675303826,0.5147361067986015,0.6538250353269762,9.5367431640625e-07,20,-0.0028062714439991815,-0.005832389718264971,-4.7928774043948274e-05,0.9580230712890625,5,0.9899044036865234,0.9580230712890625,answer_query_read_aggregate_path,1.0,1.0,False,False,False
Gemma4-E4B,slot_endpoint_state,cross,20,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,1.0,1.0,prompt_running_counter_path,1.0,1.0,False,False,False
Qwen3-8B,answer_query_aggregate,cross,20,0.6775542656580608,0.4563581856091817,0.8978105241060256,1.430511474609375e-05,18,-0.017596276601155602,-0.07937767724196118,0.042034305731455376,0.7091636657714844,11,0.020498001882691647,0.005477408277867196,0.038309560645941584,9.5367431640625e-07,20,0.001978816593562356,-0.0004503768026945213,0.004709593279921598,0.07362556457519531,11,0.7091636657714844,0.07362556457519531,answer_query_read_aggregate_path,1.0,0.29450225830078125,False,False,False
Qwen3-8B,slot_endpoint_state,native,20,-0.06203889846801759,-0.10645770450433097,-0.017019388675689737,0.9926319122314453,3,0.052465152740478506,0.020962750315666197,0.08383160014947252,0.0025110244750976562,15,-0.0013420581737520559,-0.0032798778825047902,-2.404778703749492e-05,0.9450464248657227,8,-0.00015780834692144893,-0.0008061932279832539,0.0003578751824437785,0.7395668029785156,9,0.9926319122314453,0.9450464248657227,prompt_running_counter_path,1.0,1.0,False,False,False
