model_label,location,seeds,samples_per_seed,decoder,ordered_slope_mean,ordered_slope_positive_seeds,ordered_slope_p,mse_improvement_over_position_mean,mse_improvement_over_position_positive_seeds,mse_improvement_over_position_p,position_adjusted_iut_p,oof_mae,oof_rounded_accuracy,position_only_mae,position_adjusted_iut_holm_p,geometry_supported_beyond_position
Gemma4-E4B,answer_query_read_aggregate_source_bank_z,20,3,leave-one-seed-out fixed linear kernel ridge,0.9930398183216356,20,9.5367431640625e-07,0.6214221307715281,20,9.5367431640625e-07,9.5367431640625e-07,0.15696195640811292,0.9833333333333333,0.6667459071003857,3.814697265625e-06,True
Gemma4-E4B,prompt_running_counter_source_bank_z,20,3,leave-one-seed-out fixed linear kernel ridge,0.8057494651427447,20,9.5367431640625e-07,0.2142012056133999,18,0.000713348388671875,0.000713348388671875,0.26838163248029306,0.7833333333333333,0.4701765876742857,0.00142669677734375,True
Qwen3-8B,answer_query_read_aggregate_source_bank_z,20,3,leave-one-seed-out fixed linear kernel ridge,0.9782827046580562,20,9.5367431640625e-07,0.5963588989513486,20,9.5367431640625e-07,9.5367431640625e-07,0.18568841500444805,0.9666666666666667,0.6666666666666666,3.814697265625e-06,True
Qwen3-8B,prompt_running_counter_source_bank_z,20,3,leave-one-seed-out fixed linear kernel ridge,0.6706266990326558,20,9.5367431640625e-07,0.031099098903955097,10,0.3768281936645508,0.3768281936645508,0.4077116653058967,0.6833333333333333,0.4646952566054208,0.3768281936645508,False
