model_label,population,endpoint,seeds,mean_slope_per_unit_depth,bootstrap_95ci_low,bootstrap_95ci_high,exact_seed_signflip_p_two_sided
Gemma4-E4B,all,absolute_error_specificity,10,1.437030512530745,1.2303149489980572,1.611327527753772,0.001953125
Gemma4-E4B,all,accuracy_damage_specificity,10,0.14960077407727473,0.09660454844261265,0.19302739554019213,0.00390625
Gemma4-E4B,clean_correct,absolute_error_specificity,10,0.7411030047198031,0.4904684280063815,1.0185740183695629,0.001953125
Gemma4-E4B,clean_correct,accuracy_damage_specificity,10,0.2424918012807729,0.10116165603049039,0.3782363336213966,0.01171875
Qwen3-8B,all,absolute_error_specificity,10,0.986583478178155,0.6526577943808858,1.3660898816163818,0.001953125
Qwen3-8B,all,accuracy_damage_specificity,10,0.0852898193547271,0.04158559680390171,0.12905457406975032,0.01171875
Qwen3-8B,clean_correct,absolute_error_specificity,10,1.2033128388720264,0.986993280929774,1.408861908838561,0.001953125
Qwen3-8B,clean_correct,accuracy_damage_specificity,10,0.3310821853840765,0.24176395050198454,0.4147482294341972,0.001953125
