family,model,mode,target,candidate,term,estimate,bootstrap_ci_low,bootstrap_ci_high,bootstrap_sign_stability
Direct,Qwen3-32B,direct,signed_error,N_lnL_interaction,N,0.21207503081339604,0.10538655888123057,0.31224426896210333,1.0
Direct,Qwen3-32B,direct,signed_error,N_lnL_interaction,lnLk,-0.09465548951089589,-0.42410389533521997,0.1586161536151356,0.7575
Direct,Qwen3-32B,direct,signed_error,N_lnL_interaction,NlnLk,0.036676952993734,-0.008763685084960157,0.09665885299134695,0.92
Direct,Qwen3-4B,direct,signed_error,N_lnL_interaction,intercept,0.3643104630655912,-0.5671046625716153,1.0868552137831564,0.835
Direct,Qwen3-4B,direct,signed_error,N_lnL_interaction,N,-0.16934538929982718,-0.32941250643284664,0.0220550940464651,0.9625
Direct,Qwen3-4B,direct,signed_error,N_lnL_interaction,lnLk,0.1563873069605285,-0.16919455787020318,0.5470033457036847,0.795
Direct,Qwen3-4B,direct,signed_error,N_lnL_interaction,NlnLk,-0.0259584278271843,-0.09883293048586102,0.04759459270907935,0.74
Direct,Qwen3-8B,direct,signed_error,N_lnL_interaction,intercept,0.5889470944127558,0.1317053711265137,1.0061803586550868,0.995
Direct,Qwen3-8B,direct,signed_error,N_lnL_interaction,N,-0.01970021341051187,-0.10938111525674865,0.07231182218756724,0.65
Direct,Qwen3-8B,direct,signed_error,N_lnL_interaction,lnLk,-0.37026248453403304,-0.6216869830569073,-0.1303080547366146,1.0
Direct,Qwen3-8B,direct,signed_error,N_lnL_interaction,NlnLk,-0.00645662434208371,-0.04751928313842733,0.027636038702563575,0.6125
Enumerate,GLM-4-9B-0414,enumeration_bullet,absolute_error,N_L_interaction,intercept,-0.3752361421318468,-0.42974506074442914,-0.3205010891592805,1.0
Enumerate,GLM-4-9B-0414,enumeration_bullet,absolute_error,N_L_interaction,N,0.08685315681772955,0.06921583116066501,0.10822860751675244,1.0
Enumerate,GLM-4-9B-0414,enumeration_bullet,absolute_error,N_L_interaction,Lk,-0.08914377956180018,-0.10588730046777728,-0.06716351968716121,1.0
Enumerate,GLM-4-9B-0414,enumeration_bullet,absolute_error,N_L_interaction,NLk,0.025954783490670805,0.022495972291011346,0.02869067461248007,1.0
Enumerate,GLM-4-9B-0414,enumeration_index,absolute_error,N_L_interaction,intercept,-0.9295034017395857,-2.1305140321268614,0.2615549738898899,0.93
Enumerate,GLM-4-9B-0414,enumeration_index,absolute_error,N_L_interaction,N,-0.097094484454299,-0.23031997145576788,0.024820931743346108,0.9425
Enumerate,GLM-4-9B-0414,enumeration_index,absolute_error,N_L_interaction,Lk,0.16631778943647801,-0.10178063371845911,0.4362106615015473,0.86
Enumerate,GLM-4-9B-0414,enumeration_index,absolute_error,N_L_interaction,NLk,0.04047305285070766,0.013813907668830089,0.06986258407714857,1.0
Enumerate,Gemma4-12B,enumeration_bullet,absolute_error,N_L_interaction,intercept,-0.19385113058452655,-0.23793553329220482,-0.1473037822841614,1.0
Enumerate,Gemma4-12B,enumeration_bullet,absolute_error,N_L_interaction,N,0.04000182788755125,0.02800013348389356,0.05054095309905103,1.0
Enumerate,Gemma4-12B,enumeration_bullet,absolute_error,N_L_interaction,Lk,-0.004411943321055091,-0.009520965689829018,0.0005881994826598364,0.955
Enumerate,Gemma4-12B,enumeration_bullet,absolute_error,N_L_interaction,NLk,0.003330483271822504,0.0016101675042480238,0.005192096550944544,1.0
Enumerate,Gemma4-12B,enumeration_index,absolute_error,N_L_interaction,intercept,0.018038363992538886,-0.02203193511961249,0.061371186840170996,0.8
Enumerate,Gemma4-12B,enumeration_index,absolute_error,N_L_interaction,N,-0.011528895655279623,-0.020919820073331923,-0.003991458233370733,1.0
Enumerate,Gemma4-12B,enumeration_index,absolute_error,N_L_interaction,Lk,-0.002942959085382803,-0.012521573883335102,0.0056828963840295415,0.72
Enumerate,Gemma4-12B,enumeration_index,absolute_error,N_L_interaction,NLk,0.002613939326158875,0.0009019993722649335,0.004789740319711962,1.0
Enumerate,Gemma4-E4B,enumeration_bullet,absolute_error,N_L_interaction,intercept,0.0052005565436563875,-0.05917592275251082,0.08151800890132993,0.5775
Enumerate,Gemma4-E4B,enumeration_bullet,absolute_error,N_L_interaction,N,-0.01900923684492172,-0.03226613982618221,-0.004132006551533759,0.99
Enumerate,Gemma4-E4B,enumeration_bullet,absolute_error,N_L_interaction,Lk,-0.01960373321981187,-0.034291762720954834,-0.007662645915332691,1.0
Enumerate,Gemma4-E4B,enumeration_bullet,absolute_error,N_L_interaction,NLk,0.01088218422941912,0.008647539086128373,0.013239085887866306,1.0
Enumerate,Gemma4-E4B,enumeration_index,absolute_error,N_L_interaction,intercept,-0.10549746801497528,-0.46345024898955056,0.15181146241826965,0.68
Enumerate,Gemma4-E4B,enumeration_index,absolute_error,N_L_interaction,N,-0.020868751661032626,-0.04357658488072424,0.00555355349757864,0.94
Enumerate,Gemma4-E4B,enumeration_index,absolute_error,N_L_interaction,Lk,0.03000754003614885,-0.02913379174829028,0.11636971911862123,0.705
Enumerate,Gemma4-E4B,enumeration_index,absolute_error,N_L_interaction,NLk,0.004988329178496832,-0.0009731607182154909,0.010064538259971296,0.95
Enumerate,Qwen3-1.7B,enumeration_bullet,absolute_error,N_L_interaction,intercept,-2.7396220907387567,-3.9774466053760063,-1.5463193919685418,1.0
Enumerate,Qwen3-1.7B,enumeration_bullet,absolute_error,N_L_interaction,N,0.6818781797507887,0.4800054420691614,0.8905993656127065,1.0
Enumerate,Qwen3-1.7B,enumeration_bullet,absolute_error,N_L_interaction,Lk,0.01950512731429721,-0.07632406945210275,0.10551013639260512,0.64
Enumerate,Qwen3-1.7B,enumeration_bullet,absolute_error,N_L_interaction,NLk,-0.00358814603088331,-0.019565523135550853,0.012067796241692347,0.6625
Enumerate,Qwen3-1.7B,enumeration_index,absolute_error,N_L_interaction,intercept,-1.8611406793301284,-10.866947779265487,9.122047776575505,0.6675
Enumerate,Qwen3-1.7B,enumeration_index,absolute_error,N_L_interaction,N,0.20967260035309665,-0.04823515403990014,0.4835478333390865,0.9325
Enumerate,Qwen3-1.7B,enumeration_index,absolute_error,N_L_interaction,Lk,3.5341748750289708,2.8294375673002725,4.264846226496172,1.0
Enumerate,Qwen3-1.7B,enumeration_index,absolute_error,N_L_interaction,NLk,-0.12187025174665234,-0.15837487309676795,-0.0896355542956851,1.0
Enumerate,Qwen3-32B,enumeration_bullet,absolute_error,N_L_interaction,intercept,-0.1367190139989725,-0.22895704885149645,-0.050225840317186445,0.9975
Enumerate,Qwen3-32B,enumeration_bullet,absolute_error,N_L_interaction,N,0.030106558628891944,0.0136487551725009,0.04933440060320288,0.9975
Enumerate,Qwen3-32B,enumeration_bullet,absolute_error,N_L_interaction,Lk,-0.018887970936587836,-0.027915954151288818,-0.00841680586270872,1.0
Enumerate,Qwen3-32B,enumeration_bullet,absolute_error,N_L_interaction,NLk,0.0038746405855974407,0.0019693323760974755,0.00553742900400571,1.0
Enumerate,Qwen3-32B,enumeration_index,absolute_error,N_L_interaction,intercept,-0.08836965658562623,-0.2886473511865028,0.02249600450237548,0.695
Enumerate,Qwen3-32B,enumeration_index,absolute_error,N_L_interaction,N,0.0016042599400404767,-0.00468824295511693,0.010129431274434428,0.62
Enumerate,Qwen3-32B,enumeration_index,absolute_error,N_L_interaction,Lk,0.02026038979702029,-0.005689510450826814,0.06840297945670844,0.6475
Enumerate,Qwen3-32B,enumeration_index,absolute_error,N_L_interaction,NLk,-0.00016841819181034022,-0.0021450621181127883,0.001162007357247393,0.54
Enumerate,Qwen3-4B,enumeration_bullet,absolute_error,N_L_interaction,intercept,-0.08462042605546728,-0.2851380377859042,0.20391755057990718,0.7475
Enumerate,Qwen3-4B,enumeration_bullet,absolute_error,N_L_interaction,N,0.03902726385142588,0.017156903609740065,0.05827194480554571,1.0
Enumerate,Qwen3-4B,enumeration_bullet,absolute_error,N_L_interaction,Lk,-0.009393818773767946,-0.029721692631603062,0.009537826048439915,0.8275
Enumerate,Qwen3-4B,enumeration_bullet,absolute_error,N_L_interaction,NLk,0.002678456541372193,-0.0003142548572303645,0.005389541011537612,0.9625
Enumerate,Qwen3-4B,enumeration_index,absolute_error,N_L_interaction,intercept,0.33358662804051464,0.05843533787659544,0.7063820693851631,0.9975
Enumerate,Qwen3-4B,enumeration_index,absolute_error,N_L_interaction,N,-0.05039835321762315,-0.13374783930463285,0.004123691638805957,0.945
Enumerate,Qwen3-4B,enumeration_index,absolute_error,N_L_interaction,Lk,-0.04522975464217297,-0.15773397862574123,0.045730532696939746,0.805
Enumerate,Qwen3-4B,enumeration_index,absolute_error,N_L_interaction,NLk,0.013655853268731935,0.0020307544013178727,0.032060361476788805,0.995
Enumerate,Qwen3-8B,enumeration_bullet,absolute_error,N_L_interaction,intercept,-0.06851348247452674,-0.19793810977186224,0.047450467253754396,0.87
Enumerate,Qwen3-8B,enumeration_bullet,absolute_error,N_L_interaction,N,0.01701058611454847,-0.003365926853231405,0.03823293841341766,0.9575
Enumerate,Qwen3-8B,enumeration_bullet,absolute_error,N_L_interaction,Lk,-0.040706033592243875,-0.054859335334389026,-0.028376102294359516,1.0
Enumerate,Qwen3-8B,enumeration_bullet,absolute_error,N_L_interaction,NLk,0.008269206949339847,0.006173762357782525,0.010459016235730137,1.0
Enumerate,Qwen3-8B,enumeration_index,absolute_error,N_L_interaction,intercept,0.06666863886112939,0.013858024847244944,0.13509462985878332,0.995
Enumerate,Qwen3-8B,enumeration_index,absolute_error,N_L_interaction,N,-0.00969475480451822,-0.02177742101902323,-0.001182031143836702,0.99
Enumerate,Qwen3-8B,enumeration_index,absolute_error,N_L_interaction,Lk,-0.01333816761488332,-0.02614668977982371,-0.003275881144017098,0.995
Enumerate,Qwen3-8B,enumeration_index,absolute_error,N_L_interaction,NLk,0.002869663199693104,0.0010229255580769176,0.005288842309824528,1.0
Enumerate,GLM-4-9B-0414,enumeration_bullet,signed_error,N_L_interaction,intercept,0.32636718668502246,0.23222951239123926,0.40046110949369657,1.0
Enumerate,GLM-4-9B-0414,enumeration_bullet,signed_error,N_L_interaction,N,-0.08433979921831104,-0.1034309483468032,-0.06876180528128184,1.0
Enumerate,GLM-4-9B-0414,enumeration_bullet,signed_error,N_L_interaction,Lk,0.1084727340965904,0.09539145118122894,0.1269373906610776,1.0
Enumerate,GLM-4-9B-0414,enumeration_bullet,signed_error,N_L_interaction,NLk,-0.026921496639051884,-0.029394256705160493,-0.024007688981497233,1.0
Enumerate,GLM-4-9B-0414,enumeration_index,signed_error,N_L_interaction,intercept,-0.3585508186430024,-1.5779072428765348,0.7951470367892645,0.68
Enumerate,GLM-4-9B-0414,enumeration_index,signed_error,N_L_interaction,N,-0.2539524648641778,-0.3831605543002184,-0.12420204049973475,1.0
Enumerate,GLM-4-9B-0414,enumeration_index,signed_error,N_L_interaction,Lk,0.1449349428746005,-0.11564378942563647,0.4260819339141906,0.8225
Enumerate,GLM-4-9B-0414,enumeration_index,signed_error,N_L_interaction,NLk,0.03925252751361122,0.010827199323235023,0.06950414842286567,1.0
Enumerate,Gemma4-12B,enumeration_bullet,signed_error,N_L_interaction,intercept,0.19385113058452655,0.14730378228416138,0.2379355332922048,1.0
Enumerate,Gemma4-12B,enumeration_bullet,signed_error,N_L_interaction,N,-0.04000182788755125,-0.05054095309905104,-0.02800013348389357,1.0
Enumerate,Gemma4-12B,enumeration_bullet,signed_error,N_L_interaction,Lk,0.004411943321055091,-0.000588199482659838,0.009520965689829016,0.955
Enumerate,Gemma4-12B,enumeration_bullet,signed_error,N_L_interaction,NLk,-0.003330483271822504,-0.005192096550944546,-0.0016101675042480242,1.0
Enumerate,Gemma4-12B,enumeration_index,signed_error,N_L_interaction,intercept,-0.018038363992538886,-0.061371186840171,0.022031935119612482,0.8
Enumerate,Gemma4-12B,enumeration_index,signed_error,N_L_interaction,N,0.011528895655279623,0.003991458233370726,0.02091982007333192,1.0
Enumerate,Gemma4-12B,enumeration_index,signed_error,N_L_interaction,Lk,0.002942959085382803,-0.005682896384029545,0.012521573883335099,0.72
Enumerate,Gemma4-12B,enumeration_index,signed_error,N_L_interaction,NLk,-0.002613939326158875,-0.004789740319711962,-0.0009019993722649355,1.0
Enumerate,Gemma4-E4B,enumeration_bullet,signed_error,N_L_interaction,intercept,-0.20353934347570254,-0.33587847433922197,-0.11562899654986068,1.0
