model,mode,candidate,label,formula,seed_cv_mse,seed_cv_rmse,seed_cv_mae,seed_cv_se,request_oof_r2,request_oof_rmse,request_oof_mae,request_oof_median_ae,request_oof_nrmse_sd,cell_crossfit_r2,cell_crossfit_rmse,cell_crossfit_mae,cell_crossfit_median_ae,cell_crossfit_nrmse_sd,cell_fit_r2,cell_adjusted_r2,cell_fit_rmse,cell_fit_mae,cell_fit_median_ae,cell_fit_nrmse_sd,cell_sse_deviance,cell_log_likelihood,cell_aic,cell_aicc,cell_bic,leave_N_out_r2,leave_N_out_rmse,leave_N_out_mae,leave_L_out_r2,leave_L_out_rmse,leave_L_out_mae,residual_spearman_N,residual_spearman_L,abs_residual_spearman_fitted,max_abs_cell_residual,intercept,slope,intercept_ci_low,intercept_ci_high,slope_ci_low,slope_ci_high,overall_f_p,quality,numeric_formula,fdr_q
Qwen3-1.7B,direct,ln_density,ln(N/L),\overline{b/N}=\alpha+\beta\ln(N/L_k),7.4177205915231665,2.7235492636490286,1.125999632640411,5.2241821082951105,0.07563092143405037,2.723549263649029,1.125999632640411,0.6918977325711142,0.9604792243504373,0.4429519388323706,1.0806427744730818,0.5933707487218656,0.34000000000000014,0.7388552631904822,0.4429519388323706,0.4313467708913783,1.0806427744730818,0.5933707487218656,0.34000000000000014,0.7388552631904822,58.38944030104399,-74.82472794257784,155.64945588515567,156.17119501559046,161.3855249014401,0.3881385706163105,1.1325629726460875,0.6198569572906248,0.19715663929138283,1.297332298922358,0.6788775387418123,0.30760309824225995,-0.26753779282231377,0.30312521895031697,5.71695189514448,0.8442005710626999,-0.7551718887973,0.4949783443435787,1.3060253304823153,-1.2288712822945655,-0.37739300542934845,1.3395860638422332e-07,weak,\overline{b/N}=0.844 - 0.755\ln(N/L_k),1.294933195047492e-06
Qwen3-1.7B,enumeration_index,ln_density,ln(N/L),\overline{b/N}=\alpha+\beta\ln(N/L_k),189.61969601848276,13.770246766796983,8.435427281687366,45.00748783949651,0.2469129790361697,13.694323577350358,8.380725314035802,6.328114089794031,0.8666954293186129,0.5384950684936929,7.3101412448429715,5.0983315710149695,3.277197961890157,0.6725138161228964,0.5367881951171694,0.5271379491821104,7.323647026608891,5.115218365949713,3.3408537778848633,0.673756312612486,2681.790288517863,-170.50234823912515,347.0046964782503,347.5264356086851,352.74076549453474,0.4230423970327156,8.173527829672809,5.537344604234555,0.3586773676821451,8.617392582449567,5.7281141725437585,0.20965262146864624,-0.09211924001940475,0.39807721061199436,27.128449153953504,6.00389217013941,-6.181444184244528,4.2791518114001255,7.851142814622515,-7.9495699407220695,-4.327485700633799,1.4231440375004756e-09,moderate,\overline{b/N}=6 - 6.18\ln(N/L_k),4.127117708751379e-08
Qwen3-1.7B,enumeration_bullet,ln_density,ln(N/L),\overline{b/N}=\alpha+\beta\ln(N/L_k),1.730228742634806,1.3153815958248793,0.41033573717893984,1.6090769309787165,-0.029885515226313775,1.0220510599916208,0.3499019782605279,0.21592642383576896,1.0133736103188233,-0.01458514103055597,0.33901218792867677,0.25216733586657786,0.21613845409500299,0.9971426368428666,0.016588341333179324,-0.003899401555712778,0.33376342197997305,0.24342118063520096,0.21288107513743504,0.9817043472927499,5.569901092589078,-16.080783939934882,38.161567879869764,38.683307010304546,43.897636896154204,-0.2662683961595429,0.37873369680152524,0.2747426315657017,-0.09488887821007386,0.35217302298293063,0.26187527922459003,0.06369499429264264,0.11025438490408321,0.24255989993193353,1.5211524584981346,0.18825817817226911,0.040919266217797415,0.08275133117906887,0.3457361675733079,-0.038953099994845225,0.09457565594254315,0.28202023948011035,weak,\overline{b/N}=0.188 + 0.0409\ln(N/L_k),0.3407744560384667
Qwen3-1.7B,native_thinking,ln_density,ln(N/L),\overline{b/N}=\alpha+\beta\ln(N/L_k),1.105996455304651,1.0516636607321996,0.27478929428379556,0.9263974782745017,0.030208080684311467,1.052817074873202,0.2747483237107776,0.17735869244533375,0.9837909056215803,0.21810137758580805,0.4671259445861735,0.22731518804383985,0.14959757751988106,0.8753631531918098,0.21829887018063132,0.2020134299760611,0.46706694733359566,0.22719660713016165,0.1495936816584909,0.8752525962389265,10.90757666457619,-32.88279288958208,71.76558577916416,72.28732490959894,77.50165479544859,-0.06911604881023958,0.5462245172612739,0.2602360978247991,0.010808634087433822,0.5254107128390302,0.2463715287568747,0.1995341862544866,-0.7659188518623072,0.26588472870348234,2.98043017581488,0.03652148724598224,-0.1934309860183594,-0.0240687324960595,0.12838539029471127,-0.36911422551633294,-0.08292122519497457,0.0006242599849115906,weak,\overline{b/N}=0.0365 - 0.193\ln(N/L_k),0.0020115043958262363
Qwen3-4B,direct,ln_density,ln(N/L),\overline{b/N}=\alpha+\beta\ln(N/L_k),0.03752106045171628,0.19370353753020692,0.14231115151740317,0.0058748459652456534,0.005425390019968335,0.1913885541626938,0.14130001645154563,0.09892168972590534,0.9961699540582768,0.31333648574437445,0.07249681866853755,0.05672353941836517,0.04682718325950183,0.8201524084878175,0.3132280757108211,0.2986159071089236,0.0725025413203146,0.05666805313672055,0.04461153790521652,0.8202171485236436,0.2575743063972924,59.05456146002143,-112.10912292004286,-111.57578958670953,-106.43366202571099,0.2151081008912572,0.07750895588082397,0.06018596659312259,0.12041578823072752,0.08205133959328258,0.06648824051750414,-0.39195543090456086,-0.4511080720870283,0.09491706336037839,0.2246604301739527,-0.08391743582833924,-0.03991541087745559,-0.12877334173404872,-0.03635642195085758,-0.05575787034590266,-0.022836397802544667,2.828252511675418e-05,weak,\overline{b/N}=-0.0839 - 0.0399\ln(N/L_k),0.00016403864567717425
Qwen3-4B,enumeration_index,ln_density,ln(N/L),\overline{b/N}=\alpha+\beta\ln(N/L_k),1.1154429544768232,1.0561453282938023,0.28820054322399047,1.053345526401893,-0.05320823267392649,1.0612091706523366,0.28920905874930464,0.15707057237473993,1.025222190198098,0.29399840683966205,0.26833053233839615,0.19248785789553657,0.14308073807606236,0.8317941820529471,0.294785608190805,0.28009364169478,0.26818089452339067,0.19243563828781035,0.14310218938615388,0.8313303218173935,3.596049609368299,-5.142249330101533,16.284498660203067,16.806237790637848,22.020567676487502,0.03433838785509569,0.3138193621481084,0.22033705473827936,0.2217484420677509,0.28172620885675365,0.20302940558749183,0.1488700717484529,-0.38321364380264894,0.7170405384659732,1.0690449423433184,0.114661961168984,-0.13588397730234697,-0.003706671694071931,0.34377191883495545,-0.4034385207324413,0.002460468729761513,4.6223838659967415e-05,weak,\overline{b/N}=0.115 - 0.136\ln(N/L_k),0.00022341522018984252
Qwen3-4B,enumeration_bullet,ln_density,ln(N/L),\overline{b/N}=\alpha+\beta\ln(N/L_k),0.23582724827630397,0.4856204776122028,0.07673899775562407,0.2312813483840352,-0.01163327797292446,0.4620619575916206,0.07395762250183738,0.0361228202296704,1.0047666406923221,0.02641957612274559,0.1559247129112636,0.05799499964535655,0.02817214339157725,0.9767849381515407,0.031296459140446764,0.011115135372539497,0.15553369166368267,0.05735305391926101,0.028243177778650312,0.9743353991528595,1.2095364621266755,22.097718548976342,-38.195437097952684,-37.6736979675179,-32.459368081668245,-0.053392502609140635,0.1621900277831351,0.055880165505083415,-0.16775258374576363,0.17076719905914156,0.07036444451558793,0.20895895377151036,-0.5920004050352826,0.6727416371698545,1.0507939842969536,0.02759929288585602,-0.021947972921413407,-0.005059494307560881,0.08682365576958748,-0.06564269411892334,0.0025991930188433744,0.21822074921638696,weak,\overline{b/N}=0.0276 - 0.0219\ln(N/L_k),0.27514790118587923
Qwen3-4B,native_thinking,ln_density,ln(N/L),\overline{b/N}=\alpha+\beta\ln(N/L_k),0.0016528557466713371,0.0406553286380929,0.012146975310080781,0.00048309936340348533,-0.0049289719048677405,0.04063603095053205,0.012140075434972038,0.004695345398231968,1.0014504008832654,0.007835450672178612,0.018782607943684818,0.009501917640377949,0.004659750605463024,0.9860635163828265,0.0072307377108694615,-0.013451955253487524,0.01878833096430153,0.009503121219449883,0.004659568422175488,0.9863639678350724,0.017650069021206582,127.77903810198326,-249.55807620396652,-249.03633707353174,-243.8220071876821,-0.040037809735316676,0.019230412704071845,0.010028690119791706,-0.16358517026436337,0.02034057049708504,0.011239380018896692,0.027035105200060066,-0.5814424112534204,-0.5832893717660667,0.09112381886295566,-0.0048699883733801285,-0.0012673458575734361,-0.007029155664199891,-0.0024500800919954905,-0.0035306657352823212,0.001569186654201054,0.5537237000159763,weak,\overline{b/N}=-0.00487 - 0.00127\ln(N/L_k),0.5734995464451182
Qwen3-8B,direct,ln_density,ln(N/L),\overline{b/N}=\alpha+\beta\ln(N/L_k),0.030135948189969668,0.17359708577614333,0.10913287692455384,0.008271878544896525,-0.034673039895847246,0.17473240999038933,0.10965294322454835,0.03949929412616042,1.016141763251385,0.009972799282923384,0.09331021956519871,0.07201358937679543,0.04897320702248183,0.9850008409654963,0.008642320190851982,-0.012010964805172053,0.09337289744632772,0.0720534511505072,0.04897488139782105,0.9856624808792132,0.4359248988761216,47.6107809943203,-89.2215619886406,-88.69982285820582,-83.48549297235617,-0.2853418508091654,0.10632000102629051,0.08166542708858458,-0.11258957962762484,0.09891750234675543,0.07784431748009368,-0.27891356627592084,-0.4111362231045911,-0.15664601195586714,0.24628265738710015,-0.03059927371290382,0.007598181507716351,-0.06261907453607757,0.01192120682381471,-0.006941369453323487,0.020898566844658524,0.4749213753807126,weak,\overline{b/N}=-0.0306 + 0.0076\ln(N/L_k),0.5101007365200246
Qwen3-8B,enumeration_index,ln_density,ln(N/L),\overline{b/N}=\alpha+\beta\ln(N/L_k),0.003178005299191105,0.056373799758319514,0.009500405040761608,0.002071572643866192,-0.02153718348681699,0.0563737997583195,0.009500405040761606,0.002643084317625697,1.0097000094680812,0.021815131225004447,0.01903413275331317,0.008750490440321784,0.003166815429889802,0.9790920137553445,0.02181513122500467,0.0014362797921921855,0.019034132753313168,0.008750490440321784,0.003166815429889803,0.9790920137553443,0.018114910483537455,127.12914588079502,-248.25829176159004,-247.73655263115526,-242.5222227453056,-0.1726703921119137,0.020840618504209072,0.009320826335699767,-0.2547692255662388,0.021557805684627875,0.010308882956915066,0.25272388250274486,-0.7074209395367504,0.28634654262735126,0.09195252802796487,0.0013742399091609574,-0.0022275795877304393,-0.003001900236474375,0.006473067272112401,-0.011108088622663366,0.004512666793953802,0.3060219813419637,weak,\overline{b/N}=0.00137 - 0.00223\ln(N/L_k),0.34280360682785066
