population,model_label,seed,endpoint,needle_damage,control_damage,specificity,rows
clean_correct_only,Qwen3-8B,1262,absolute_error_increase,10.0,0.0,10.0,5
clean_correct_only,Qwen3-8B,1263,accuracy_drop,1.0,-0.0,1.0,4
clean_correct_only,Qwen3-8B,1263,absolute_error_increase,10.0,0.0,10.0,4
all,Gemma4-E4B,1254,gold_centroid_distance_increase_L37,4029.280062349967,26.78451811690899,4002.495544233058,10
all,Gemma4-E4B,1254,gold_centroid_distance_increase_L41,978.3907360907903,6.373321135695761,972.0174149550945,10
all,Gemma4-E4B,1255,gold_centroid_distance_increase_L37,3848.037092854628,-26.490719490544784,3874.527812345173,10
all,Gemma4-E4B,1255,gold_centroid_distance_increase_L41,926.8281395854383,-26.868193697836453,953.6963332832747,10
all,Gemma4-E4B,1256,gold_centroid_distance_increase_L37,3490.416464552928,10.699296649067936,3479.71716790386,10
all,Gemma4-E4B,1256,gold_centroid_distance_increase_L41,1004.6810168763486,9.949153169343209,994.7318637070055,10
all,Gemma4-E4B,1257,gold_centroid_distance_increase_L37,4118.888855991676,-6.1831870895051395,4125.072043081181,10
all,Gemma4-E4B,1257,gold_centroid_distance_increase_L41,912.3524054740653,6.707515523809886,905.6448899502554,10
all,Gemma4-E4B,1258,gold_centroid_distance_increase_L37,3980.001160797179,25.82530524946435,3954.175855547715,10
all,Gemma4-E4B,1258,gold_centroid_distance_increase_L41,981.6866310971147,12.94200634503907,968.7446247520757,10
all,Gemma4-E4B,1259,gold_centroid_distance_increase_L37,3903.49819154363,-6.048272201126283,3909.5464637447562,10
all,Gemma4-E4B,1259,gold_centroid_distance_increase_L41,865.389685347596,1.9856692600746342,863.4040160875214,10
all,Gemma4-E4B,1260,gold_centroid_distance_increase_L37,4268.152531423662,11.577466815223344,4256.575064608439,10
all,Gemma4-E4B,1260,gold_centroid_distance_increase_L41,860.3057357494974,5.241486151377506,855.0642495981199,10
all,Gemma4-E4B,1261,gold_centroid_distance_increase_L37,2261.0978309676793,31.278769170199997,2229.819061797479,10
all,Gemma4-E4B,1261,gold_centroid_distance_increase_L41,859.9325876384394,3.3108439890522425,856.6217436493871,10
all,Gemma4-E4B,1262,gold_centroid_distance_increase_L37,4443.199316136418,-12.61516546653683,4455.814481602954,10
all,Gemma4-E4B,1262,gold_centroid_distance_increase_L41,897.7451485312713,-4.366578976654234,902.1117275079255,10
all,Gemma4-E4B,1263,gold_centroid_distance_increase_L37,4176.508611358676,18.03846196046981,4158.470149398206,10
all,Gemma4-E4B,1263,gold_centroid_distance_increase_L41,977.6926081751741,5.100667453544528,972.5919407216296,10
all,Qwen3-8B,1254,gold_centroid_distance_increase_L29,48893.905770831785,210.99025668139166,48682.915514150394,10
all,Qwen3-8B,1254,gold_centroid_distance_increase_L35,229360.84563813158,445.74889047708666,228915.0967476545,10
all,Qwen3-8B,1255,gold_centroid_distance_increase_L29,48170.53567074041,90.92286210841765,48079.612808631995,10
all,Qwen3-8B,1255,gold_centroid_distance_increase_L35,233534.61273169966,258.56556477795027,233276.0471669217,10
all,Qwen3-8B,1256,gold_centroid_distance_increase_L29,41446.1202085756,649.1833444440932,40796.93686413151,10
all,Qwen3-8B,1256,gold_centroid_distance_increase_L35,192395.20817959827,3235.2255393798305,189159.98264021843,10
all,Qwen3-8B,1257,gold_centroid_distance_increase_L29,49395.48842280292,71.14544609417601,49324.342976708744,10
all,Qwen3-8B,1257,gold_centroid_distance_increase_L35,239782.1444615182,142.22929972916637,239639.91516178905,10
all,Qwen3-8B,1258,gold_centroid_distance_increase_L29,49978.30268458446,-80.47882487561988,50058.78150946008,10
all,Qwen3-8B,1258,gold_centroid_distance_increase_L35,252322.8400450833,-1073.833583033905,253396.67362811722,10
all,Qwen3-8B,1259,gold_centroid_distance_increase_L29,47937.8357785759,422.3394326253316,47515.49634595057,10
all,Qwen3-8B,1259,gold_centroid_distance_increase_L35,216159.28880876006,1395.0674194248277,214764.22138933523,10
all,Qwen3-8B,1260,gold_centroid_distance_increase_L29,48824.728420574,78.54280528917202,48746.18561528483,10
all,Qwen3-8B,1260,gold_centroid_distance_increase_L35,232941.05057654873,91.12428378372734,232849.926292765,10
all,Qwen3-8B,1261,gold_centroid_distance_increase_L29,31801.3851621176,637.0727121552884,31164.31244996231,10
all,Qwen3-8B,1261,gold_centroid_distance_increase_L35,130809.74870291135,1190.4706063341905,129619.27809657717,10
all,Qwen3-8B,1262,gold_centroid_distance_increase_L29,49817.65136506899,-378.7182680328632,50196.36963310185,10
all,Qwen3-8B,1262,gold_centroid_distance_increase_L35,234619.02551790228,-1405.4387597582727,236024.46427766056,10
all,Qwen3-8B,1263,gold_centroid_distance_increase_L29,47758.053231222744,-34.9431553891136,47792.996386611856,10
all,Qwen3-8B,1263,gold_centroid_distance_increase_L35,257006.18624063052,645.9230880777302,256360.2631525528,10
clean_correct_only,Gemma4-E4B,1254,gold_centroid_distance_increase_L37,3560.3814633340494,-6.470610101151332,3566.8520734352005,3
clean_correct_only,Gemma4-E4B,1254,gold_centroid_distance_increase_L41,898.9926170381523,-2.72632626290642,901.7189433010587,3
clean_correct_only,Gemma4-E4B,1255,gold_centroid_distance_increase_L37,3689.486262064139,0.6953090563951321,3688.7909530077436,5
clean_correct_only,Gemma4-E4B,1255,gold_centroid_distance_increase_L41,938.3586572053764,-5.079773591974497,943.4384307973509,5
