model_label,endpoint,mode,token_site,selected_layer,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,top3_fisher_trace_fraction,discovery_lda3_silhouette,confirmation_lda3_silhouette,confirmation_lda3_radius_gap_ratio
Qwen3-8B,running_index,non_thinking,span_end,17,0.53,0.4600000000000001,0.9988988415200695,0.24875559658048024,0.18104532792467085,1.1574406270225903
Qwen3-8B,running_index,native_thinking,item_end,18,0.6811165141113654,0.588898303884495,0.9579155189533487,0.132028182184768,0.16347850739193473,1.4740306172588924
Qwen3-8B,final_count,non_thinking,prompt_final_total_query,23,0.66,0.67,0.9932673105994931,0.22154823434756796,0.09829701060703955,1.5369546042396578
Qwen3-8B,final_count,native_thinking,answer_query_v3,26,1.0,0.99,0.8817761479506406,0.5576590004908116,0.5659593614539948,0.34289531154172115
Gemma4-E4B,running_index,non_thinking,span_end,22,0.43,0.39,0.9960847053321917,0.12064697164955854,0.10389354505559152,2.224760502141175
Gemma4-E4B,running_index,native_thinking,item_end,22,0.7837129315543494,0.6925055216342529,0.8512882708403515,0.2330666632883851,0.1774605730577928,0.9029478509024795
Gemma4-E4B,final_count,non_thinking,prompt_final_total_query,38,0.55,0.58,0.9942528999349101,0.12711056493614728,0.13840291838393687,1.0002609212885418
Gemma4-E4B,final_count,native_thinking,answer_query_v3,34,0.7099999999999999,0.7,0.9888354179111328,0.26436939848367713,0.16858908770740644,1.9688226140096732
