model_label,role,layer,algorithm,gold_count,predicted_count,rows
Gemma4-E4B,prompt_running,0,knn_k5_cosine,1,1,9
Gemma4-E4B,prompt_running,0,knn_k5_cosine,1,2,3
Gemma4-E4B,prompt_running,0,knn_k5_cosine,1,3,3
Gemma4-E4B,prompt_running,0,knn_k5_cosine,1,4,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,1,5,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,1,6,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,1,7,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,1,9,3
Gemma4-E4B,prompt_running,0,knn_k5_cosine,1,10,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,2,1,5
Gemma4-E4B,prompt_running,0,knn_k5_cosine,2,2,7
Gemma4-E4B,prompt_running,0,knn_k5_cosine,2,3,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,2,4,6
Gemma4-E4B,prompt_running,0,knn_k5_cosine,2,6,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,2,7,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,2,8,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,2,9,3
Gemma4-E4B,prompt_running,0,knn_k5_cosine,2,10,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,3,1,7
Gemma4-E4B,prompt_running,0,knn_k5_cosine,3,2,3
Gemma4-E4B,prompt_running,0,knn_k5_cosine,3,3,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,3,4,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,3,5,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,3,6,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,3,8,3
Gemma4-E4B,prompt_running,0,knn_k5_cosine,3,9,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,3,10,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,4,1,11
Gemma4-E4B,prompt_running,0,knn_k5_cosine,4,2,8
Gemma4-E4B,prompt_running,0,knn_k5_cosine,4,3,3
Gemma4-E4B,prompt_running,0,knn_k5_cosine,4,4,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,4,6,3
Gemma4-E4B,prompt_running,0,knn_k5_cosine,4,7,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,4,8,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,4,9,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,5,1,5
Gemma4-E4B,prompt_running,0,knn_k5_cosine,5,2,5
Gemma4-E4B,prompt_running,0,knn_k5_cosine,5,3,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,5,5,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,5,6,3
Gemma4-E4B,prompt_running,0,knn_k5_cosine,5,8,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,5,9,6
Gemma4-E4B,prompt_running,0,knn_k5_cosine,5,10,3
Gemma4-E4B,prompt_running,0,knn_k5_cosine,6,1,6
Gemma4-E4B,prompt_running,0,knn_k5_cosine,6,2,3
Gemma4-E4B,prompt_running,0,knn_k5_cosine,6,3,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,6,4,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,6,5,3
Gemma4-E4B,prompt_running,0,knn_k5_cosine,6,6,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,6,7,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,6,8,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,6,9,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,6,10,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,7,1,5
Gemma4-E4B,prompt_running,0,knn_k5_cosine,7,2,5
Gemma4-E4B,prompt_running,0,knn_k5_cosine,7,3,6
Gemma4-E4B,prompt_running,0,knn_k5_cosine,7,4,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,7,6,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,7,7,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,7,8,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,7,9,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,7,10,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,8,1,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,8,2,5
Gemma4-E4B,prompt_running,0,knn_k5_cosine,8,3,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,8,4,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,8,5,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,8,6,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,8,7,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,8,8,5
Gemma4-E4B,prompt_running,0,knn_k5_cosine,8,9,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,8,10,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,9,1,7
Gemma4-E4B,prompt_running,0,knn_k5_cosine,9,2,3
Gemma4-E4B,prompt_running,0,knn_k5_cosine,9,3,6
Gemma4-E4B,prompt_running,0,knn_k5_cosine,9,4,3
Gemma4-E4B,prompt_running,0,knn_k5_cosine,9,5,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,9,6,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,9,7,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,9,8,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,9,9,1
Gemma4-E4B,prompt_running,0,knn_k5_cosine,9,10,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,10,1,7
Gemma4-E4B,prompt_running,0,knn_k5_cosine,10,2,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,10,3,6
Gemma4-E4B,prompt_running,0,knn_k5_cosine,10,5,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,10,6,4
Gemma4-E4B,prompt_running,0,knn_k5_cosine,10,7,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,10,8,2
Gemma4-E4B,prompt_running,0,knn_k5_cosine,10,9,3
Gemma4-E4B,prompt_running,0,knn_k5_cosine,10,10,2
Gemma4-E4B,prompt_running,0,linear_svm,1,1,6
Gemma4-E4B,prompt_running,0,linear_svm,1,3,2
Gemma4-E4B,prompt_running,0,linear_svm,1,4,4
Gemma4-E4B,prompt_running,0,linear_svm,1,5,3
Gemma4-E4B,prompt_running,0,linear_svm,1,6,2
Gemma4-E4B,prompt_running,0,linear_svm,1,7,3
Gemma4-E4B,prompt_running,0,linear_svm,1,8,1
Gemma4-E4B,prompt_running,0,linear_svm,1,9,3
Gemma4-E4B,prompt_running,0,linear_svm,1,10,6
Gemma4-E4B,prompt_running,0,linear_svm,2,1,1
Gemma4-E4B,prompt_running,0,linear_svm,2,2,8
Gemma4-E4B,prompt_running,0,linear_svm,2,3,2
Gemma4-E4B,prompt_running,0,linear_svm,2,4,1
Gemma4-E4B,prompt_running,0,linear_svm,2,5,3
Gemma4-E4B,prompt_running,0,linear_svm,2,6,2
Gemma4-E4B,prompt_running,0,linear_svm,2,7,2
Gemma4-E4B,prompt_running,0,linear_svm,2,8,3
Gemma4-E4B,prompt_running,0,linear_svm,2,9,6
Gemma4-E4B,prompt_running,0,linear_svm,2,10,2
Gemma4-E4B,prompt_running,0,linear_svm,3,1,3
Gemma4-E4B,prompt_running,0,linear_svm,3,2,4
Gemma4-E4B,prompt_running,0,linear_svm,3,3,3
Gemma4-E4B,prompt_running,0,linear_svm,3,4,1
Gemma4-E4B,prompt_running,0,linear_svm,3,5,2
Gemma4-E4B,prompt_running,0,linear_svm,3,6,4
Gemma4-E4B,prompt_running,0,linear_svm,3,7,3
Gemma4-E4B,prompt_running,0,linear_svm,3,8,3
Gemma4-E4B,prompt_running,0,linear_svm,3,9,2
Gemma4-E4B,prompt_running,0,linear_svm,3,10,5
Gemma4-E4B,prompt_running,0,linear_svm,4,1,5
Gemma4-E4B,prompt_running,0,linear_svm,4,2,2
Gemma4-E4B,prompt_running,0,linear_svm,4,3,3
Gemma4-E4B,prompt_running,0,linear_svm,4,4,1
Gemma4-E4B,prompt_running,0,linear_svm,4,6,4
Gemma4-E4B,prompt_running,0,linear_svm,4,7,2
Gemma4-E4B,prompt_running,0,linear_svm,4,8,3
Gemma4-E4B,prompt_running,0,linear_svm,4,9,7
Gemma4-E4B,prompt_running,0,linear_svm,4,10,3
Gemma4-E4B,prompt_running,0,linear_svm,5,1,3
Gemma4-E4B,prompt_running,0,linear_svm,5,2,5
Gemma4-E4B,prompt_running,0,linear_svm,5,3,3
Gemma4-E4B,prompt_running,0,linear_svm,5,4,2
Gemma4-E4B,prompt_running,0,linear_svm,5,5,4
