request_id,seed,gold_count,receiver_damage__natural,selected_restore__natural,random_restore__natural,restore_specificity__natural,clean_exact__natural,receiver_damage__matched_control,selected_restore__matched_control,random_restore__matched_control,restore_specificity__matched_control,clean_exact__matched_control,receiver_damage__cut,selected_restore__cut,random_restore__cut,restore_specificity__cut,clean_exact__cut,restoration_occlusion
Qwen3-8B/native_thinking/v5/V4_4_T10000_N7_seed1234,1234,7,9.410155614217121,0.7500038146972656,0.8749885559082031,-0.1249847412109375,1.0,11.079044342041016,1.62554931640625,1.166847864786784,0.45870145161946607,,4.583171844482422,0.37496185302734375,-3.0517578125e-05,0.37499237060546875,,1.2505874633789062
Qwen3-8B/native_thinking/v5/V4_4_T10000_N7_seed1246,1246,7,15.810696919759113,-0.013300895690917969,0.042181968688964844,-0.05548286437988281,1.0,13.95417086283366,0.08730125427246094,0.16570663452148438,-0.07840538024902344,,4.783986409505207,0.6243896484375,0.20853424072265625,0.41585540771484375,,-0.5370883941650391
Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1235,1235,8,15.619988123575848,0.6293792724609375,0.9166653951009115,-0.287286122639974,1.0,14.869861602783203,1.752939224243164,0.9582608540852865,0.7946783701578776,,3.375073750813801,-0.3748588562011719,0.12501653035481772,-0.4998753865559896,,2.127798080444336
Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1236,1236,8,14.163060188293457,0.8755159378051758,0.9167699813842773,-0.04125404357910156,1.0,-1.7153555552164708,-1.6035327911376953,-1.1935869852701824,-0.40994580586751295,,4.708286285400391,0.3749961853027344,-0.2916679382324219,0.6666641235351562,,-1.9785289764404297
Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1237,1237,8,11.721313794453938,0.509312629699707,1.958834966023763,-1.449522336324056,1.0,0.16824913024902344,0.5325374603271484,0.21700731913248697,0.3155301411946615,,3.5821081797281913,0.00016498565673828125,-0.16668319702148438,0.16684818267822266,,0.5323724746704102
Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1238,1238,8,12.129944483439129,1.000345230102539,0.7181803385416666,0.28216489156087243,1.0,12.682347297668457,2.140089988708496,0.6685841878255209,1.4715058008829751,,2.9928550720214844,-0.74993896484375,0.12497456868489583,-0.8749135335286459,,2.890028953552246
Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1239,1239,8,14.943140665690105,2.754770278930664,1.0417086283365886,1.7130616505940754,1.0,13.45371150970459,2.1249284744262695,1.3333663940429688,0.7915620803833008,,3.499468485514324,-8.0108642578125e-05,1.9073486328125e-05,-9.918212890625e-05,,2.1250085830688477
Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1240,1240,8,14.990608215332031,0.8759708404541016,0.4165089925130208,0.45946184794108075,1.0,14.482045809427898,1.0029325485229492,0.4998435974121094,0.5030889511108398,,2.2493896484375,-0.24965667724609375,0.12497711181640625,-0.3746337890625,,1.252589225769043
Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1241,1241,8,13.73872184753418,0.7624425888061523,1.5431137084960938,-0.7806711196899414,1.0,-0.5491790771484375,-0.2911109924316406,0.4256299336751302,-0.7167409261067708,,2.9574432373046875,0.625,0.20834732055664062,0.4166526794433594,,-0.9161109924316406
Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1242,1242,8,12.086727142333984,0.6250019073486328,0.41669241587320965,0.20830949147542316,1.0,12.082817077636719,0.0027027130126953125,0.20799763997395834,-0.20529492696126303,,4.8316558202107736,0.1253662109375,-0.1250441869099935,0.2504103978474935,,-0.12266349792480469
